"player_id","pfr_id","player_name","recent_team","position","games","fantasy_points_ppr","season","ppr_per_game","ppr_rank","ppr_finish_12","ppr_finish_24","ppr_finish_36","ppr_finish_48","ppr_finish_3","ppr_finish_6"
"00-0003292","CollKe00","K. Collins","NYG","QB",16,190.66,2001,11.91625,16,0,1,1,1,0,0
"00-0006355","GreeTr00","T. Green","KC","QB",16,186.22,2001,11.63875,17,0,1,1,1,0,0
"00-0005363","FlutDo00","D.Flutie","LAC","QB",16,183.76,2001,11.485,18,0,1,1,1,0,0
"00-0020434","WeinCh00","C.Weinke","CAR","QB",15,166.04,2001,11.0693333333333,19,0,1,1,1,0,0
"00-0019596","BradTo00","T.Brady","NE","QB",15,163.32,2001,10.888,20,0,1,1,1,0,0
"00-0002876","ChanCh00","C.Chandler","ATL","QB",14,158.28,2001,11.3057142857143,21,0,1,1,1,0,0
"00-0003535","CoucTi00","T.Couch","CLE","QB",16,154.4,2001,9.65,22,0,1,1,1,0,0
"00-0006300","GrbaEl00","E.Grbac","BAL","QB",14,143.12,2001,10.2228571428571,23,0,1,1,1,0,0
"00-0016193","TestVi00","V.Testaverde","NYJ","QB",16,140.58,2001,8.78625,24,0,1,1,1,0,0
"00-0009311","KitnJo00","J.Kitna","CIN","QB",16,139.94,2001,8.74625,25,0,0,1,1,0,0
"00-0000722","BankTo00","T.Banks","WAS","QB",15,136.64,2001,9.10933333333333,26,0,0,1,1,0,0
"00-0000865","BatcCh00","C.Batch","DET","QB",10,118.18,2001,11.818,27,0,0,1,1,0,0
"00-0011276","MillJi00","J. Miller","CHI","QB",14,116.06,2001,8.29,28,0,0,1,1,0,0
"00-0016838","VanPAl00","A.Van Pelt","BUF","QB",12,111.54,2001,9.295,29,0,0,1,1,0,0
"00-0007091","HassMa00","M.Hasselbeck","SEA","QB",13,103.02,2001,7.92461538461539,30,0,0,1,1,0,0
"00-0008612",NA,"R.Johnson","BUF","QB",8,86.7,2001,10.8375,31,0,0,1,1,0,0
"00-0020404","CartQu00","Q.Carter","DAL","QB",8,65.88,2001,8.235,32,0,0,1,1,0,0
"00-0004293","DilfTr00","T.Dilfer","SEA","QB",6,64.76,2001,10.7933333333333,33,0,0,1,1,0,0
"00-0001545","BoumTo00","T.Bouman","MIN","QB",5,61.9,2001,12.38,34,0,0,1,1,0,0
"00-0020245","VickMi00","M.Vick","ATL","QB",8,58.3,2001,7.2875,35,0,0,1,1,0,0
