season,player_id,player_display_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2009,00-0026164,Chris Johnson,RB,fantasy_points,1,342.90000000000003,1,1,1,1,1,1
2009,00-0023459,Aaron Rodgers,QB,fantasy_points,1,341.76,1,1,1,1,1,1
2009,00-0020531,Drew Brees,QB,fantasy_points,2,292.42,1,1,1,1,1,1
2009,00-0005106,Brett Favre,QB,fantasy_points,3,282.58,1,1,1,1,1,1
2009,00-0022787,Matt Schaub,QB,fantasy_points,4,280.9,0,1,1,1,1,1
2009,00-0010346,Peyton Manning,QB,fantasy_points,5,278.7,0,1,1,1,1,1
2009,00-0025394,Adrian Peterson,RB,fantasy_points,2,278.5,1,1,1,1,1,1
2009,00-0021678,Tony Romo,QB,fantasy_points,6,273.82,0,1,1,1,1,1
2009,00-0024275,Maurice Jones-Drew,RB,fantasy_points,3,270.5,1,1,1,1,1,1
2009,00-0019596,Tom Brady,QB,fantasy_points,7,270.32,0,0,1,1,1,1
2009,00-0022942,Philip Rivers,QB,fantasy_points,8,269.16,0,0,1,1,1,1
2009,00-0022924,Ben Roethlisberger,QB,fantasy_points,9,267.02,0,0,1,1,1,1
2009,00-0026195,Ray Rice,RB,fantasy_points,4,246.1,0,1,1,1,1,1
2009,00-0011022,Donovan McNabb,QB,fantasy_points,10,234.32,0,0,1,1,1,1
2009,00-0022803,Eli Manning,QB,fantasy_points,11,231.34,0,0,1,1,1,1
2009,00-0019641,Thomas Jones,RB,fantasy_points,5,230,0,1,1,1,1,1
2009,00-0024226,Jay Cutler,QB,fantasy_points,12,227.84,0,0,1,1,1,1
2009,00-0023500,Frank Gore,RB,fantasy_points,6,226.6,0,1,1,1,1,1
2009,00-0021231,David Garrard,QB,fantasy_points,13,220.18,0,0,0,1,1,1
2009,00-0017200,Kurt Warner,QB,fantasy_points,14,219.32,0,0,0,1,1,1
2009,00-0023460,Jason Campbell,QB,fantasy_points,15,218.32,0,0,0,1,1,1
2009,00-0023541,Kyle Orton,QB,fantasy_points,16,215.18,0,0,0,1,1,1
2009,00-0022044,Andre Johnson,WR,fantasy_points,1,213.9,1,1,1,1,1,1
2009,00-0017915,Ricky Williams,RB,fantasy_points,7,212.5,0,0,1,1,1,1
2009,00-0021429,Carson Palmer,QB,fantasy_points,17,209.06,0,0,0,1,1,1
2009,00-0022984,Ryan Grant,RB,fantasy_points,8,209,0,0,1,1,1,1
2009,00-0026158,Joe Flacco,QB,fantasy_points,18,206.72,0,0,0,1,1,1
2009,00-0011754,Randy Moss,WR,fantasy_points,2,204.4,1,1,1,1,1,1
2009,00-0026189,DeSean Jackson,WR,fantasy_points,3,200.4,1,1,1,1,1,1
2009,00-0023921,Miles Austin,WR,fantasy_points,4,197.8,0,1,1,1,1,1
2009,00-0024245,Joseph Addai,RB,fantasy_points,9,197.28,0,0,1,1,1,1
2009,00-0022736,Steven Jackson,RB,fantasy_points,10,193.8,0,0,1,1,1,1
2009,00-0026213,Jamaal Charles,RB,fantasy_points,11,193.70000000000002,0,0,1,1,1,1
2009,00-0026153,Jonathan Stewart,RB,fantasy_points,12,189.20000000000002,0,0,1,1,1,1
2009,00-0022921,Larry Fitzgerald,WR,fantasy_points,5,187.20000000000002,0,1,1,1,1,1
2009,00-0020498,Reggie Wayne,WR,fantasy_points,6,184.4,0,1,1,1,1,1
2009,00-0026143,Matt Ryan,QB,fantasy_points,19,183.54000000000002,0,0,0,1,1,1
2009,00-0023462,Roddy White,WR,fantasy_points,7,181.5,0,0,1,1,1,1
2009,00-0026163,Rashard Mendenhall,RB,fantasy_points,13,178.9,0,0,0,1,1,1
2009,00-0025431,Sidney Rice,WR,fantasy_points,8,177.20000000000002,0,0,1,1,1,1
2009,00-0024334,Brandon Marshall,WR,fantasy_points,9,175.9,0,0,1,1,1,1
2009,00-0024242,DeAngelo Williams,RB,fantasy_points,14,174.9,0,0,0,1,1,1
2009,00-0024221,Vernon Davis,TE,fantasy_points,1,174.5,1,1,1,1,1,1
2009,00-0023439,Cedric Benson,RB,fantasy_points,15,172.20000000000002,0,0,0,1,1,1
2009,00-0023496,Vincent Jackson,WR,fantasy_points,10,171.8,0,0,1,1,1,1
2009,00-0022165,Dallas Clark,TE,fantasy_points,2,171.70000000000002,1,1,1,1,1,1
2009,00-0024204,Fred Jackson,RB,fantasy_points,16,168.38000000000002,0,0,0,1,1,1
2009,00-0023662,Matt Cassel,QB,fantasy_points,20,164.56,0,0,0,1,1,1
2009,00-0025438,Steve Smith,WR,fantasy_points,11,164,0,0,1,1,1,1
2009,00-0021547,Antonio Gates,TE,fantasy_points,3,163.70000000000002,1,1,1,1,1,1
2009,00-0022427,Wes Welker,WR,fantasy_points,12,162.4,0,0,1,1,1,1
2009,00-0026988,Knowshon Moreno,RB,fantasy_points,17,162,0,0,0,1,1,1
2009,00-0007091,Matt Hasselbeck,QB,fantasy_points,21,161.06,0,0,0,1,1,1
2009,00-0026184,Matt Forte,RB,fantasy_points,18,160,0,0,0,1,1,1
2009,00-0024466,Marques Colston,WR,fantasy_points,13,158,0,0,0,1,1,1
2009,00-0020397,Chad Johnson,WR,fantasy_points,14,157.9,0,0,0,1,1,1
2009,00-0020536,LaDainian Tomlinson,RB,fantasy_points,19,156.4,0,0,0,1,1,1
2009,00-0024813,Pierre Thomas,RB,fantasy_points,20,155.5,0,0,0,1,1,1
2009,00-0024240,Santonio Holmes,WR,fantasy_points,15,153.4,0,0,0,1,1,1
2009,00-0023544,Marion Barber,RB,fantasy_points,21,153.3,0,0,0,1,1,1
2009,00-0017162,Hines Ward,WR,fantasy_points,16,150.7,0,0,0,1,1,1
2009,00-0022821,Michael Turner,RB,fantasy_points,22,146.60000000000002,0,0,0,1,1,1
2009,00-0024359,Jerome Harrison,RB,fantasy_points,23,146.20000000000002,0,0,0,1,1,1
2009,00-0023440,Cadillac Williams,RB,fantasy_points,24,145.5,0,0,0,1,1,1
2009,00-0025549,Brent Celek,TE,fantasy_points,4,145.1,0,1,1,1,1,1
2009,00-0010500,Derrick Mason,WR,fantasy_points,17,145,0,0,0,1,1,1
2009,00-0022178,Willis McGahee,RB,fantasy_points,25,144.9,0,0,0,0,1,1
2009,00-0023436,Alex Smith,QB,fantasy_points,22,144.5,0,0,0,1,1,1
2009,00-0020337,Steve Smith,WR,fantasy_points,18,144.4,0,0,0,1,1,1
2009,00-0026197,Chad Henne,QB,fantasy_points,23,144.32,0,0,0,1,1,1
2009,00-0026289,Tim Hightower,RB,fantasy_points,26,142.6,0,0,0,0,1,1
2009,00-0026204,Kevin Smith,RB,fantasy_points,27,141.6,0,0,0,0,1,1
2009,00-0004541,Donald Driver,WR,fantasy_points,19,141.4,0,0,0,1,1,1
2009,00-0026998,Percy Harvin,WR,fantasy_points,20,140.5,0,0,0,1,1,1
2009,00-0024267,Greg Jennings,WR,fantasy_points,21,140,0,0,0,1,1,1
2009,00-0024218,Vince Young,QB,fantasy_points,24,137.26,0,0,0,1,1,1
2009,00-0025637,Ahmad Bradshaw,RB,fantasy_points,28,136.5,0,0,0,0,1,1
2009,00-0023545,Brandon Jacobs,RB,fantasy_points,29,135.9,0,0,0,0,1,1
2009,00-0025414,Robert Meachem,WR,fantasy_points,22,132.4,0,0,0,1,1,1
2009,00-0026898,Mark Sanchez,QB,fantasy_points,25,132.36,0,0,0,0,1,1
2009,00-0023564,Darren Sproles,RB,fantasy_points,30,132,0,0,0,0,1,1
2009,00-0025389,Calvin Johnson,WR,fantasy_points,23,131.70000000000002,0,0,0,1,1,1
2009,00-0024236,Laurence Maroney,RB,fantasy_points,31,131.60000000000002,0,0,0,0,1,1
2009,00-0027007,Beanie Wells,RB,fantasy_points,32,131.6,0,0,0,0,1,1
2009,00-0022084,Anquan Boldin,WR,fantasy_points,24,129.6,0,0,0,1,1,1
2009,00-0025466,Mike Sims-Walker,WR,fantasy_points,25,126.9,0,0,0,0,1,1
2009,00-0023437,Ronnie Brown,RB,fantasy_points,33,125.48,0,0,0,0,1,1
2009,00-0026498,Matthew Stafford,QB,fantasy_points,26,125.48,0,0,0,0,1,1
2009,00-0026373,Justin Forsett,RB,fantasy_points,34,124.9,0,0,0,0,1,1
2009,00-0012478,Terrell Owens,WR,fantasy_points,26,124.30000000000001,0,0,0,0,1,1
2009,00-0006101,Tony Gonzalez,TE,fantasy_points,5,122.7,0,1,1,1,1,1
2009,00-0022054,Visanthe Shiancoe,TE,fantasy_points,6,122.60000000000001,0,1,1,1,1,1
2009,00-0022922,Kellen Winslow,TE,fantasy_points,7,119.4,0,0,1,1,1,1
2009,00-0024217,Reggie Bush,RB,fantasy_points,35,118.5,0,0,0,0,1,1
2009,00-0027029,LeSean McCoy,RB,fantasy_points,36,118.5,0,0,0,0,1,1
2009,00-0026229,Steve Slaton,RB,fantasy_points,37,117.4,0,0,0,0,0,1
2009,00-0027005,Hakeem Nicks,WR,fantasy_points,27,115.8,0,0,0,0,1,1
2009,00-0022127,Jason Witten,TE,fantasy_points,8,115.00000000000001,0,0,1,1,1,1
2009,00-0023465,Heath Miller,TE,fantasy_points,9,114.9,0,0,1,1,1,1
2009,00-0026901,Mike Wallace,WR,fantasy_points,28,114.4,0,0,0,0,1,1
2009,00-0022840,Julius Jones,RB,fantasy_points,38,113.5,0,0,0,0,0,1
2009,00-0026235,Mario Manningham,WR,fantasy_points,29,110.2,0,0,0,0,1,1
2009,00-0027092,Austin Collie,WR,fantasy_points,30,109.7,0,0,0,0,1,1
2009,00-0025418,Greg Olsen,TE,fantasy_points,10,109.2,0,0,1,1,1,1
2009,00-0020438,T.J. Houshmandzadeh,WR,fantasy_points,31,107.10000000000001,0,0,0,0,1,1
2009,00-0020494,Santana Moss,WR,fantasy_points,32,107,0,0,0,0,1,1
2009,00-0022766,Patrick Crayton,WR,fantasy_points,33,107,0,0,0,0,1,1
2009,00-0022811,Jerricho Cotchery,WR,fantasy_points,34,106.80000000000001,0,0,0,0,1,1
2009,00-0022910,Lee Evans,WR,fantasy_points,35,103.2,0,0,0,0,1,1
