season,gsis_id,player_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2016,00-0031588,Stefon Diggs,WR,fantasy_points_ppr,31,193.3,0,0,0,0,1,1
2016,00-0031045,Carlos Hyde,RB,fantasy_points_ppr,18,192.1,0,0,0,1,1,1
2016,00-0032156,Trevor Siemian,QB,fantasy_points_ppr,26,191.74,0,0,0,0,1,1
2016,00-0030663,Willie Snead,WR,fantasy_points_ppr,32,191.5,0,0,0,0,1,1
2016,00-0029615,Lamar Miller,RB,fantasy_points_ppr,19,191.1,0,0,0,1,1,1
2016,00-0032058,Tevin Coleman,RB,fantasy_points_ppr,20,191.1,0,0,0,1,1,1
2016,00-0029701,Ryan Tannehill,QB,fantasy_points_ppr,27,190.2,0,0,0,0,1,1
2016,00-0027696,Jimmy Graham,TE,fantasy_points_ppr,4,189.3,0,1,1,1,1,1
2016,00-0029000,Cole Beasley,WR,fantasy_points_ppr,33,189,0,0,0,0,1,1
2016,00-0024389,Delanie Walker,TE,fantasy_points_ppr,5,188.1,0,1,1,1,1,1
2016,00-0027942,A.J. Green,WR,fantasy_points_ppr,34,186.4,0,0,0,0,1,1
2016,00-0027681,Brandon LaFell,WR,fantasy_points_ppr,35,186,0,0,0,0,1,1
2016,00-0032385,Sterling Shepard,WR,fantasy_points_ppr,36,184.4,0,0,0,0,1,1
2016,00-0020337,Steve Smith,WR,fantasy_points_ppr,37,183.9,0,0,0,0,0,1
2016,00-0026184,Matt Forte,RB,fantasy_points_ppr,21,183.6,0,0,0,1,1,1
2016,00-0030061,Zach Ertz,TE,fantasy_points_ppr,6,183.6,0,1,1,1,1,1
2016,00-0026189,DeSean Jackson,WR,fantasy_points_ppr,38,180.5,0,0,0,0,0,1
2016,00-0031431,Marqise Lee,WR,fantasy_points_ppr,39,180.4,0,0,0,0,0,1
2016,00-0027902,Dez Bryant,WR,fantasy_points_ppr,40,180,0,0,0,0,0,1
2016,00-0031912,Cameron Meredith,WR,fantasy_points_ppr,41,179.48,0,0,0,0,0,1
