season,gsis_id,player_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2015,00-0027939,Cam Newton,QB,fantasy_points,1,389.08,1,1,1,1,1,1
2015,00-0019596,Tom Brady,QB,fantasy_points,2,343.7,1,1,1,1,1,1
2015,00-0029263,Russell Wilson,QB,fantasy_points,3,336.26,1,1,1,1,1,1
2015,00-0031407,Blake Bortles,QB,fantasy_points,4,316.12,0,1,1,1,1,1
2015,00-0021429,Carson Palmer,QB,fantasy_points,5,309.24,0,1,1,1,1,1
2015,00-0020531,Drew Brees,QB,fantasy_points,6,304.2,0,1,1,1,1,1
2015,00-0023459,Aaron Rodgers,QB,fantasy_points,7,301.24,0,0,1,1,1,1
2015,00-0029604,Kirk Cousins,QB,fantasy_points,8,293.44,0,0,1,1,1,1
2015,00-0026498,Matthew Stafford,QB,fantasy_points,9,289.78,0,0,1,1,1,1
2015,00-0022803,Eli Manning,QB,fantasy_points,10,287.38,0,0,1,1,1,1
2015,00-0023682,Ryan Fitzpatrick,QB,fantasy_points,11,285.2,0,0,1,1,1,1
2015,00-0022942,Philip Rivers,QB,fantasy_points,12,284.48,0,0,1,1,1,1
2015,00-0031503,Jameis Winston,QB,fantasy_points,13,274.98,0,0,0,1,1,1
2015,00-0031280,Derek Carr,QB,fantasy_points,14,271.28,0,0,0,1,1,1
2015,00-0023436,Alex Smith,QB,fantasy_points,15,271.24,0,0,0,1,1,1
2015,00-0028118,Tyrod Taylor,QB,fantasy_points,16,270.6,0,0,0,1,1,1
2015,00-0029701,Ryan Tannehill,QB,fantasy_points,17,257.32,0,0,0,1,1,1
2015,00-0027793,Antonio Brown,WR,fantasy_points,1,254.2,1,1,1,1,1,1
2015,00-0027973,Andy Dalton,QB,fantasy_points,18,244.2,0,0,0,1,1,1
2015,00-0031285,Devonta Freeman,RB,fantasy_points,1,243.4,1,1,1,1,1,1
2015,00-0026143,Matt Ryan,QB,fantasy_points,19,233.94,0,0,0,1,1,1
2015,00-0027944,Julio Jones,WR,fantasy_points,2,233.1,1,1,1,1,1,1
2015,00-0025394,Adrian Peterson,RB,fantasy_points,2,230.7,1,1,1,1,1,1
2015,00-0024334,Brandon Marshall,WR,fantasy_points,3,230.2,1,1,1,1,1,1
2015,00-0024226,Jay Cutler,QB,fantasy_points,20,226.46,0,0,0,1,1,1
2015,00-0022924,Ben Roethlisberger,QB,fantasy_points,21,226.42,0,0,0,1,1,1
2015,00-0031428,Allen Robinson,WR,fantasy_points,4,224,0,1,1,1,1,1
2015,00-0031235,Odell Beckham,WR,fantasy_points,5,223.3,0,1,1,1,1,1
2015,00-0030564,DeAndre Hopkins,WR,fantasy_points,6,220.1,0,1,1,1,1,1
2015,00-0032268,Marcus Mariota,QB,fantasy_points,22,210.02,0,0,0,1,1,1
2015,00-0031237,Teddy Bridgewater,QB,fantasy_points,23,200.44,0,0,0,1,1,1
2015,00-0029613,Doug Martin,RB,fantasy_points,3,199.3,1,1,1,1,1,1
2015,00-0027854,Sam Bradford,QB,fantasy_points,24,194.9,0,0,0,1,1,1
2015,00-0024242,DeAngelo Williams,RB,fantasy_points,4,193.4,0,1,1,1,1,1
2015,00-0028434,Doug Baldwin,WR,fantasy_points,7,190.9,0,0,1,1,1,1
2015,00-0027942,A.J. Green,WR,fantasy_points,8,187.7,0,0,1,1,1,1
2015,00-0032241,Todd Gurley,RB,fantasy_points,5,187.4,0,1,1,1,1,1
2015,00-0029615,Lamar Miller,RB,fantasy_points,6,184.9,0,1,1,1,1,1
2015,00-0027656,Rob Gronkowski,TE,fantasy_points,1,183.6,1,1,1,1,1,1
2015,00-0032187,David Johnson,RB,fantasy_points,7,181.8,0,0,1,1,1,1
2015,00-0025389,Calvin Johnson,WR,fantasy_points,9,173.4,0,0,1,1,1,1
2015,00-0027531,Chris Ivory,RB,fantasy_points,8,172.7,0,0,1,1,1,1
2015,00-0027690,Eric Decker,WR,fantasy_points,10,172.7,0,0,1,1,1,1
2015,00-0022921,Larry Fitzgerald,WR,fantasy_points,11,171.5,0,0,1,1,1,1
2015,00-0026184,Matt Forte,RB,fantasy_points,9,170.7,0,0,1,1,1,1
2015,00-0031236,Brandin Cooks,WR,fantasy_points,12,169.6,0,0,1,1,1,1
2015,00-0026625,Brian Hoyer,QB,fantasy_points,25,166.64,0,0,0,0,1,1
2015,00-0031382,Jarvis Landry,WR,fantasy_points,13,165.36,0,0,0,1,1,1
2015,00-0030513,Latavius Murray,RB,fantasy_points,10,163.8,0,0,1,1,1,1
2015,00-0026019,Danny Woodhead,RB,fantasy_points,11,163.1,0,0,1,1,1,1
2015,00-0027874,Demaryius Thomas,WR,fantasy_points,14,162.4,0,0,0,1,1,1
2015,00-0026158,Joe Flacco,QB,fantasy_points,26,161.94,0,0,0,0,1,1
2015,00-0030821,Allen Hurns,WR,fantasy_points,15,161.1,0,0,0,1,1,1
2015,00-0023500,Frank Gore,RB,fantasy_points,12,159.4,0,0,1,1,1,1
2015,00-0031325,Sammy Watkins,WR,fantasy_points,16,158.8,0,0,0,1,1,1
2015,00-0026281,Gary Barnidge,TE,fantasy_points,2,158.3,1,1,1,1,1,1
2015,00-0030472,Jordan Reed,TE,fantasy_points,3,157.2,1,1,1,1,1,1
2015,00-0026995,Jeremy Maclin,WR,fantasy_points,17,156.2,0,0,0,1,1,1
2015,00-0026144,Darren McFadden,RB,fantasy_points,13,155.7,0,0,0,1,1,1
2015,00-0031301,Jeremy Hill,RB,fantasy_points,14,155.3,0,0,0,1,1,1
2015,00-0027966,Mark Ingram,RB,fantasy_points,15,153.4,0,0,0,1,1,1
2015,00-0024389,Delanie Walker,TE,fantasy_points,4,150.4,0,1,1,1,1,1
2015,00-0025418,Greg Olsen,TE,fantasy_points,5,150.4,0,1,1,1,1,1
2015,00-0027685,Emmanuel Sanders,WR,fantasy_points,18,150.4,0,0,0,1,1,1
2015,00-0030525,Tavon Austin,WR,fantasy_points,19,148.7,0,0,0,1,1,1
2015,00-0026153,Jonathan Stewart,RB,fantasy_points,16,146.8,0,0,0,1,1,1
2015,00-0027029,LeSean McCoy,RB,fantasy_points,17,146.7,0,0,0,1,1,1
2015,00-0026986,Michael Crabtree,WR,fantasy_points,20,146.2,0,0,0,1,1,1
2015,00-0031299,Jordan Matthews,TE,fantasy_points,6,145.7,0,1,1,1,1,1
2015,00-0031051,John Brown,WR,fantasy_points,21,142.5,0,0,0,1,1,1
2015,00-0029608,T.Y. Hilton,WR,fantasy_points,22,142.4,0,0,0,1,1,1
2015,00-0031544,Amari Cooper,WR,fantasy_points,23,141.9,0,0,0,1,1,1
2015,00-0025465,James Jones,WR,fantasy_points,24,141,0,0,0,1,1,1
2015,00-0028009,DeMarco Murray,RB,fantasy_points,18,140.4,0,0,0,1,1,1
2015,00-0025396,Ted Ginn,WR,fantasy_points,25,139.9,0,0,0,0,1,1
2015,00-0030549,Tyler Eifert,TE,fantasy_points,7,139.5,0,0,1,1,1,1
2015,00-0029683,Ronnie Hillman,RB,fantasy_points,19,137.4,0,0,0,1,1,1
2015,00-0031408,Mike Evans,WR,fantasy_points,26,136.6,0,0,0,0,1,1
2015,00-0027155,Rashad Jennings,RB,fantasy_points,20,135.9,0,0,0,1,1,1
2015,00-0030456,Giovani Bernard,RB,fantasy_points,21,132.2,0,0,0,1,1,1
2015,00-0021206,Josh McCown,QB,fantasy_points,27,132.16,0,0,0,0,1,1
2015,00-0029269,Travis Benjamin,WR,fantasy_points,27,131.8,0,0,0,0,1,1
2015,00-0029668,Andrew Luck,QB,fantasy_points,28,130.84,0,0,0,0,1,1
2015,00-0027948,Blaine Gabbert,QB,fantasy_points,29,129.74,0,0,0,0,1,1
2015,00-0031390,Charles Sims,RB,fantasy_points,22,129,0,0,0,1,1,1
2015,00-0029262,Rueben Randle,WR,fantasy_points,28,128.1,0,0,0,0,1,1
2015,00-0031569,Jeremy Langford,RB,fantasy_points,23,125.6,0,0,0,1,1,1
2015,00-0028002,Randall Cobb,WR,fantasy_points,29,123.9,0,0,0,0,1,1
2015,00-0027791,James Starks,RB,fantasy_points,24,123.3,0,0,0,1,1,1
2015,00-0028497,Kamar Aiken,WR,fantasy_points,30,122.4,0,0,0,0,1,1
2015,00-0029638,Michael Floyd,WR,fantasy_points,31,120.9,0,0,0,0,1,1
2015,00-0030485,Eddie Lacy,RB,fantasy_points,25,120.6,0,0,0,0,1,1
2015,00-0031373,Martavis Bryant,WR,fantasy_points,32,120.2,0,0,0,0,1,1
2015,00-0032209,T.J. Yeldon,RB,fantasy_points,26,119.9,0,0,0,0,1,1
2015,00-0027891,Golden Tate,WR,fantasy_points,33,119.4,0,0,0,0,1,1
2015,00-0030656,Isaiah Crowell,RB,fantasy_points,27,118.8,0,0,0,0,1,1
2015,00-0031897,Thomas Rawls,RB,fantasy_points,28,118.6,0,0,0,0,1,1
2015,00-0030506,Travis Kelce,TE,fantasy_points,8,117.5,0,0,1,1,1,1
2015,00-0029682,Brock Osweiler,QB,fantasy_points,30,116.78,0,0,0,0,1,1
2015,00-0027325,LeGarrette Blount,RB,fantasy_points,29,116.6,0,0,0,0,1,1
2015,00-0022943,Benjamin Watson,TE,fantasy_points,9,116.5,0,0,1,1,1,1
2015,00-0032211,Tyler Lockett,WR,fantasy_points,34,116.4,0,0,0,0,1,1
2015,00-0029854,C.J. Anderson,RB,fantasy_points,30,116.3,0,0,0,0,1,1
2015,00-0030663,Willie Snead,WR,fantasy_points,35,114.4,0,0,0,0,1,1
2015,00-0026345,Pierre Garcon,WR,fantasy_points,36,113.7,0,0,0,0,1,1
2015,00-0032152,Karlos Williams,RB,fantasy_points,31,113.3,0,0,0,0,1,1
2015,00-0030668,Charcandrick West,RB,fantasy_points,32,112.8,0,0,0,0,1,1
2015,00-0027150,Julian Edelman,WR,fantasy_points,37,111.5,0,0,0,0,0,1
2015,00-0027974,Colin Kaepernick,QB,fantasy_points,31,110.2,0,0,0,0,1,1
2015,00-0031339,Donte Moncrief,WR,fantasy_points,38,109.3,0,0,0,0,0,1
2015,00-0029293,Marvin Jones,WR,fantasy_points,39,108.9,0,0,0,0,0,1
2015,00-0030460,Markus Wheaton,WR,fantasy_points,40,106.9,0,0,0,0,0,1
2015,00-0023564,Darren Sproles,RB,fantasy_points,33,106.5,0,0,0,0,1,1
2015,00-0029137,Alshon Jeffery,WR,fantasy_points,41,104.7,0,0,0,0,0,1
2015,00-0027864,Ryan Mathews,RB,fantasy_points,34,104.5,0,0,0,0,1,1
2015,00-0031384,Richard Rodgers,TE,fantasy_points,10,103.7,0,0,1,1,1,1
2015,00-0032257,Duke Johnson,RB,fantasy_points,35,103.3,0,0,0,0,1,1
2015,00-0030542,Terrance Williams,WR,fantasy_points,42,102,0,0,0,0,0,1
2015,00-0026164,Chris Johnson,RB,fantasy_points,36,101.2,0,0,0,0,1,1
2015,00-0022084,Anquan Boldin,WR,fantasy_points,43,100.9,0,0,0,0,0,1
2015,00-0031577,Javorius Allen,RB,fantasy_points,37,100.7,0,0,0,0,0,1
2015,00-0027994,Shane Vereen,RB,fantasy_points,38,99.4,0,0,0,0,0,1
2015,00-0030107,Theo Riddick,RB,fantasy_points,39,99,0,0,0,0,0,1
2015,00-0029159,Jermaine Kearse,WR,fantasy_points,44,98.5,0,0,0,0,0,1
2015,00-0031588,Stefon Diggs,WR,fantasy_points,45,97.3,0,0,0,0,0,1
2015,00-0031075,Alfred Blue,RB,fantasy_points,40,96.7,0,0,0,0,0,1
2015,00-0030279,Keenan Allen,WR,fantasy_points,46,96.5,0,0,0,0,0,1
2015,00-0029567,Nick Foles,QB,fantasy_points,32,96.08,0,0,0,0,1,1
2015,00-0031939,Matt Jones,RB,fantasy_points,41,95.4,0,0,0,0,0,1
2015,00-0030061,Zach Ertz,TE,fantasy_points,11,95.3,0,0,1,1,1,1
2015,00-0031409,Johnny Manziel,QB,fantasy_points,33,95,0,0,0,0,1,1
2015,00-0021547,Antonio Gates,TE,fantasy_points,12,93,0,0,1,1,1,1
2015,00-0027996,Torrey Smith,WR,fantasy_points,47,92.3,0,0,0,0,0,1
