season,gsis_id,player_name,position,category,pos_rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2023,00-0037304,Connor Heyward,TE,fantasy_points_hppr,58,28.2,0,0,0,0,0,0
2023,00-0038647,Ronnie Bell,WR,fantasy_points_hppr,133,27.8,0,0,0,0,0,0
2023,00-0036271,Quez Watkins,WR,fantasy_points_hppr,134,27.7,0,0,0,0,0,0
2023,00-0038941,Tyler Scott,WR,fantasy_points_hppr,135,27.4,0,0,0,0,0,0
2023,00-0037475,Stone Smartt,TE,fantasy_points_hppr,59,27,0,0,0,0,0,0
2023,00-0032156,Trevor Siemian,QB,fantasy_points_hppr,50,26.96,0,0,0,0,0,0
2023,00-0035264,Jarrett Stidham,QB,fantasy_points_hppr,51,26.64,0,0,0,0,0,0
2023,00-0036297,Darrynton Evans,RB,fantasy_points_hppr,83,26.5,0,0,0,0,0,0
2023,00-0037487,Deven Thompkins,WR,fantasy_points_hppr,136,26.4,0,0,0,0,0,0
2023,00-0032950,Carson Wentz,QB,fantasy_points_hppr,52,26.12,0,0,0,0,0,0
2023,00-0038465,Malik Heath,WR,fantasy_points_hppr,137,26,0,0,0,0,0,0
2023,00-0035993,Tyler Huntley,QB,fantasy_points_hppr,53,25.62,0,0,0,0,0,0
2023,00-0037273,Kyle Philips,WR,fantasy_points_hppr,138,25.6,0,0,0,0,0,0
2023,00-0036387,Jalen Reagor,WR,fantasy_points_hppr,139,25,0,0,0,0,0,0
2023,00-0036628,John Bates,TE,fantasy_points_hppr,60,24.6,0,0,0,0,0,0
2023,00-0034970,Irv Smith,TE,fantasy_points_hppr,61,24.5,0,0,0,0,0,0
2023,00-0035973,Patrick Taylor,RB,fantasy_points_hppr,84,24.5,0,0,0,0,0,0
2023,00-0038555,Tank Bigsby,RB,fantasy_points_hppr,85,24.3,0,0,0,0,0,0
2023,00-0037614,John Metchie,WR,fantasy_points_hppr,140,24.2,0,0,0,0,0,0
2023,00-0027973,Andy Dalton,QB,fantasy_points_hppr,54,23.64,0,0,0,0,0,0
2023,00-0036955,Terrace Marshall,WR,fantasy_points_hppr,141,23.4,0,0,0,0,0,0
2023,00-0034869,Sam Darnold,QB,fantasy_points_hppr,55,23.38,0,0,0,0,0,0
2023,00-0034297,Byron Pringle,WR,fantasy_points_hppr,142,23.1,0,0,0,0,0,0
2023,00-0037805,Jeremy Ruckert,TE,fantasy_points_hppr,62,23.1,0,0,0,0,0,0
2023,00-0033119,Jacoby Brissett,QB,fantasy_points_hppr,56,22.86,0,0,0,0,0,0
2023,00-0034054,River Cracraft,WR,fantasy_points_hppr,143,22.6,0,0,0,0,0,0
