season,player_id,player_display_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2020,00-0034857,Josh Allen,QB,fantasy_points,1,395.06,1,1,1,1,1,1
2020,00-0023459,Aaron Rodgers,QB,fantasy_points,2,382.26,1,1,1,1,1,1
2020,00-0035228,Kyler Murray,QB,fantasy_points,3,378.74,1,1,1,1,1,1
2020,00-0033873,Patrick Mahomes,QB,fantasy_points,4,374.4,0,1,1,1,1,1
2020,00-0033537,Deshaun Watson,QB,fantasy_points,5,369.32,0,1,1,1,1,1
2020,00-0029263,Russell Wilson,QB,fantasy_points,6,359.78000000000003,0,1,1,1,1,1
2020,00-0029701,Ryan Tannehill,QB,fantasy_points,7,347.36,0,0,1,1,1,1
2020,00-0019596,Tom Brady,QB,fantasy_points,8,337.92,0,0,1,1,1,1
2020,00-0036355,Justin Herbert,QB,fantasy_points,9,332.84000000000003,0,0,1,1,1,1
2020,00-0034796,Lamar Jackson,QB,fantasy_points,10,332.78000000000003,0,0,1,1,1,1
2020,00-0032764,Derrick Henry,RB,fantasy_points,1,314.1,1,1,1,1,1,1
2020,00-0029604,Kirk Cousins,QB,fantasy_points,11,306.2,0,0,1,1,1,1
2020,00-0033906,Alvin Kamara,RB,fantasy_points,2,294.8,1,1,1,1,1,1
2020,00-0033893,Dalvin Cook,RB,fantasy_points,3,293.8,1,1,1,1,1,1
2020,00-0026143,Matt Ryan,QB,fantasy_points,12,282.44,0,0,1,1,1,1
2020,00-0031280,Derek Carr,QB,fantasy_points,13,272.12,0,0,0,1,1,1
2020,00-0022924,Ben Roethlisberger,QB,fantasy_points,14,267.22,0,0,0,1,1,1
2020,00-0026498,Matthew Stafford,QB,fantasy_points,15,260.56,0,0,0,1,1,1
2020,00-0027939,Cam Newton,QB,fantasy_points,16,258.98,0,0,0,1,1,1
2020,00-0034855,Baker Mayfield,QB,fantasy_points,17,247.62,0,0,0,1,1,1
2020,00-0031381,Davante Adams,WR,fantasy_points,1,243.4,1,1,1,1,1,1
2020,00-0033040,Tyreek Hill,WR,fantasy_points,2,241.9,1,1,1,1,1,1
2020,00-0031237,Teddy Bridgewater,QB,fantasy_points,18,241.22,0,0,0,1,1,1
2020,00-0033106,Jared Goff,QB,fantasy_points,19,239.98,0,0,0,1,1,1
2020,00-0022942,Philip Rivers,QB,fantasy_points,20,239.96,0,0,0,1,1,1
2020,00-0036223,Jonathan Taylor,RB,fantasy_points,4,216.8,0,1,1,1,1,1
2020,00-0033293,Aaron Jones,RB,fantasy_points,5,211.9,0,1,1,1,1,1
2020,00-0035685,David Montgomery,RB,fantasy_points,6,210.8,0,1,1,1,1,1
