"mfl_id","player_name","gsis_id","team","pfr_id"
13959,"Darious Williams","00-0034203","JAC","WillDa09"
13963,"KhaDarel Hodge","00-0034854","ATL","HodgKh00"
13965,"Josh Tupou","00-0033347","CIN","TupoJo00"
13970,"Tony Brown","00-0034540","IND","BrowTo01"
13987,"Robert Spillane","00-0034720","LVR","SpilRo00"
13996,"Grant Haley","00-0034502","FA","HaleGr00"
13998,"Emmanuel Moseley","00-0034096","DET","MoseEm00"
14012,"Mike Ford","00-0034639","CLE","FordMi01"
14013,"Chandon Sullivan","00-0034468","PIT","SullCh00"
14024,"Dee Delaney","00-0034515","TBB","DelaDe00"
14026,"Joshua Kalu","00-0034662","WAS","KaluJo00"
14028,"Ryan Neal","00-0034527","TBB","NealRy00"
14037,"Jalen Davis","00-0034446","CIN","DaviJa06"
14043,"Dallin Leavitt","00-0034726","GBP","LeavDa00"
14045,"Chris Lacy","00-0034593","LVR",NA
14060,"Tyree Jackson","00-0035356","PHI","JackTy01"
14065,"Brett Rypien","00-0034955","LAR","RypiBr00"
14070,"David Blough","00-0035040","ARI","BlouDa00"
14084,"Elijah Holyfield","00-0035442","FA","HolyEl00"
14096,"Devine Ozigbo","00-0035184","DET","OzigDe01"
14108,"Greg Dortch","00-0035500","ARI","DortGr01"
14110,"David Sills","00-0035359","NYG","SillDa01"
14130,"Antoine Wesley","00-0035126","FA","WeslAn01"
14319,"Andrew Beck","00-0034959","HOU","BeckAn01"
14321,"Cody Thompson","00-0035164","SEA","ThomCo04"
14322,"TJ Edwards","00-0035386","CHI","EdwaTJ02"
14328,"Andrew Wingard","00-0035378","JAC","WingAn01"
14357,"Kendall Blanton","00-0035603","KCC","BlanKe01"
14358,"Jake Browning","00-0035100","CIN","BrowJa08"
14363,"Kevin Rader","00-0034193","TEN","RadeKe00"
14368,"Austin Walter","00-0035187","LVR","WaltAu00"
14370,"Tanner Hudson","00-0034613","CIN","HudsTa00"
14377,"Abdullah Anderson","00-0034587","WAS","AndeAb00"
14378,"Jalen Dalton","00-0035179","FA","DaltJa00"
14379,"Josh Woods","00-0034801","ARI","WoodJo02"
14384,"Malik Reed","00-0034954","MIA","ReedMa01"
14400,"Jonathan Ledbetter","00-0035343","ARI","LedbJo01"
14401,"Sam Eguavoen","00-0034902","NYJ","EguaSa00"
14405,"Carl Granderson","00-0035402","NOS","GranCa01"
14411,"Tevaughn Campbell","00-0034903","JAC","CampTe00"
14412,"Alex Singleton","00-0031898","DEN","SingAl00"
14414,"Jonathan Owens","00-0034485","GBP","OwenJo01"
14420,"Alec Ingold","00-0035125","MIA","IngoAl01"
14434,"Jeremy Reaves","00-0034465","WAS","ReavJe00"
14435,"Reggie Bonnafon","00-0034578","FA","BonnRe00"
14452,"Chris Lammons","00-0034145","IND","LammCh00"
14467,"DelShawn Phillips","00-0035202","BAL","PhilDe00"
14472,"Tyrel Dodson","00-0035352","BUF","DodsTy01"
14494,"Andrew Dowell","00-0035412","NOS","DoweAn00"
14495,"Luke Gifford","00-0035413","TEN","GiffLu00"
14503,"Tom Kennedy","00-0035544","FA","KennTo01"
14506,"Anthony Pittman","00-0035330","DET","PittAn01"
14509,"Curtis Bolton","00-0035076","LVR","BoltCu00"
14518,"Jalen Thompson","00-0035705","ARI","ThomJa04"
14519,"Jordan Kunaszyk","00-0035444","CLE","KunaJo00"
14535,"Amani Bledsoe","00-0035513","FA","BledAm01"
14543,"Darius Harris","00-0035157","LVR","HarrDa07"
14545,"Jason Moore","00-0035432","FA","MoorJa02"
14551,"Trenton Irwin","00-0035341","CIN","IrwiTr00"
14552,"Khari Blasingame","00-0035099","CHI","BlasKh00"
14590,"Azeez Al-Shaair","00-0035166","TEN","AlShAz00"
14595,"Kevin Strong","00-0035334","ARI","StroKe00"
14612,"Patrick Laird","00-0035342","TBB","LairPa00"
14624,"Micah Abernathy","00-0035098","ATL","AberMi00"
14652,"Kevin Givens","00-0035026","SFO","GiveKe01"
14653,"Isaiah Mack","00-0035519","FA","MackIs00"
14669,"Keisean Nixon","00-0035133","GBP","NixoKe00"
14670,"Daniel Ekuale","00-0034251","NEP","EkuaDa00"
14671,"CJ Moore","00-0035327","FA","MoorCJ01"
14672,"Troy Reeder","00-0035617","MIN","ReedTr01"
14675,"Shy Tuttle","00-0035409","CAR","TuttSh00"
14676,"Kyle Phillips","00-0035507","NOS","PhilKy00"
14680,"Bryan Mone","00-0035094","SEA","MoneBr00"
14681,"Demone Harris","00-0034612","FA","HarrDe06"
14702,"Roderic Teamer","00-0035437","LVR","TeamRo00"
14716,"Jonathan Harris","00-0035073","DEN","HarrJo05"
14722,"Nik Needham","00-0035346","MIA","NeedNi00"
14727,"Craig Reynolds","00-0035567","DET","ReynCr00"
14738,"Anthony Rush","00-0035390","FA","RushAn00"
14752,"Jesper Horsted","00-0035562","LVR","HorsJe00"
14789,"Tyler Huntley","00-0035993","BAL","HuntTy01"
14792,"Bryce Perkins","00-0035939","FA","PerkBr02"
14812,"Darius Anderson","00-0036027","FA","AndeDa03"
