"club_code","depth_team","FS","S","CB","SS","DE","DT","NT","OLB","ILB","C","RT","G","T","LG","RG","LT","QB","RB","P","K","LS","TE","WR","DB","DL","FB","RUSH","SAM","MLB","WLB","LB","X.....","NCB","EDGE","SLB","MIKE","WILL","RDE","LDE","ROT","LOT","HB","NKL","RCB","LCB","RE","LE","NB","RILB","LOLB","LILB","ROLB","RDT","LDT"
"NO","1","T. Mathieu (FS, Active)","NULL","NULL","M. Maye (SS, Active)","NULL","c(""D. Onyemata (DT, Active)"", ""S. Tuttle (DT, Active)"")","NULL","NULL","NULL","E. McCoy (C, Active)","R. Ramczyk (RT, Active)","NULL","NULL","A. Peat (LG, Active)","C. Throckmorton (RG, Active)","J. Hurst (LT, Active)","A. Dalton (QB, Active)","A. Kamara (RB, Active)","NULL","NULL","NULL","A. Trautman (TE, Active)","c(""T. Smith (WR, Active)"", ""M. Callaway (WR, Active)"")","NULL","NULL","A. Prentice (FB, Active)","NULL","K. Elliss (SAM, Active)","D. Davis (MLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","P. Werner (WILL, Active)","M. Davenport (RDE, Active)","C. Jordan (LDE, Active)","NULL","NULL","NULL","NULL","M. Lattimore (RCB, Active)","S. Adebo (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NYG","1","J. Pinnock (FS, Active)","NULL","NULL","J. Love (SS, Active)","A. Ojulari (DE, Active)","L. Williams (DT, Active)","D. Lawrence (NT, Active)","NULL","NULL","J. Feliciano (C, Active)","E. Neal (RT, Active)","NULL","NULL","N. Gates (LG, Active)","M. Glowinski (RG, Active)","A. Thomas (LT, Active)","D. Jones (QB, Active)","S. Barkley (RB, Active)","NULL","NULL","NULL","D. Bellinger (TE, Active)","c(""K. Golladay (WR, Active)"", ""D. Slayton (WR, Active)"", ""I. Hodgins (WR, Active)"")","NULL","NULL","NULL","K. Thibodeaux (RUSH, Active)","NULL","M. McFadden (MLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Smith (WILL, Active)","NULL","NULL","NULL","NULL","NULL","D. Holmes (NKL, Active)","F. Moreau (RCB, Active)","A. Jackson (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NYJ","1","NULL","c(""J. Whitehead (S, Active)"", ""T. Adams (S, Active)"")","c(""D. Reed (CB, Active)"", ""A. Gardner (CB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","C. McGovern (C, Active)","C. Ogbuehi (RT, Active)","NULL","NULL","L. Tomlinson (LG, Active)","L. Duvernay-Tardif (RG, Active)","M. Remmers (LT, Active)","M. White (QB, Active)","Z. Knight (RB, Active)","NULL","NULL","NULL","c(""C. Uzomah (TE, Active)"", ""T. Conklin (TE, Active)"")","c(""C. Davis (WR, Active)"", ""E. Moore (WR, Active)"", ""G. Wilson (WR, Active)"")","NULL","c(""S. Rankins (DL, Active)"", ""Q. Williams (DL, Active)"")","NULL","NULL","NULL","NULL","NULL","c(""C. Mosley (LB, Active)"", ""S. Alexander (LB, Active)"", ""Q. Williams (LB, Active)"")","NULL","M. Carter (NCB, Active)","c(""C. Lawson (EDGE, Active)"", ""J. Franklin-Myers (EDGE, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"PHI","1","NULL","c(""M. Epps (S, Active)"", ""R. Blankenship (S, Active)"")","c(""D. Slay (CB, Active)"", ""J. Bradberry (CB, Active)"")","NULL","c(""B. Graham (DE, Active)"", ""J. Sweat (DE, Active)"")","c(""F. Cox (DT, Active)"", ""J. Hargrave (DT, Active)"")","NULL","NULL","NULL","J. Kelce (C, Active)","L. Johnson (RT, Active)","NULL","NULL","L. Dickerson (LG, Active)","I. Seumalo (RG, Active)","L. Mailata (LT, Active)","G. Minshew (QB, Active)","M. Sanders (RB, Active)","NULL","NULL","NULL","D. Goedert (TE, Active)","c(""A. Brown (WR, Active)"", ""T. Watkins (WR, Active)"", ""D. Smith (WR, Active)"")","NULL","NULL","NULL","NULL","H. Reddick (SAM, Active)","NULL","NULL","NULL","NULL","J. Scott (NCB, Active)","NULL","NULL","T. Edwards (MIKE, Active)","K. White (WILL, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"PIT","1","M. Fitzpatrick (FS, Active)","NULL","NULL","F. Edmunds (SS, Active)","O. Ogunjobi (DE, Active)","C. Heyward (DT, Active)","M. Adams (NT, Active)","NULL","NULL","M. Cole (C, Active)","C. Okorafor (RT, Active)","NULL","NULL","K. Dotson (LG, Active)","J. Daniels (RG, Active)","D. Moore (LT, Active)","K. Pickett (QB, Active)","N. Harris (RB, Active)","NULL","NULL","NULL","P. Freiermuth (TE, Active)","c(""D. Johnson (WR, Active)"", ""G. Pickens (WR, Active)"")","NULL","NULL","D. Watt (FB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","C. Sutton (RCB, Active)","L. Wallace (LCB, Active)","NULL","NULL","A. Maulet (NB, Active)","M. Jack (RILB, Active)","T. Watt (LOLB, Active)","D. Bush (LILB, Active)","A. Highsmith (ROLB, Active)","NULL","NULL"
"SEA","1","Q. Diggs (FS, Active)","NULL","NULL","J. Abram (SS, Active)","c(""S. Harris (DE, Active)"", ""K. Ford (DE, Active)"")","NULL","A. Woods (NT, Active)","c(""B. Irvin (OLB, Active)"", ""U. Nwosu (OLB, Active)"")","c(""C. Barton (ILB, Active)"", ""T. Muse (ILB, Active)"")","A. Blythe (C, Active)","A. Lucas (RT, Active)","NULL","NULL","D. Lewis (LG, Active)","G. Jackson (RG, Active)","C. Cross (LT, Active)","E. Smith (QB, Active)","K. Walker (RB, Active)","NULL","NULL","NULL","N. Fant (TE, Active)","c(""T. Lockett (WR, Active)"", ""D. Metcalf (WR, Active)"")","NULL","NULL","N. Bellore (FB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","T. Woolen (RCB, Active)","M. Jackson (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"SF","1","T. Gipson (FS, Active)","NULL","NULL","S. Hufanga (SS, Active)","NULL","NULL","NULL","NULL","NULL","J. Brendel (C, Active)","M. McGlinchey (RT, Active)","NULL","NULL","A. Banks (LG, Active)","S. Burford (RG, Active)","T. Williams (LT, Active)","J. Garoppolo (QB, Active)","C. McCaffrey (RB, Active)","NULL","NULL","NULL","G. Kittle (TE, Active)","c(""T. Samuel (WR, Active)"", ""B. Aiyuk (WR, Active)"")","NULL","NULL","K. Juszczyk (FB, Active)","NULL","A. Al-Shaair (SAM, Active)","NULL","NULL","NULL","NULL","J. Ward (NCB, Active)","NULL","NULL","F. Warner (MIKE, Active)","K. Greenlaw (WILL, Active)","N. Bosa (RDE, Active)","N. Ebukam (LDE, Active)","NULL","NULL","NULL","NULL","C. Ward (RCB, Active)","D. Lenoir (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","A. Armstead (RDT, Active)","K. Givens (LDT, Active)"
"TB","1","NULL","c(""M. Edwards (S, Active)"", ""A. Winfield (S, Active)"")","c(""C. Davis (CB, Active)"", ""J. Dean (CB, Active)"")","NULL","NULL","NULL","T. Vea (NT, Active)","c(""A. Nelson (OLB, Active)"", ""J. Tryon (OLB, Active)"")","c(""L. David (ILB, Active)"", ""D. White (ILB, Active)"")","R. Hainsey (C, Active)","T. Wirfs (RT, Active)","NULL","NULL","N. Leverett (LG, Active)","S. Mason (RG, Active)","D. Smith (LT, Active)","T. Brady (QB, Active)","L. Fournette (RB, Active)","NULL","NULL","NULL","C. Brate (TE, Active)","c(""Q. Jones (WR, Active)"", ""M. Evans (WR, Active)"", ""R. Godwin (WR, Active)"")","NULL","c(""A. Hicks (DL, Active)"", ""W. Gholston (DL, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"TEN","1","NULL","c(""K. Byard (S, Active)"", ""A. Hooker (S, Active)"")","c(""K. Fulton (CB, Active)"", ""R. McCreary (CB, Active)"")","NULL","D. Walker (DE, Active)","J. Simmons (DT, Active)","T. Tart (NT, Active)","c(""D. Autry (OLB, Active)"", ""R. Weaver (OLB, Active)"")","c(""D. Cole (ILB, Active)"", ""M. Rice (ILB, Active)"")","C. Levin (C, Active)","N. Petit-Frere (RT, Active)","NULL","NULL","A. Brewer (LG, Active)","NULL","D. Daley (LT, Active)","R. Dobbs (QB, Active)","D. Henry (RB, Active)","NULL","NULL","NULL","c(""G. Swaim (TE, Active)"", ""A. Hooper (TE, Active)"")","c(""R. Woods (WR, Active)"", ""N. Westbrook-Ikhine (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"WAS","1","NULL","c(""B. McCain (S, Active)"", ""K. Curl (S, Active)"", ""D. Forrest (S, Active)"")","c(""K. Fuller (CB, Active)"", ""D. Johnson (CB, Active)"")","NULL","c(""M. Sweat (DE, Active)"", ""C. Young (DE, Active)"")","c(""J. Allen (DT, Active)"", ""D. Payne (DT, Active)"")","NULL","D. Mayo (OLB, Active)","NULL","W. Schweitzer (C, Active)","C. Lucas (RT, Active)","NULL","NULL","A. Norwell (LG, Active)","T. Turner (RG, Active)","C. Leno (LT, Active)","S. Howell (QB, Active)","R. Bonnafon (RB, Active)","NULL","NULL","NULL","L. Thomas (TE, Active)","c(""C. Samuel (WR, Active)"", ""T. McLaurin (WR, Active)"", ""J. Dotson (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","K. Hudson (MLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
