"club_code","depth_team","FS","S","CB","SS","DE","DT","NT","OLB","ILB","C","RT","G","T","LG","RG","LT","QB","RB","P","K","LS","TE","WR","DB","DL","FB","RUSH","SAM","MLB","WLB","LB","X.....","NCB","EDGE","SLB","MIKE","WILL","RDE","LDE","ROT","LOT","HB","NKL","RCB","LCB","RE","LE","NB","RILB","LOLB","LILB","ROLB","RDT","LDT"
"ARI","2","NULL","C. Washington (S, Active)","c(""J. Jackson (CB, Active)"", ""C. Matthew (CB, Active)"")","NULL","NULL","E. Jones (DT, Active)","NULL","c(""C. Thomas (OLB, Active)"", ""M. Sanders (OLB, Active)"")","c(""B. Niemann (ILB, Active)"", ""E. Turner (ILB, Active)"")","S. Harlow (C, Active)","NULL","NULL","NULL","C. Ford (LG, Active)","L. Smith (RG, Active)","NULL","D. Blough (QB, Active)","K. Ingram (RB, Active)","NULL","NULL","NULL","S. Anderson (TE, Active)","c(""P. Cooper (WR, Active)"", ""G. Dortch (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"ATL","2","NULL","NULL","c(""M. Oliver (CB, Active)"", ""D. Alford (CB, Active)"")","E. Harris (SS, Active)","NULL","NULL","NULL","c(""A. Ebiketie (OLB, Active)"", ""D. Malone (OLB, Active)"")","c(""N. Kwiatkoski (ILB, Active)"", ""M. Walker (ILB, Active)"")","R. Neuzil (C, Active)","G. Ifedi (RT, Active)","NULL","NULL","C. Gossett (LG, Active)","NULL","NULL","L. Woodside (QB, Active)","T. Allgeier (RB, Active)","NULL","NULL","NULL","M. Pruitt (TE, Active)","c(""D. Byrd (WR, Active)"", ""K. Hodge (WR, Active)"")","NULL","c(""J. Johnson (DL, Active)"", ""T. Horne (DL, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"BAL","2","G. Stone (FS, Active)","NULL","D. Williams (CB, Active)","K. Hamilton (SS, Active)","NULL","B. Washington (DT, Active)","T. Jones (NT, Active)","NULL","NULL","T. Colon (C, Active)","P. Mekari (RT, Active)","NULL","NULL","B. Cleveland (LG, Active)","T. Colon (RG, Active)","P. Mekari (LT, Active)","A. Brown (QB, Active)","G. Edwards (RB, Active)","NULL","NULL","NULL","I. Likely (TE, Active)","J. Proche (WR, Active)","NULL","NULL","NULL","J. Pierre-Paul (RUSH, Active)","J. Houston (SAM, Active)","K. Welch (MLB, Active)","M. Harrison (WLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"BUF","2","NULL","c(""J. Johnson (S, Active)"", ""C. Lewis (S, Active)"")","c(""C. Lewis (CB, Active)"", ""K. Elam (CB, Active)"")","NULL","NULL","c(""D. Jones (DT, Active)"", ""E. Ankou (DT, Active)"")","NULL","NULL","NULL","G. Van Roten (C, Active)","D. Quessenberry (RT, Active)","NULL","NULL","B. Hart (LG, Active)","I. Boettger (RG, Active)","D. Quessenberry (LT, Active)","C. Keenum (QB, Active)","J. Cook (RB, Active)","NULL","NULL","NULL","Q. Morris (TE, Active)","c(""C. Beasley (WR, Active)"", ""K. Shakir (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","T. Dodson (MLB, Active)","B. Spector (WLB, Active)","NULL","NULL","S. Neal (NCB, Active)","c(""A. Epenesa (EDGE, Active)"", ""C. Basham (EDGE, Active)"")","T. Dodson (SLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CAR","2","M. Hartsfield (FS, Active)","NULL","c(""T. Carrie (CB, Active)"", ""K. Taylor (CB, Active)"")","J. Burris (SS, Active)","c(""M. Haynes (DE, Active)"", ""A. Barno (DE, Active)"")","c(""B. Roy (DT, Active)"", ""M. McCall (DT, Active)"")","NULL","NULL","NULL","C. Mays (C, Active)","C. Erving (RT, Active)","NULL","NULL","M. Jordan (LG, Active)","C. Mays (RG, Active)","B. Christensen (LT, Active)","P. Walker (QB, Active)","C. Hubbard (RB, Active)","NULL","NULL","NULL","c(""S. Sullivan (TE, Active)"", ""G. Ricci (TE, Active)"")","c(""L. Shenault (WR, Active)"", ""S. Smith (WR, Active)"")","NULL","NULL","NULL","NULL","C. Littleton (SAM, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Iyiegbuniwe (MIKE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CHI","2","NULL","c(""E. Hicks (S, Active)"", ""A. Thomas (S, Active)"")","c(""B. Borders (CB, Active)"", ""M. Ojemudia (CB, Active)"")","NULL","D. Robinson (DE, Active)","c(""A. Blackson (DT, Active)"", ""J. Holmes (DT, Active)"", ""T. Lewis (DT, Active)"")","NULL","NULL","NULL","D. Eiselen (C, Active)","NULL","NULL","NULL","NULL","J. Carter (RG, Active)","A. Leatherwood (LT, Active)","J. Fields (QB, Active)","K. Herbert (RB, Active)","NULL","NULL","NULL","R. Griffin (TE, Active)","c(""B. Pringle (WR, Active)"", ""N. Harry (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""E. Lee (LB, Active)"", ""D. Gates (LB, Active)"", ""S. Weatherford (LB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CIN","2","NULL","c(""M. Thomas (S, Active)"", ""D. Hill (S, Active)"")","c(""T. Flowers (CB, Active)"", ""D. George (CB, Active)"")","NULL","NULL","Z. Carter (DT, Active)","J. Tupou (NT, Active)","NULL","NULL","T. Hill (C, Active)","NULL","NULL","NULL","J. Carman (LG, Active)","M. Scharping (RG, Active)","NULL","B. Allen (QB, Active)","NULL","NULL","NULL","NULL","M. Wilcox (TE, Active)","c(""T. Taylor (WR, Active)"", ""T. Irwin (WR, Active)"", ""S. Morgan (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""A. Davis-Gaither (LB, Active)"", ""M. Bailey (LB, Active)"")","NULL","J. Davis (NCB, Active)","NULL","NULL","NULL","NULL","J. Ossai (RDE, Active)","C. Sample (LDE, Active)","D. Smith (ROT, Active)","J. Carman (LOT, Active)","S. Perine (HB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CLE","2","D. Bell (FS, Active)","NULL","c(""A. Williams (CB, Active)"", ""M. Emerson (CB, Active)"")","R. Harrison (SS, Active)","I. Thomas (DE, Active)","c(""T. Togiai (DT, Active)"", ""P. Winfrey (DT, Active)"")","NULL","NULL","NULL","NULL","C. Hubbard (RT, Active)","NULL","NULL","A. Forbes (LG, Active)","H. Froholdt (RG, Active)","J. Hudson (LT, Active)","J. Brissett (QB, Active)","K. Hunt (RB, Active)","NULL","NULL","NULL","P. Brown (TE, Active)","c(""D. Felton (WR, Active)"", ""D. Bell (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Carter (MIKE, Active)","O. Davis (WILL, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DAL","2","NULL","c(""I. Mukuamu (S, Active)"", ""M. Bell (S, Active)"")","K. Joseph (CB, Active)","NULL","c(""S. Williams (DE, Active)"", ""D. Fowler (DE, Active)"")","c(""C. Watkins (DT, Active)"", ""N. Gallimore (DT, Active)"")","NULL","NULL","NULL","C. McGovern (C, Active)","J. Ball (RT, Active)","NULL","NULL","J. Peters (LG, Active)","NULL","J. Peters (LT, Active)","C. Rush (QB, Active)","T. Pollard (RB, Active)","NULL","NULL","NULL","J. Ferguson (TE, Active)","c(""E. Hilton (WR, Active)"", ""K. Turpin (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""A. Barr (LB, Active)"", ""D. Clark (LB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DEN","2","J. Locke (FS, Active)","NULL","NULL","D. Turner-Yell (SS, Active)","c(""J. Harris (DE, Active)"", ""M. Henningsen (DE, Active)"")","M. Purcell (DT, Active)","NULL","NULL","c(""J. Strnad (ILB, Active)"", ""J. Strnad (ILB, Active)"")","L. Wattenberg (C, Active)","Q. Bailey (RT, Active)","NULL","NULL","G. Glasgow (LG, Active)","L. Wattenberg (RG, Active)","C. Anderson (LT, Active)","B. Rypien (QB, Active)","C. Edmonds (RB, Active)","NULL","NULL","NULL","E. Saubert (TE, Active)","c(""F. Swain (WR, Active)"", ""B. Johnson (WR, Active)"", ""J. Virgil (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","N. Bonitto (WLB, Active)","NULL","NULL","NULL","NULL","J. Kongbo (SLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","K. Williams (RCB, Active)","L. Jackson (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DET","2","NULL","c(""C. Moore (S, Active)"", ""I. Melifonwu (S, Active)"")","c(""M. Hughes (CB, Active)"", ""A. Oruwariye (CB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","E. Brown (C, Active)","M. Nelson (RT, Active)","NULL","NULL","D. Skipper (LG, Active)","K. Awosika (RG, Active)","NULL","N. Sudfeld (QB, Active)","D. Swift (RB, Active)","NULL","NULL","NULL","J. Mitchell (TE, Active)","c(""K. Raymond (WR, Active)"", ""J. Williams (WR, Active)"")","NULL","c(""M. Brockers (DL, Active)"", ""B. Jones (DL, Active)"", ""J. Paschal (DL, Active)"", ""J. Houston (DL, Active)"")","NULL","NULL","NULL","NULL","NULL","c(""C. Board (LB, Active)"", ""D. Barnes (LB, Active)"")","C. Reynolds (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"GB","2","NULL","c(""J. Ford (S, Active)"", ""D. Leavitt (S, Active)"")","c(""K. Nixon (CB, Active)"", ""S. Jean-Charles (CB, Active)"")","NULL","c(""T. Slaton (DE, Active)"", ""T. Slaton (DE, Active)"")","NULL","T. Slaton (NT, Active)","c(""J. Hollins (OLB, Active)"", ""J. Garvin (OLB, Active)"")","c(""K. Barnes (ILB, Active)"", ""S. McDuffie (ILB, Active)"")","Z. Tom (C, Active)","R. Walker (RT, Active)","NULL","NULL","R. Newman (LG, Active)","R. Newman (RG, Active)","Z. Tom (LT, Active)","J. Love (QB, Active)","A. Dillon (RB, Active)","NULL","NULL","NULL","R. Tonyan (TE, Active)","c(""R. Doubs (WR, Active)"", ""B. Melton (WR, Active)"", ""S. Toure (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"HOU","2","NULL","c(""E. Murray (S, Active)"", ""M. Stewart (S, Active)"")","c(""T. Smith (CB, Active)"", ""J. Francis (CB, Active)"")","NULL","c(""M. Addison (DE, Active)"", ""J. Greenard (DE, Active)"")","c(""T. Booker (DT, Active)"", ""K. Hinish (DT, Active)"")","NULL","NULL","NULL","J. Morrissey (C, Active)","A. Deculus (RT, Active)","NULL","NULL","J. McCray (LG, Active)","NULL","C. Heck (LT, Active)","J. Driskel (QB, Active)","R. Freeman (RB, Active)","NULL","NULL","NULL","T. Quitoriano (TE, Active)","c(""P. Dorsett (WR, Active)"", ""A. Rodgers (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""J. Reeves-Maybin (LB, Active)"", ""B. Cashman (LB, Active)"", ""G. Wallow (LB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"IND","2","R. Thomas (FS, Active)","NULL","c(""S. Gilmore (CB, Active)"", ""D. Baker (CB, Active)"")","N. Cross (SS, Active)","c(""B. Banogu (DE, Active)"", ""K. Kareem (DE, Active)"")","B. Cowart (DT, Active)","E. Johnson (NT, Active)","NULL","NULL","W. French (C, Active)","NULL","NULL","NULL","NULL","M. Pryor (RG, Active)","D. Kelly (LT, Active)","M. Ryan (QB, Active)","Z. Moss (RB, Active)","NULL","NULL","NULL","c(""N. Kalinic (TE, Active)"", ""K. Granson (TE, Active)"")","c(""A. Dulin (WR, Active)"", ""M. Strachan (WR, Active)"")","NULL","NULL","NULL","NULL","J. Domann (SAM, Active)","NULL","C. McGrone (WLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"JAX","2","D. Thomas (FS, Active)","NULL","c(""T. Campbell (CB, Active)"", ""C. Claybrooks (CB, Active)"", ""M. Brown (CB, Active)"")","A. Wingard (SS, Active)","c(""A. Gotsis (DE, Active)"", ""A. Key (DE, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B. Hance (LG, Active)","C. Van Lanen (RG, Active)","NULL","C. Beathard (QB, Active)","J. Hasty (RB, Active)","NULL","NULL","NULL","c(""D. Arnold (TE, Active)"", ""L. Farrell (TE, Active)"")","c(""J. Agnew (WR, Active)"", ""T. Jones (WR, Active)"", ""K. Pryor (WR, Active)"")","NULL","NULL","NULL","NULL","K. Chaisson (SAM, Active)","NULL","NULL","c(""S. Quarterman (LB, Active)"", ""D. Lloyd (LB, Active)"")","NULL","NULL","NULL","NULL","NULL","D. Dixon (WILL, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"KC","2","NULL","c(""D. Bush (S, Active)"", ""B. Cook (S, Active)"")","c(""J. Williams (CB, Active)"", ""J. Watson (CB, Active)"")","NULL","c(""G. Karlaftis (DE, Active)"", ""C. Dunlap (DE, Active)"")","c(""B. Williams (DT, Active)"", ""K. Saunders (DT, Active)"")","NULL","NULL","NULL","N. Allegretti (C, Active)","D. Kinnard (RT, Active)","NULL","NULL","N. Allegretti (LG, Active)","N. Allegretti (RG, Active)","P. Wanogho (LT, Active)","C. Henne (QB, Active)","J. McKinnon (RB, Active)","NULL","NULL","NULL","N. Gray (TE, Active)","c(""K. Toney (WR, Active)"", ""S. Moore (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""D. Harris (LB, Active)"", ""J. Cochrane (LB, Active)"", ""J. Cochrane (LB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"LA","2","NULL","NULL","NULL","C. Yeast (SS, Active)","J. Williams (DE, Active)","L. Murchison (DT, Active)","B. Brown (NT, Active)","c(""M. Hoecht (OLB, Active)"", ""K. Thomas (OLB, Active)"")","c(""T. Howard (ILB, Active)"", ""C. Rozeboom (ILB, Active)"")","C. Shelton (C, Active)","NULL","NULL","NULL","NULL","O. Aboushi (RG, Active)","A. Nsekhe (LT, Active)","J. Wolford (QB, Active)","K. Williams (RB, Active)","NULL","NULL","NULL","B. Hopkins (TE, Active)","c(""B. Skowronek (WR, Active)"", ""L. McCutcheon (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","D. Long (RCB, Active)","R. Rochell (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"LAC","2","NULL","c(""A. Gilman (S, Active)"", ""J. Woods (S, Active)"")","c(""J. Taylor (CB, Active)"", ""D. Leonard (CB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","W. Clapp (C, Active)","F. Sarell (RT, Active)","NULL","NULL","B. Jaimes (LG, Active)","B. Jaimes (RG, Active)","F. Sarell (LT, Active)","W. Daniel (QB, Active)","J. Kelley (RB, Active)","NULL","NULL","NULL","D. Parham (TE, Active)","c(""D. Carter (WR, Active)"", ""J. Palmer (WR, Active)"")","NULL","c(""T. Davison (DL, Active)"", ""B. Fehoko (DL, Active)"")","NULL","NULL","NULL","NULL","NULL","c(""K. Van Noy (LB, Active)"", ""T. Reeder (LB, Active)"")","NULL","NULL","c(""K. Van Noy (EDGE, Active)"", ""C. Rumph (EDGE, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"LV","2","M. Farley (FS, Active)","NULL","c(""A. Robertson (CB, Active)"", ""S. Webb (CB, Active)"")","R. Teamer (SS, Active)","c(""T. Bower (DE, Active)"", ""C. Ferrell (DE, Active)"")","c(""K. Peko (DT, Active)"", ""N. Farrell (DT, Active)"")","NULL","C. Bolton (OLB, Active)","NULL","H. Grasu (C, Active)","T. Munford (RT, Active)","NULL","NULL","NULL","NULL","J. Barton (LT, Active)","J. Stidham (QB, Active)","B. Bolden (RB, Active)","NULL","NULL","NULL","F. Moreau (TE, Active)","c(""K. Cole (WR, Active)"", ""H. Renfrow (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Z. White (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"MIA","2","NULL","c(""C. Fejedelem (S, Active)"", ""E. Campbell (S, Active)"")","c(""N. Igbinoghene (CB, Active)"", ""K. Kohou (CB, Active)"")","NULL","NULL","NULL","J. Jenkins (NT, Active)","NULL","NULL","M. Deiter (C, Active)","B. Shell (RT, Active)","NULL","NULL","L. Eichenberg (LG, Active)","L. Cotton (RG, Active)","G. Little (LT, Active)","T. Bridgewater (QB, Active)","c(""L. Perine (RB, Active)"", ""S. Ahmed (RB, Active)"")","NULL","NULL","NULL","D. Smythe (TE, Active)","c(""C. Wilson (WR, Active)"", ""T. Sherfield (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""M. Ingram (LB, Active)"", ""S. Eguavoen (LB, Active)"", ""D. Riley (LB, Active)"", ""A. Van Ginkel (LB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"MIN","2","NULL","c(""J. Metellus (S, Active)"", ""T. Jackson (S, Active)"")","c(""C. Sullivan (CB, Active)"", ""C. Dantzler (CB, Active)"")","NULL","c(""R. Blacklock (DE, Active)"", ""E. Otomewo (DE, Active)"")","NULL","J. Lynch (NT, Active)","c(""D. Wonnum (OLB, Active)"", ""P. Jones (OLB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","C. Reed (RG, Active)","V. Lowe (LT, Active)","N. Mullens (QB, Active)","NULL","NULL","NULL","NULL","I. Smith (TE, Active)","c(""J. Reagor (WR, Active)"", ""K. Osborn (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","T. Dye (MLB, Active)","B. Asamoah (WLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","A. Mattison (HB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NE","2","NULL","c(""A. Phillips (S, Active)"", ""J. Peppers (S, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Ferentz (C, Active)","Y. Cajuste (RT, Active)","NULL","NULL","J. Ferentz (LG, Active)","J. Ferentz (RG, Active)","Y. Cajuste (LT, Active)","B. Zappe (QB, Active)","c(""P. Strong (RB, Active)"", ""K. Harris (RB, Active)"")","NULL","NULL","NULL","J. Smith (TE, Active)","c(""N. Agholor (WR, Active)"", ""K. Bourne (WR, Active)"")","NULL","c(""C. Davis (DL, Active)"", ""D. Ekuale (DL, Active)"")","NULL","NULL","NULL","NULL","NULL","c(""R. McMillan (LB, Active)"", ""M. Wilson (LB, Active)"", ""J. Uche (LB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","S. Wade (RCB, Active)","M. Jones (LCB, Active)","S. Roberts (RE, Active)","D. Mitchell (LE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NO","2","K. Williams (FS, Active)","NULL","NULL","J. Gray (SS, Active)","NULL","c(""K. Street (DT, Active)"", ""M. Roach (DT, Active)"")","NULL","NULL","NULL","NULL","L. Kidd (RT, Active)","NULL","NULL","NULL","NULL","L. Young (LT, Active)","J. Winston (QB, Active)","NULL","NULL","NULL","NULL","T. Hill (TE, Active)","c(""K. Merritt (WR, Active)"", ""C. Olave (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","T. Summers (MLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","A. Dowell (WILL, Active)","C. Granderson (RDE, Active)","T. Kpassagnon (LDE, Active)","NULL","NULL","NULL","NULL","A. Taylor (RCB, Active)","B. Roby (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NYG","2","D. Belton (FS, Active)","NULL","NULL","D. Belton (SS, Active)","J. Ward (DE, Active)","H. Mondeaux (DT, Active)","J. Ellis (NT, Active)","NULL","NULL","N. Gates (C, Active)","T. Phillips (RT, Active)","NULL","NULL","B. Bredeson (LG, Active)","J. Anderson (RG, Active)","M. Peart (LT, Active)","T. Taylor (QB, Active)","M. Breida (RB, Active)","NULL","NULL","NULL","N. Vannett (TE, Active)","c(""M. Johnson (WR, Active)"", ""R. James (WR, Active)"")","NULL","NULL","NULL","O. Ximines (RUSH, Active)","NULL","C. Coughlin (MLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","L. Collins (WILL, Active)","NULL","NULL","NULL","NULL","NULL","N. McCloud (NKL, Active)","C. Flott (RCB, Active)","F. Moreau (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NYJ","2","NULL","A. Davis (S, Active)","c(""J. Hardee (CB, Active)"", ""B. Hall (CB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","D. Feeney (C, Active)","NULL","NULL","NULL","D. Feeney (LG, Active)","NULL","A. Pankey (LT, Active)","J. Flacco (QB, Active)","M. Carter (RB, Active)","NULL","NULL","NULL","c(""K. Yeboah (TE, Active)"", ""J. Ruckert (TE, Active)"")","c(""B. Berrios (WR, Active)"", ""B. Berrios (WR, Active)"", ""D. Mims (WR, Active)"")","NULL","c(""S. Thomas (DL, Active)"", ""N. Shepherd (DL, Active)"")","NULL","NULL","NULL","NULL","NULL","c(""J. Sherwood (LB, Active)"", ""J. Sherwood (LB, Active)"", ""H. Nasirildeen (LB, Active)"")","NULL","NULL","c(""B. Huff (EDGE, Active)"", ""J. Johnson (EDGE, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"PHI","2","NULL","K. Wallace (S, Active)","c(""Z. McPhearson (CB, Active)"", ""J. Jobe (CB, Active)"")","NULL","NULL","c(""N. Suh (DT, Active)"", ""J. Davis (DT, Active)"")","NULL","NULL","NULL","C. Jurgens (C, Active)","J. Driscoll (RT, Active)","NULL","NULL","NULL","J. Sills (RG, Ex/Comm. Perm.)","A. Dillard (LT, Active)","I. Book (QB, Active)","B. Scott (RB, Active)","NULL","NULL","NULL","J. Stoll (TE, Active)","c(""Z. Pascal (WR, Active)"", ""B. Covey (WR, Active)"")","NULL","NULL","NULL","NULL","P. Johnson (SAM, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","N. Dean (MIKE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"PIT","2","D. Kazee (FS, Active)","NULL","NULL","M. Killebrew (SS, Active)","I. Loudermilk (DE, Active)","D. Leal (DT, Active)","T. Alualu (NT, Active)","NULL","NULL","J. Hassenauer (C, Active)","J. Davis (RT, Active)","NULL","NULL","K. Green (LG, Active)","NULL","T. Scott (LT, Active)","M. Trubisky (QB, Active)","J. Warren (RB, Active)","NULL","NULL","NULL","Z. Gentry (TE, Active)","c(""M. Boykin (WR, Active)"", ""S. Sims (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Pierre (LCB, Active)","NULL","NULL","NULL","M. Robinson (RILB, Active)","M. Reed (LOLB, Active)","R. Spillane (LILB, Active)","J. Jones (ROLB, Active)","NULL","NULL"
"SEA","2","J. Tabor (FS, Active)","NULL","NULL","R. Neal (SS, Active)","c(""Q. Jefferson (DE, Active)"", ""M. Adams (DE, Active)"")","NULL","NULL","c(""D. Taylor (OLB, Active)"", ""B. Mafe (OLB, Active)"")","c(""N. Bellore (ILB, Active)"", ""J. Rhattigan (ILB, Active)"")","K. Fuller (C, Active)","S. Forsythe (RT, Active)","NULL","NULL","P. Haynes (LG, Active)","P. Haynes (RG, Active)","S. Forsythe (LT, Active)","D. Lock (QB, Active)","D. Dallas (RB, Active)","NULL","NULL","NULL","C. Parkinson (TE, Active)","c(""L. Treadwell (WR, Active)"", ""D. Young (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","C. Bryant (RCB, Active)","T. Brown (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"SF","2","G. Odum (FS, Active)","NULL","NULL","T. Moore (SS, Active)","NULL","NULL","NULL","NULL","NULL","D. Brunskill (C, Active)","J. Moore (RT, Active)","NULL","NULL","NULL","N. Zakelj (RG, Active)","C. McKivitz (LT, Active)","B. Purdy (QB, Active)","T. Davis-Price (RB, Active)","NULL","NULL","NULL","C. Woerner (TE, Active)","c(""R. McCloud (WR, Active)"", ""B. Jennings (WR, Active)"")","NULL","NULL","NULL","NULL","D. Flannigan-Fowles (SAM, Active)","NULL","NULL","NULL","NULL","S. Womack (NCB, Active)","NULL","NULL","NULL","O. Burks (WILL, Active)","C. Omenihu (RDE, Active)","D. Jackson (LDE, Active)","NULL","NULL","NULL","NULL","A. Thomas (RCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","T. McGill (LDT, Active)"
