player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,1,0,0,0,,1,1,100.0,28,76.0,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,
Matt Prater,3471,K,ARZ,1,0,1,0,0.0,1,0,0.0,1,28.4,0,0,,2,1,50.0,0,0,0,,3,1,33.3,1,1,100.0
Nick Folk,3794,K,NE,1,0,0,0,,0,0,,19,63.5,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,
Mason Crosby,3809,K,GB,1,0,0,0,,0,0,,12,64.4,0,0,,3,3,100.0,0,1,1,100.0,1,1,100.0,0,0,
Ryan Succop,5180,K,TB,1,0,0,0,,2,2,100.0,30,69.8,0,0,,2,2,100.0,0,1,1,100.0,4,4,100.0,1,1,100.0
Graham Gano,5443,K,NYG,1,0,1,1,100.0,0,0,,21,67.2,0,0,,1,1,100.0,0,0,0,,1,1,100.0,0,0,
Randy Bullock,7154,K,TEN,1,0,0,0,,1,1,100.0,31,75.5,0,0,,2,2,100.0,0,1,1,100.0,2,2,100.0,0,0,
Greg Zuerlein,7163,K,DAL,1,0,0,0,,0,0,,9,67.0,0,0,,8,8,100.0,0,0,0,,0,0,,0,0,
Justin Tucker,7604,K,BLT,1,0,0,0,,0,0,,3,63.5,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,
Dustin Hopkins,7958,K,LAC,1,0,1,1,100.0,1,1,100.0,27,71.0,0,0,,0,0,,0,1,1,100.0,3,3,100.0,0,0,
Brandon McManus,8437,K,DEN,1,0,2,1,50.0,1,1,100.0,10,57.2,0,0,,1,1,100.0,0,0,0,,3,2,66.7,0,0,
Brett Maher,8585,K,NO,1,0,0,0,,0,0,,20,60.5,0,0,,0,0,,0,1,1,100.0,1,1,100.0,0,0,
Cairo Santos,8932,K,CHI,1,0,0,0,,0,0,,6,63.7,0,0,,2,2,100.0,0,1,1,100.0,1,1,100.0,0,0,
Chris Boswell,8990,K,PIT,1,0,0,0,,0,0,,25,45.7,0,0,,1,1,100.0,0,2,1,50.0,2,1,50.0,0,0,
Jason Myers,10207,K,SEA,1,0,0,0,,0,0,,29,49.7,0,0,,3,3,100.0,0,2,1,50.0,2,1,50.0,0,0,
Jake Elliott,11908,K,PHI,1,0,0,0,,1,0,0.0,24,52.9,0,0,,4,4,100.0,0,1,1,100.0,3,2,66.7,1,1,100.0
Younghoe Koo,12042,K,ATL,1,0,1,1,100.0,1,1,100.0,2,72.3,0,0,,2,2,100.0,0,0,0,,2,2,100.0,0,0,
Elliott Fry,21473,K,KC,1,0,0,0,,1,1,100.0,16,41.8,0,0,,4,3,75.0,0,3,2,66.7,4,3,75.0,0,0,
Greg Joseph,22842,K,MIN,1,0,0,0,,1,1,100.0,18,66.0,0,0,,2,2,100.0,0,0,0,,3,3,100.0,2,2,100.0
Daniel Carlson,28121,K,LV,1,0,0,0,,1,1,100.0,23,64.9,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,
Jason Sanders,29578,K,MIA,1,0,1,0,0.0,1,1,100.0,17,59.8,0,0,,2,2,100.0,0,1,1,100.0,3,2,66.7,0,0,
Tyler Bass,33010,K,BUF,1,0,0,0,,0,0,,4,64.8,0,0,,3,3,100.0,0,1,1,100.0,2,2,100.0,1,1,100.0
Dominik Eberle,33789,K,HST,1,0,2,1,50.0,0,0,,13,60.1,0,0,,5,5,100.0,0,0,0,,3,2,66.7,1,1,100.0
Joey Slye,39235,K,WAS,1,0,0,0,,0,0,,32,62.3,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Michael Badgley,39417,K,IND,1,0,1,0,0.0,1,1,100.0,14,54.8,0,0,,2,2,100.0,0,1,1,100.0,3,2,66.7,0,0,
Matthew Wright,39675,K,JAX,1,0,0,0,,2,2,100.0,15,66.2,0,0,,0,0,,0,0,0,,3,3,100.0,1,1,100.0
Eddy Pineiro,44140,K,NYJ,1,0,0,0,,1,1,100.0,22,49.8,0,0,,3,2,66.7,0,0,0,,2,2,100.0,1,1,100.0
Riley Patterson,57556,K,DET,1,0,0,0,,0,0,,11,63.8,0,0,,1,1,100.0,0,1,1,100.0,3,3,100.0,2,2,100.0
Chris Naggar,57626,K,CLV,1,0,0,0,,0,0,,8,36.5,0,0,,2,1,50.0,0,1,1,100.0,1,1,100.0,0,0,
Matt Gay,57643,K,LA,1,0,0,0,,0,0,,26,65.2,0,0,,3,3,100.0,0,2,2,100.0,3,3,100.0,1,1,100.0
Evan McPherson,82583,K,CIN,1,0,1,0,0.0,0,0,,7,56.9,0,0,,5,5,100.0,0,2,2,100.0,3,2,66.7,0,0,
Lirim Hajrullahu,113161,K,CAR,1,0,0,0,,0,0,,5,61.4,0,0,,0,0,,0,0,0,,2,2,100.0,2,2,100.0
