player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,1,0,1,1,100.0,0,0,,28,69.3,0,0,,4,4,100.0,0,0,0,,1,1,100.0,0,0,
Matt Prater,3471,K,ARZ,1,0,0,0,,1,1,100.0,1,65.3,0,0,,1,1,100.0,0,0,0,,1,1,100.0,0,0,
Nick Folk,3794,K,NE,1,0,0,0,,0,0,,19,66.8,0,0,,6,6,100.0,0,1,1,100.0,1,1,100.0,0,0,
Mason Crosby,3809,K,GB,1,0,0,0,,1,0,0.0,12,48.4,0,0,,2,2,100.0,0,0,0,,2,1,50.0,1,1,100.0
Ryan Succop,5180,K,TB,1,0,0,0,,0,0,,30,46.6,0,0,,2,1,50.0,0,1,1,100.0,2,2,100.0,1,1,100.0
Randy Bullock,7154,K,TEN,1,0,0,0,,0,0,,31,65.3,0,0,,2,2,100.0,0,2,2,100.0,3,3,100.0,1,1,100.0
Justin Tucker,7604,K,BLT,1,0,0,0,,2,1,50.0,3,51.5,0,0,,1,1,100.0,0,0,0,,2,1,50.0,0,0,
Dustin Hopkins,7958,K,LAC,1,0,0,0,,1,1,100.0,27,66.5,0,0,,2,2,100.0,0,0,0,,2,2,100.0,1,1,100.0
Brandon McManus,8437,K,DEN,1,0,0,0,,0,0,,10,62.4,0,0,,1,1,100.0,0,0,0,,3,2,66.7,3,2,66.7
Chris Boswell,8990,K,PIT,1,0,1,1,100.0,0,0,,25,67.4,0,0,,1,1,100.0,0,0,0,,3,3,100.0,2,2,100.0
Jake Elliott,11908,K,PHI,1,0,1,1,100.0,0,0,,24,69.2,0,0,,3,3,100.0,0,1,1,100.0,3,3,100.0,1,1,100.0
Zane Gonzalez,11979,K,CAR,1,0,0,0,,3,3,100.0,5,73.2,0,0,,2,2,100.0,0,0,0,,4,4,100.0,1,1,100.0
Harrison Butker,11988,K,KC,1,0,0,0,,2,1,50.0,16,56.4,0,0,,5,5,100.0,0,1,1,100.0,3,2,66.7,0,0,
Younghoe Koo,12042,K,ATL,1,0,0,0,,0,0,,2,60.4,0,0,,0,0,,0,1,1,100.0,1,1,100.0,0,0,
Greg Joseph,22842,K,MIN,1,0,0,0,,1,1,100.0,18,67.5,0,0,,3,3,100.0,0,1,1,100.0,2,2,100.0,0,0,
Ryan Santoso,26245,P,DET,1,0,0,0,,1,0,0.0,11,28.8,0,0,,2,1,50.0,0,0,0,,2,1,50.0,1,1,100.0
Daniel Carlson,28121,K,LV,1,0,0,0,,0,0,,23,62.3,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Jason Sanders,29578,K,MIA,1,0,0,0,,0,0,,17,63.4,0,0,,1,1,100.0,0,1,1,100.0,3,3,100.0,2,2,100.0
Tyler Bass,33010,K,BUF,1,0,0,0,,0,0,,4,66.3,0,0,,6,6,100.0,0,0,0,,1,1,100.0,1,1,100.0
Chase McLaughlin,33285,K,CLV,1,0,0,0,,0,0,,8,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Matt Ammendola,34039,K,NYJ,1,0,0,0,,1,1,100.0,22,66.9,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,
Joey Slye,39235,K,WAS,1,0,0,0,,1,1,100.0,32,67.2,0,0,,2,2,100.0,0,0,0,,3,3,100.0,2,2,100.0
Michael Badgley,39417,K,IND,1,0,0,0,,0,0,,14,64.7,0,0,,2,2,100.0,0,1,1,100.0,3,3,100.0,2,2,100.0
Matthew Wright,39675,K,JAX,1,0,2,1,50.0,0,0,,15,42.2,0,0,,1,0,0.0,0,0,0,,2,1,50.0,0,0,
Brian Johnson,44869,K,NO,1,0,0,0,,0,0,,20,29.3,0,0,,2,0,0.0,0,0,0,,1,1,100.0,1,1,100.0
Matt Gay,57643,K,LA,1,0,0,0,,0,0,,26,62.6,0,0,,1,1,100.0,0,1,1,100.0,1,1,100.0,0,0,
Lirim Hajrullahu,113161,K,DAL,1,0,0,0,,0,0,,9,65.9,0,0,,5,5,100.0,0,0,0,,0,0,,0,0,
