player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,1,0,0,,0,0,3,,54.5,76.8,58.4,53.0,70.6,1,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,42,42,0,20,2,20,0,0,28,14,0,1,4,0,3,0,0,0,
Malcolm Jenkins,4937,S,NO,1,2,0,100.0,0,0,20,66.9,75.7,77.7,67.6,77.8,63.2,0,1,0,9,14.3,1,0,0,79.2,2,0,17,5,34,61,12,0,0,12,0,15,49,2,25,12,2,4,2,1,0,4,4,2.0
Steve McLendon,5232,DI,TB,1,0,0,,0,0,30,,51.5,73.3,53.1,55.9,66.8,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,14,14,0,12,0,2,0,0,7,7,0,1,1,0,0,0,0,0,
Ndamukong Suh,5527,DI,TB,1,1,0,,0,0,30,,43.4,0.0,61.2,45.5,69.2,0,2,0,,0.0,0,0,1,0.0,0,0,0,0,0,42,42,0,22,2,18,0,0,27,15,0,0,1,0,2,0,0,0,
Joe Haden,5532,CB,PIT,1,1,0,42.9,0,0,25,62.3,59.7,77.4,,47.4,77.7,0,0,0,9,0.0,0,1,1,89.9,3,0,6,61,50,69,0,0,0,0,0,0,69,0,19,2,1,3,7,0,1,20,2,6.7
Kareem Jackson,5545,S,DEN,1,1,0,80.0,0,0,10,53.8,47.8,77.2,,45.7,43.1,0,0,0,16,20.0,2,0,0,93.3,4,0,32,0,33,65,0,0,0,0,0,21,65,0,32,12,0,7,5,0,0,32,13,8.0
Devin McCourty,5552,S,NE,1,0,0,,0,0,19,59.0,60.2,75.7,,61.7,80.7,0,0,0,,0.0,0,0,0,0.0,0,0,12,0,31,46,0,0,0,0,0,32,46,0,15,2,0,2,0,0,0,0,0,
Jerry Hughes,5556,ED,BUF,1,0,0,,0,0,4,58.6,33.1,0.0,61.1,47.2,24.4,0,3,0,,50.0,1,0,1,0.0,0,0,0,0,1,31,31,0,0,31,0,0,0,18,12,0,0,1,0,3,0,0,0,
Linval Joseph,5571,DI,LAC,1,0,0,,0,0,27,,68.9,76.7,70.5,62.7,70.7,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,30,30,29,1,0,0,0,0,12,18,0,1,2,0,0,0,0,0,
Carlos Dunlap,5579,ED,SEA,1,0,0,100.0,0,0,29,60.0,62.5,76.1,67.0,70.3,69.6,0,0,0,12,0.0,0,0,0,116.7,1,0,0,0,1,15,15,0,0,15,0,0,0,7,7,0,1,1,1,0,0,12,5,12.0
