player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Malcolm Jenkins,4937,S,NO,1,1,0,57.1,0,0,20,39.0,42.7,79.6,,68.1,80.8,0,0,0,19,0.0,0,0,1,79.5,4,0,21,7,54,74,8,0,0,8,0,23,66,0,20,15,1,4,7,0,0,50,12,12.5
Steve McLendon,5232,DI,TB,1,2,0,,0,0,30,,63.9,74.2,54.1,66.0,68.7,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,18,18,0,18,0,0,0,0,8,10,0,0,0,0,0,0,0,0,
Ndamukong Suh,5527,DI,TB,1,1,0,,0,0,30,,59.1,77.4,56.8,60.1,28.7,0,2,0,,33.3,1,0,0,0.0,0,0,0,0,0,43,43,0,22,2,19,0,0,22,21,0,1,1,0,2,0,0,0,
Joe Haden,5532,CB,PIT,1,0,0,50.0,0,0,25,66.5,67.6,74.1,,64.7,75.1,0,0,0,6,0.0,0,0,0,56.3,1,0,2,25,16,27,0,0,0,0,0,0,27,0,11,0,1,2,2,0,0,6,1,6.0
Jason Pierre-Paul,5540,ED,TB,1,1,0,100.0,0,0,30,62.6,54.1,76.7,48.7,59.5,72.3,0,0,0,8,0.0,0,0,0,100.0,1,0,0,0,2,36,36,0,0,36,0,0,0,16,18,0,0,1,1,0,0,8,3,8.0
Kareem Jackson,5545,S,DEN,1,0,0,,0,0,10,64.0,66.3,80.6,,63.5,42.5,0,0,0,,33.3,1,0,0,0.0,0,0,16,0,31,52,0,0,0,0,0,30,52,0,21,6,1,2,0,0,0,0,0,
Devin McCourty,5552,S,NE,1,1,0,50.0,0,0,19,80.1,86.4,76.9,,76.1,82.4,0,0,1,7,0.0,0,0,0,18.8,1,0,17,0,14,52,2,0,0,2,0,29,50,0,38,4,1,6,2,0,0,7,2,7.0
Jerry Hughes,5556,ED,BUF,1,0,1,100.0,0,0,4,60.0,85.7,79.7,74.9,77.4,73.4,0,3,0,1,0.0,0,0,0,79.2,1,0,0,0,1,40,40,0,1,38,1,0,0,22,17,0,2,3,1,3,0,1,8,1.0
Linval Joseph,5571,DI,LAC,1,2,0,,0,0,27,61.5,53.4,77.3,60.2,41.2,70.8,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,30,30,25,5,0,0,0,0,19,11,0,1,1,0,1,0,0,0,
Carlos Dunlap,5579,ED,SEA,1,0,0,,0,0,29,60.8,84.8,77.5,71.5,67.7,74.6,0,0,0,,0.0,0,0,0,0.0,0,3,0,0,0,21,21,0,0,21,0,0,0,15,6,0,4,1,0,3,0,0,0,
