player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,1,1,0,,0,0,3,60.0,67.3,77.2,54.9,87.0,38.2,0,0,0,,20.0,1,0,0,0.0,0,0,0,0,0,44,44,3,18,4,19,0,0,37,7,0,3,3,0,0,0,0,0,
Jason McCourty,5127,S,MIA,1,0,0,,0,0,17,70.5,73.4,75.2,,,,0,0,0,,,0,0,0,0.0,0,0,3,2,14,14,0,0,0,0,0,7,14,0,0,2,0,0,0,0,0,0,0,
Steve McLendon,5232,DI,TB,1,0,0,,0,0,30,,70.1,72.5,54.6,70.5,,0,1,0,,,0,0,0,0.0,0,0,0,0,0,10,10,0,8,0,2,0,0,6,4,0,0,0,0,1,0,0,0,
Ndamukong Suh,5527,DI,TB,1,0,0,,0,0,30,,44.7,76.4,57.7,39.0,68.6,2,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,34,34,4,18,0,12,0,0,27,7,0,1,1,0,4,0,0,0,
Joe Haden,5532,CB,PIT,1,2,0,66.7,0,0,25,54.6,54.6,77.1,,55.4,26.3,0,0,0,14,42.9,3,0,0,89.6,2,0,5,60,37,65,0,0,0,0,0,0,65,0,28,0,0,2,3,0,0,23,11,11.5
Jason Pierre-Paul,5540,ED,TB,1,0,0,,0,0,30,60.4,49.7,77.8,51.9,52.3,69.9,0,0,0,,,0,0,0,0.0,0,1,0,0,2,41,41,0,0,41,0,0,0,29,10,0,0,0,0,1,0,0,0,
Kareem Jackson,5545,S,DEN,1,0,0,,0,0,10,66.9,71.6,80.9,63.4,66.9,85.1,0,0,0,,0.0,0,0,0,0.0,0,1,18,0,29,54,0,0,0,0,0,32,54,1,24,4,1,5,0,1,0,0,0,
Devin McCourty,5552,S,NE,1,2,0,60.0,0,0,19,56.9,53.5,77.3,60.0,49.7,62.2,0,0,0,33,14.3,1,1,0,102.1,3,0,18,2,56,89,1,0,0,1,0,60,88,1,32,8,0,4,5,0,0,60,10,20.0
Jerry Hughes,5556,ED,BUF,1,0,1,,0,0,4,,72.0,79.2,80.4,52.4,,1,2,0,,,0,0,0,0.0,0,0,0,0,0,34,34,0,0,34,0,0,0,19,15,0,0,0,0,3,0,0,0,
Linval Joseph,5571,DI,LAC,1,1,0,,0,0,27,,71.8,76.4,75.3,63.1,72.9,0,1,0,,0.0,0,0,0,0.0,0,1,0,0,0,46,46,34,12,0,0,0,0,18,28,0,2,2,0,2,0,0,0,
Carlos Dunlap,5579,ED,SEA,1,0,0,,0,0,29,60.0,70.2,80.0,65.4,65.7,,0,2,0,,,0,0,0,0.0,0,0,0,0,1,39,39,0,0,39,0,0,0,27,11,0,0,0,0,2,0,0,0,
