player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
T.J. Watt,11785,ED,PIT,1,1,0,50.0,0,0,25,48.7,84.3,80.5,91.0,64.3,55.5,1,2,0,15,20.0,1,0,0,75.0,1,2,2,0,5,51,46,0,0,46,0,0,5,27,19,3,2,3,2,5,0,15,13,15.0
Malik McDowell,11790,DI,CLV,1,1,0,,0,0,8,,62.8,78.0,78.7,45.3,70.0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,58,58,8,43,0,7,0,0,33,25,0,2,1,0,1,0,0,0,
Budda Baker,11791,S,ARZ,1,2,0,100.0,0,0,1,43.9,48.9,75.7,53.9,67.5,59.6,0,0,0,7,20.0,2,0,0,83.3,2,0,26,3,27,67,4,0,0,4,0,31,63,9,31,3,0,6,2,0,0,8,8,4.0
Marcus Maye,11794,S,NYJ,1,0,0,100.0,0,0,22,58.9,63.2,74.7,,70.4,82.0,0,0,0,54,0.0,0,0,0,118.8,1,0,23,2,39,55,1,0,0,1,0,26,54,0,16,3,1,5,1,0,0,54,13,54.0
Marcus Williams,11797,S,NO,1,0,0,,0,0,20,66.7,72.5,77.9,,70.9,86.3,0,0,0,,0.0,0,0,0,0.0,0,0,3,0,45,61,0,0,0,0,0,56,61,0,16,2,0,7,0,0,0,0,0,
Sidney Jones,11798,CB,SEA,1,1,0,66.7,0,0,29,69.8,69.9,76.8,,61.0,45.1,0,0,0,13,20.0,1,2,0,83.3,4,0,1,33,27,35,0,0,0,0,0,0,35,0,8,1,0,3,6,0,0,37,13,9.3
DeMarcus Walker,11806,ED,HST,1,1,0,,0,0,13,60.0,28.1,0.0,57.6,28.5,68.9,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,27,27,10,14,0,3,0,0,16,11,0,1,2,0,1,0,0,0,
Teez Tabor,11808,S,CHI,1,0,0,,0,0,6,63.0,64.3,72.5,,60.2,,0,0,0,,,0,0,0,0.0,0,0,3,1,14,18,0,0,0,0,0,12,18,0,4,2,0,0,0,0,0,0,0,
Dalvin Tomlinson,11810,DI,MIN,1,2,0,,0,0,18,,66.7,77.6,66.8,60.1,69.9,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,43,43,2,37,1,3,0,0,30,13,0,0,1,0,1,0,0,0,
Zach Cunningham,11812,LB,HST,1,2,0,,0,0,13,63.2,73.6,70.8,,71.4,77.4,0,0,0,,0.0,0,0,0,0.0,0,0,16,0,7,19,2,0,0,2,0,0,17,0,12,1,2,2,0,0,0,0,0,
Tanoh Kpassagnon,11814,ED,NO,1,0,0,,0,0,20,,61.1,77.0,60.9,58.3,67.4,0,0,0,,,0,0,0,0.0,0,1,0,0,0,30,30,2,1,18,9,0,0,23,7,0,1,0,0,1,0,0,0,
Chidobe Awuzie,11815,CB,CIN,1,0,0,60.0,0,0,7,51.3,48.6,79.4,65.3,30.0,33.3,0,0,0,13,25.0,2,1,0,114.2,3,0,6,69,56,83,2,0,0,2,0,0,81,0,27,6,1,6,5,0,1,27,2,9.0
Larry Ogunjobi,11820,DI,CIN,1,1,0,,0,0,7,54.5,47.5,78.6,69.8,46.6,28.6,1,4,0,,33.3,2,0,0,0.0,0,1,1,0,0,62,61,2,29,7,23,0,1,39,23,0,2,3,0,6,0,0,0,
Dawuane Smoot,11823,ED,JAX,1,0,0,,0,0,15,,70.8,78.3,67.7,64.3,30.1,0,0,0,,50.0,1,0,0,0.0,0,1,0,0,0,36,36,0,3,32,1,0,0,22,14,0,2,1,0,1,0,0,0,
Jordan Willis,11828,ED,SF,1,0,0,,0,0,28,,46.5,77.1,67.2,38.1,,0,1,0,,100.0,1,0,0,0.0,0,0,0,0,0,18,18,0,1,16,1,0,0,10,8,0,0,0,0,1,0,0,0,
Chris Wormley,11829,DI,PIT,1,1,0,,0,0,25,,65.0,77.4,59.5,65.2,70.9,0,2,0,,0.0,0,0,0,0.0,0,1,0,0,0,43,43,1,22,0,20,0,0,27,16,0,3,2,0,3,0,0,0,
Duke Riley,11830,LB,MIA,1,2,0,0.0,0,0,17,81.8,65.0,78.7,42.3,56.9,28.4,1,3,0,,30.0,3,0,0,39.6,0,0,34,3,30,67,28,0,0,28,0,0,39,21,16,2,3,5,1,4,0,0,0,
Alex Anzalone,11831,LB,DET,1,2,0,100.0,1,0,11,36.8,25.6,0.0,54.8,27.6,29.0,0,0,0,15,37.5,3,0,1,97.9,2,0,63,0,17,65,2,0,0,2,0,0,63,3,45,0,2,3,2,0,0,15,5,7.5
Tarell Basham,11835,ED,DAL,1,0,0,,0,0,9,63.4,63.5,78.4,77.4,39.4,21.8,1,4,0,,100.0,2,0,1,0.0,0,0,2,0,3,43,41,0,1,37,3,0,2,26,14,0,0,0,0,5,0,0,0,
Fabian Moreau,11836,CB,ATL,1,1,0,0.0,0,0,2,72.3,70.8,77.8,,62.9,76.9,0,0,0,,0.0,0,1,0,39.6,0,0,15,55,29,74,2,0,0,2,0,0,72,0,45,2,1,1,2,0,0,0,0,
Shaquill Griffin,11845,CB,JAX,1,1,0,100.0,0,0,15,63.1,58.9,78.0,,40.9,76.7,0,0,0,16,0.0,0,0,0,137.1,5,0,2,53,32,56,0,0,0,0,0,0,56,0,24,1,2,2,5,0,2,37,11,7.4
Jourdan Lewis,11846,CB,DAL,1,0,0,100.0,0,0,9,86.0,85.0,75.5,,60.4,79.4,1,0,0,6,0.0,0,0,0,87.5,2,0,2,1,33,40,0,0,0,0,0,1,40,0,7,36,4,5,2,1,0,10,-1,5.0
John Johnson III,11847,S,CLV,1,3,0,50.0,0,0,8,74.5,69.3,73.7,,49.2,46.6,0,0,0,6,20.0,1,0,0,56.3,1,0,10,0,15,29,0,0,0,0,0,15,29,0,14,4,0,1,2,0,0,6,10,6.0
Montravius Adams,11848,DI,NO,1,1,0,,0,0,20,,54.5,74.9,52.2,59.9,67.3,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,22,22,0,20,0,2,0,0,15,7,0,0,0,0,0,0,0,0,
Cameron Sutton,11850,CB,PIT,1,0,0,66.7,0,0,25,53.5,58.1,78.1,,74.3,35.4,0,0,0,24,25.0,1,0,0,106.3,2,0,5,44,36,54,2,0,0,2,0,1,52,0,18,2,1,3,3,0,0,35,7,17.5
Rasul Douglas,11854,CB,GB,1,0,0,62.5,0,0,12,71.5,72.0,77.2,,66.6,59.7,0,0,1,29,11.1,1,1,1,41.1,5,0,2,57,40,59,0,0,0,0,0,0,59,0,19,0,2,8,8,0,0,51,18,10.2
Trey Hendrickson,11858,ED,CIN,1,1,0,,0,0,7,59.0,62.5,81.0,60.3,61.9,75.5,0,3,0,,0.0,0,0,0,0.0,0,2,0,0,4,65,65,0,2,56,7,0,0,39,22,0,2,3,0,5,0,0,0,
Eddie Jackson,11867,S,CHI,1,0,0,0.0,0,0,6,61.2,61.8,65.8,,,,0,0,0,,,0,0,0,39.6,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,
Rayshawn Jenkins,11868,S,JAX,1,2,0,100.0,0,0,15,59.3,59.7,0.0,54.4,74.5,82.4,0,1,0,9,0.0,0,0,1,104.2,1,0,23,1,28,56,9,0,0,9,0,12,47,4,24,11,2,4,1,1,0,9,0,9.0
Jalen Reeves-Maybin,11879,LB,DET,1,1,0,100.0,0,0,11,50.6,55.3,72.0,56.5,62.4,79.0,0,0,0,9,0.0,0,0,0,100.0,2,0,24,0,6,26,2,0,0,2,0,0,24,2,18,0,2,3,2,0,0,16,26,8.0
Samson Ebukam,11880,ED,SF,1,0,0,,0,0,28,60.0,55.0,0.0,66.8,52.6,70.6,0,4,0,,0.0,0,0,1,0.0,0,1,1,0,1,41,40,0,0,35,5,0,1,27,13,0,1,1,0,5,0,0,0,
Deatrich Wise Jr.,11886,ED,NE,1,0,1,,0,0,19,,48.7,77.1,65.2,43.4,71.3,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,23,23,0,0,17,6,0,0,10,13,0,2,3,0,0,0,0,0,
Carlos Watkins,11897,DI,DAL,1,0,0,,0,0,9,,66.0,76.4,55.5,67.5,67.3,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,27,27,5,20,1,1,0,0,15,12,0,1,1,0,0,0,0,0,
Grover Stewart,11899,DI,IND,1,1,0,,0,0,14,60.4,69.6,1.5,77.9,66.8,71.1,0,2,0,,0.0,0,0,1,0.0,0,0,0,0,1,48,48,42,6,0,0,0,0,20,27,0,2,4,0,2,0,0,0,
Damontae Kazee,11904,S,DAL,1,0,0,0.0,0,0,9,57.0,58.5,76.5,,62.8,77.6,0,0,0,,0.0,0,0,0,39.6,0,0,6,0,32,43,0,0,0,0,0,35,43,0,11,2,1,2,1,0,0,0,0,
Nate Hairston,11913,CB,DEN,1,0,0,0.0,0,0,10,78.9,79.7,71.2,,60.0,,0,0,0,,,0,1,0,39.6,0,0,0,1,14,15,0,0,0,0,0,2,15,0,1,12,0,0,2,0,0,0,0,
Anthony Walker,11916,LB,CLV,1,5,0,80.0,0,0,8,67.0,67.8,80.9,54.5,64.5,61.4,0,0,0,24,11.1,1,1,0,115.0,4,0,69,0,38,75,0,0,0,0,0,0,75,2,35,5,3,3,5,0,0,58,35,14.5
Matt Milano,11918,LB,BUF,1,0,0,85.7,0,0,4,54.4,54.1,0.0,48.4,72.9,58.6,0,1,0,10,16.7,1,0,1,83.3,6,0,53,1,41,69,6,0,0,6,0,1,63,7,21,8,3,5,7,1,0,28,15,4.7
Davon Godchaux,11934,DI,NE,1,0,0,,0,0,19,,29.8,76.5,55.5,28.5,,1,0,0,,,0,0,0,0.0,0,0,1,0,0,35,34,12,21,0,1,0,1,21,14,0,0,0,0,1,0,0,0,
Xavier Woods,11946,S,MIN,1,1,0,,0,1,18,67.3,81.3,78.0,90.5,84.0,61.6,0,0,1,,12.5,1,0,0,0.0,0,1,20,0,48,73,3,0,0,3,0,32,70,2,23,18,3,6,0,1,0,0,0,
Tanner Vallejo,11950,LB,ARZ,1,0,0,,0,0,1,70.8,55.0,70.2,,40.1,28.7,0,0,0,,33.3,1,0,0,0.0,0,0,27,0,16,29,0,0,0,0,0,0,29,0,13,2,1,2,0,0,0,0,0,
Al-Quadin Muhammad,11951,ED,IND,1,1,0,,0,0,14,60.0,65.6,81.7,50.4,74.4,73.6,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,57,57,0,1,54,2,0,0,31,26,0,3,3,0,1,0,0,0,
