player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,1,1,0,,0,0,3,70.7,90.0,77.5,84.4,65.5,72.8,3,4,0,,0.0,0,0,0,0.0,0,0,0,0,0,42,42,11,17,7,7,0,0,33,9,0,3,4,0,7,0,0,0,
Malcolm Jenkins,4937,S,NO,1,2,0,100.0,0,0,20,65.8,66.8,77.0,52.7,64.5,60.3,0,0,0,7,14.3,2,0,0,83.3,2,0,16,1,43,64,5,0,0,5,0,34,59,5,16,8,3,10,2,0,0,8,3,4.0
Jason McCourty,5127,S,MIA,1,3,0,75.0,0,0,17,66.5,63.4,75.8,,52.9,46.1,0,0,0,10,20.0,2,0,0,80.2,3,0,21,0,35,70,2,0,0,2,0,46,68,0,35,1,1,5,4,0,0,15,6,5.0
Steve McLendon,5232,DI,TB,1,0,0,,0,0,30,,55.6,72.4,52.9,61.4,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,13,13,0,5,0,8,0,0,10,3,0,0,0,0,0,0,0,0,
Ndamukong Suh,5527,DI,TB,1,0,0,,0,0,30,,56.1,77.0,51.0,68.2,,0,0,0,,,0,0,0,0.0,0,0,1,0,0,43,42,0,16,4,22,0,1,37,6,0,0,0,0,0,0,0,0,
Joe Haden,5532,CB,PIT,1,3,0,60.0,0,0,25,44.3,46.3,76.5,,55.9,31.9,0,0,0,11,25.0,2,1,0,68.8,3,0,12,59,40,72,0,0,0,0,0,0,72,0,32,1,2,3,5,0,0,20,17,6.7
Kareem Jackson,5545,S,DEN,1,2,0,80.0,0,0,10,45.6,41.1,82.4,60.0,50.2,89.4,0,0,0,17,0.0,0,0,0,101.7,4,0,11,0,42,72,1,0,0,1,0,47,71,1,29,13,2,9,5,0,0,42,13,10.5
Devin McCourty,5552,S,NE,1,0,0,0.0,0,0,19,66.0,65.7,77.4,58.5,56.6,80.6,0,0,0,,0.0,0,0,0,39.6,0,0,24,0,47,77,0,0,0,0,0,52,77,1,29,1,0,2,1,0,0,0,0,
Jerry Hughes,5556,ED,BUF,1,0,1,,0,0,4,60.0,86.0,77.6,72.9,77.7,69.6,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,1,24,24,0,0,24,0,0,0,13,10,0,1,1,0,1,0,0,0,
Linval Joseph,5571,DI,LAC,1,0,0,,0,0,27,,79.8,76.7,78.8,66.7,34.4,0,3,0,,20.0,1,0,0,0.0,0,0,0,0,0,34,34,17,17,0,0,0,0,21,13,0,3,4,0,3,0,0,0,
Carlos Dunlap,5579,ED,SEA,1,0,0,,0,0,29,60.7,68.2,81.1,66.1,60.7,,0,4,0,,,0,0,0,0.0,0,0,0,0,6,47,45,0,0,45,0,0,2,30,11,2,0,0,0,4,0,0,0,
Corey Peters,5607,DI,ARZ,1,0,0,,0,0,1,57.4,44.3,73.9,62.0,43.5,,0,1,0,,,0,0,0,0.0,0,0,1,0,2,15,14,5,8,0,1,0,1,7,6,0,0,0,0,1,0,0,0,
Everson Griffen,5624,ED,MIN,1,0,0,,0,0,18,,82.0,80.1,68.9,78.1,72.4,0,4,0,,33.3,1,0,0,0.0,0,1,2,0,0,43,41,0,5,28,8,0,2,24,19,0,3,2,0,5,0,0,0,
Al Woods,5646,DI,SEA,1,0,1,,0,0,29,,68.9,76.4,69.3,62.8,68.6,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,35,35,32,3,0,0,0,0,15,20,0,1,1,0,2,0,0,0,
Andrew Sendejo,6118,S,IND,1,0,0,40.0,0,0,14,56.6,57.8,76.4,,63.0,80.7,0,0,0,3,0.0,0,1,0,87.5,2,0,16,0,38,52,7,0,0,7,0,17,45,0,14,12,0,2,5,0,2,4,1,2.0
Von Miller,6154,ED,DEN,1,1,0,,1,0,10,62.5,65.0,9.2,56.4,77.9,74.2,0,1,0,,0.0,0,0,1,0.0,0,1,0,0,4,61,60,0,0,60,0,0,1,33,24,1,3,2,0,2,0,0,0,
Patrick Peterson,6157,CB,MIN,1,0,0,40.0,0,0,18,57.4,58.1,78.2,,59.3,75.4,0,0,0,11,0.0,0,0,0,52.1,2,0,10,66,41,78,1,0,0,1,0,0,77,0,37,1,0,2,5,0,0,20,7,10.0
J.J. Watt,6163,DI,ARZ,1,1,0,,0,0,1,,81.8,78.2,82.1,62.7,66.8,2,3,0,,0.0,0,0,0,0.0,0,0,1,0,0,49,48,1,29,2,16,0,1,33,16,0,0,0,0,5,0,0,0,
Robert Quinn,6166,ED,CHI,1,0,0,,1,1,6,63.9,84.5,2.5,86.1,72.5,75.2,1,3,0,,0.0,0,0,1,0.0,0,1,0,0,4,53,50,0,0,50,0,0,3,31,18,3,3,4,0,5,0,0,0,
Ryan Kerrigan,6168,ED,PHI,1,0,0,,0,0,24,,60.4,77.0,57.9,61.1,,0,1,0,,,0,0,0,0.0,0,0,0,0,0,22,22,0,0,20,2,0,0,14,8,0,0,0,0,1,0,0,0,
Cameron Jordan,6176,ED,NO,1,1,0,,0,0,20,,71.5,79.9,64.7,70.0,40.9,1,2,0,,25.0,1,0,0,0.0,0,0,0,0,0,59,59,0,0,56,3,0,0,44,15,0,1,2,0,3,0,0,0,
Jimmy Smith,6179,CB,BLT,1,0,0,50.0,0,0,3,68.3,70.6,76.2,,60.0,71.4,0,0,0,11,50.0,1,1,0,58.3,2,0,2,9,19,24,0,0,0,0,0,12,24,0,5,1,0,1,4,0,0,14,9,7.0
Cameron Heyward,6183,DI,PIT,1,3,0,,0,0,25,,68.4,77.9,52.0,74.6,74.1,1,1,0,,0.0,0,0,0,0.0,0,0,1,0,0,57,56,3,24,8,21,0,1,33,24,0,2,6,0,2,0,0,0,
Justin Houston,6222,ED,BLT,1,0,0,,0,0,3,,61.8,77.0,62.1,56.9,72.4,0,1,0,,0.0,0,0,0,0.0,0,1,0,0,0,37,37,0,0,37,0,0,0,31,6,0,2,1,0,2,0,0,0,
K.J. Wright,6251,LB,LV,1,2,0,100.0,0,0,23,29.0,44.6,74.1,60.0,68.5,77.6,0,0,0,22,0.0,0,0,0,158.3,2,0,13,1,8,27,11,0,0,11,0,0,16,1,18,1,2,3,2,0,1,36,4,18.0
Richard Sherman,6306,CB,TB,1,0,0,100.0,0,0,30,51.8,54.7,77.4,71.0,60.9,80.2,0,1,0,21,0.0,0,0,1,117.7,8,0,3,49,46,58,0,0,0,0,0,0,58,3,9,6,1,7,8,1,0,98,24,12.3
Pernell McPhee,6317,ED,BLT,1,0,0,,0,0,3,63.9,57.6,74.7,52.4,58.8,26.4,0,0,0,,66.7,2,0,0,0.0,0,0,1,0,2,17,16,0,0,16,0,0,1,7,8,0,1,1,0,0,0,0,0,
Lawrence Guy,6385,DI,NE,1,0,0,,0,0,19,,58.7,76.0,52.3,62.0,30.7,0,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,31,31,0,18,1,12,0,0,13,18,0,3,3,0,0,0,0,0,
Malcolm Smith,6394,LB,CLV,1,0,0,100.0,0,0,8,72.5,78.2,76.5,,70.7,81.6,0,0,0,19,0.0,0,0,0,100.0,2,0,47,0,34,51,2,0,0,2,0,2,49,0,17,0,4,7,2,0,0,16,0,8.0
Josh Bynes,6503,LB,BLT,1,0,0,,0,0,3,61.0,41.5,67.4,,50.2,22.6,0,0,0,,100.0,1,0,0,0.0,0,0,4,0,2,4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,
Mario Addison,6558,ED,BUF,1,0,0,,0,0,4,60.0,56.1,76.2,53.7,60.2,,0,0,0,,,0,0,0,0.0,0,0,1,0,2,14,13,0,0,13,0,0,1,8,4,0,0,0,0,0,0,0,0,
Fletcher Cox,7018,DI,PHI,1,0,0,,0,0,24,,44.5,77.7,51.1,46.8,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,46,46,3,28,0,15,0,0,28,18,0,0,0,0,0,0,0,0,
Michael Brockers,7020,DI,DET,1,1,0,,0,0,11,,53.3,77.4,51.8,55.8,29.8,0,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,46,46,5,23,5,13,0,0,14,32,0,2,2,0,0,0,0,0,
Dre Kirkpatrick,7023,CB,SF,1,0,0,75.0,0,0,28,59.3,60.9,76.8,,64.4,77.8,0,0,0,19,0.0,0,0,1,84.4,3,0,6,49,30,56,1,0,0,1,0,0,55,0,26,0,2,4,4,0,0,19,4,6.3
Melvin Ingram III,7024,ED,PIT,1,0,0,100.0,0,0,25,66.7,83.6,77.6,79.0,69.3,70.5,2,1,0,6,0.0,0,0,0,91.7,1,0,9,0,7,35,25,0,0,25,0,0,10,16,12,1,1,1,1,3,0,6,2,6.0
Chandler Jones,7027,ED,ARZ,1,0,0,,0,0,1,61.3,46.5,78.6,58.1,32.6,,1,0,0,,,0,0,0,0.0,0,0,0,0,2,61,61,0,0,59,2,0,0,41,18,0,0,0,0,1,0,0,0,
Dont'a Hightower,7030,LB,NE,1,0,0,,0,0,19,39.4,52.5,77.1,65.9,67.5,75.6,0,1,0,,0.0,0,0,0,0.0,0,0,50,0,22,54,4,0,0,4,0,0,50,4,28,0,2,3,0,1,0,0,0,
Whitney Mercilus,7031,ED,HST,1,0,0,,0,0,13,,61.0,80.1,58.1,61.1,69.2,0,0,0,,,0,0,0,0.0,0,1,0,0,0,37,37,0,0,35,2,0,0,20,17,0,1,0,0,1,0,0,0,
Jackrabbit Jenkins,7043,CB,TEN,1,0,0,66.7,0,1,31,50.2,52.9,77.0,,65.4,75.1,0,0,0,54,0.0,0,0,0,108.6,6,0,7,47,37,60,0,0,0,0,0,1,60,0,23,5,1,2,9,0,0,110,22,18.3
Bobby Wagner,7050,LB,SEA,1,1,0,80.0,0,0,29,50.5,30.1,77.3,59.1,27.4,47.3,0,0,0,18,18.2,2,1,1,110.8,4,0,69,1,49,76,4,0,0,4,0,0,72,1,26,2,3,8,5,0,0,53,22,13.3
Lavonte David,7060,LB,TB,1,0,1,100.0,0,0,30,29.9,39.2,75.7,57.5,79.5,80.4,0,1,0,30,0.0,0,0,0,143.3,10,0,52,2,43,59,3,0,0,3,0,0,56,7,9,2,2,6,10,1,2,89,65,8.9
Casey Hayward Jr.,7064,CB,LV,1,0,0,50.0,0,0,23,74.7,74.3,78.1,,65.8,45.2,0,0,0,9,33.3,1,0,0,57.3,2,0,0,53,33,54,1,0,0,1,0,0,53,0,21,0,2,2,4,0,0,13,4,6.5
Demario Davis,7079,LB,NO,1,3,0,50.0,0,0,20,71.8,71.6,79.5,66.8,58.3,63.4,0,1,0,5,12.5,1,0,0,56.3,2,0,44,0,39,64,18,0,0,18,0,0,46,9,16,2,1,4,4,1,0,9,11,4.5
Akiem Hicks,7090,DI,CHI,1,0,0,,0,0,6,,57.7,65.7,,59.8,23.0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Rodney McLeod,7271,S,PHI,1,0,0,,0,0,24,67.9,71.1,77.7,,62.2,84.4,0,0,0,,0.0,0,0,0,0.0,0,0,4,0,30,48,0,0,0,0,0,44,48,0,18,0,0,4,0,0,0,0,0,
Julian Stanford,7372,LB,CAR,1,0,0,,0,0,5,,59.9,68.4,59.0,60.0,,0,0,0,,,0,0,0,0.0,0,0,1,0,0,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,
Harrison Smith,7641,S,MIN,1,2,0,50.0,0,0,18,53.6,58.6,79.5,55.5,69.3,85.4,0,0,0,19,0.0,0,0,0,83.3,1,0,22,0,39,78,13,0,0,13,0,38,65,2,37,5,0,5,2,0,0,19,0,19.0
Malik Jackson,7647,DI,CLV,1,1,2,,0,0,8,60.0,79.0,77.5,75.4,74.1,28.4,1,4,0,,33.3,1,0,0,0.0,0,0,0,0,0,51,51,2,29,2,18,0,0,34,17,0,1,1,0,5,0,0,0,
Justin Bethel,7654,CB,NE,1,0,0,100.0,0,0,19,47.2,42.9,64.5,,,72.8,0,0,0,8,0.0,0,0,0,100.0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,8,0,8.0
Sheldon Richardson,7794,DI,MIN,1,2,1,,0,0,18,60.0,67.4,76.2,69.0,59.6,41.1,0,2,0,,16.7,1,0,0,0.0,0,0,1,0,0,32,31,2,16,0,13,0,1,18,14,0,2,3,0,2,0,0,0,
Star Lotulelei,7795,DI,BUF,1,0,0,,0,0,4,,74.8,75.4,81.9,59.0,69.5,0,1,0,,0.0,0,0,0,0.0,0,1,0,0,0,22,22,6,12,0,4,0,0,12,10,0,2,2,0,2,0,0,0,
Xavier Rhodes,7806,CB,IND,1,0,0,60.0,1,0,14,55.9,57.5,77.2,,64.4,78.1,0,0,0,25,0.0,0,0,2,85.4,3,0,4,46,38,51,1,0,0,1,0,0,50,0,13,0,0,4,5,0,0,40,7,13.3
Alec Ogletree,7811,LB,CHI,1,1,0,33.3,0,0,6,42.4,44.9,75.9,59.3,57.4,61.6,0,0,0,20,9.1,1,1,0,57.6,1,0,49,0,32,56,5,0,0,5,0,0,51,1,23,2,5,9,3,0,0,20,8,20.0
Darius Slay,7817,CB,PHI,1,0,0,50.0,0,0,24,72.4,73.0,77.5,,68.0,80.0,0,0,0,15,0.0,0,0,0,63.5,2,0,7,60,39,67,0,0,0,0,0,0,67,0,28,0,2,6,4,0,0,19,7,9.5
Kevin Minter,7826,LB,TB,1,0,0,,0,0,30,60.0,62.0,61.5,,,,0,0,0,,,0,0,0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Johnathan Hankins,7830,DI,LV,1,2,0,,0,0,23,,30.1,86.4,61.1,28.0,29.4,0,1,0,,25.0,1,0,0,0.0,0,0,0,0,0,52,51,25,26,0,0,0,1,25,27,0,0,1,0,1,0,0,0,
