player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,1,1,0,,0,0,3,60.1,89.5,77.7,74.1,85.0,38.2,2,3,0,,20.0,1,0,0,0.0,0,0,0,0,0,50,50,13,20,2,15,0,0,35,15,0,2,3,0,5,0,0,0,
Malcolm Jenkins,4937,S,NO,1,2,0,100.0,0,0,20,79.5,78.5,76.1,,60.7,48.9,0,0,0,2,20.0,1,1,0,79.2,1,0,24,3,32,60,8,0,0,8,0,12,52,0,28,13,1,2,1,0,0,2,0,2.0
Ndamukong Suh,5527,DI,TB,1,0,0,,0,0,30,59.5,43.3,4.9,50.4,54.1,69.9,0,0,0,,0.0,0,0,1,0.0,0,1,0,0,1,57,57,1,26,0,30,0,0,32,24,0,1,1,0,1,0,0,0,
Joe Haden,5532,CB,PIT,1,0,0,50.0,0,0,25,90.2,90.3,70.7,,60.0,72.5,0,0,0,2,0.0,0,1,0,56.3,1,0,0,9,3,9,0,0,0,0,0,0,9,0,6,0,1,1,2,0,0,2,1,2.0
Jason Pierre-Paul,5540,ED,TB,1,1,0,,0,0,30,61.0,42.0,79.6,44.3,48.2,72.4,0,1,0,,33.3,1,0,0,0.0,0,0,0,0,2,58,58,0,0,56,2,0,0,31,25,0,1,1,0,1,0,0,0,
Kareem Jackson,5545,S,DEN,1,0,0,100.0,0,0,10,59.3,52.8,77.5,,46.9,26.8,0,0,0,4,40.0,4,0,0,81.3,2,0,28,0,25,58,1,0,0,1,0,21,57,0,33,8,2,6,2,0,0,7,10,3.5
Devin McCourty,5552,S,NE,1,1,0,,0,0,19,70.8,75.6,78.6,,67.7,78.9,0,0,0,,0.0,0,1,0,0.0,0,0,8,2,37,53,0,0,0,0,0,37,53,0,16,6,0,2,0,0,0,0,0,
Jerry Hughes,5556,ED,BUF,1,0,0,0.0,0,0,4,62.6,65.1,79.1,84.0,27.8,,0,2,0,,,0,0,0,39.6,0,0,0,0,2,31,31,0,0,31,0,0,0,22,7,0,0,0,1,2,0,0,0,
Linval Joseph,5571,DI,LAC,1,0,0,,0,0,27,,61.1,77.6,78.8,48.5,69.8,0,3,0,,0.0,0,0,0,0.0,0,0,0,0,0,50,50,31,19,0,0,0,0,23,27,0,1,2,0,3,0,0,0,
Carlos Dunlap,5579,ED,SEA,1,0,0,100.0,0,0,29,61.3,53.7,0.0,53.6,65.7,72.2,0,0,0,3,0.0,0,0,1,79.2,1,0,0,0,6,31,31,0,0,30,1,0,0,17,8,0,2,3,1,0,0,3,4,3.0
