player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,1,0,0,,0,0,3,,75.0,71.0,65.6,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,7,7,5,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,
Steve McLendon,5232,DI,TB,1,0,0,,1,1,30,59.7,77.5,0.0,86.0,67.4,70.0,1,2,0,,0.0,0,0,1,0.0,0,1,0,0,1,33,33,5,19,0,9,0,0,24,8,0,1,1,0,4,0,0,0,
Ndamukong Suh,5527,DI,TB,1,0,0,,0,0,30,,61.0,77.3,55.8,65.4,26.4,0,2,0,,50.0,1,0,0,0.0,0,0,0,0,0,42,42,0,22,3,17,0,0,31,11,0,1,1,0,2,0,0,0,
Joe Haden,5532,CB,PIT,1,1,0,100.0,0,0,25,43.1,48.2,76.4,,71.2,77.9,0,0,0,18,0.0,0,0,0,143.2,7,0,4,43,28,50,0,0,0,0,0,0,50,0,22,3,1,3,7,0,2,62,38,8.9
Kareem Jackson,5545,S,DEN,1,2,0,100.0,0,0,10,54.3,49.0,78.7,,48.2,36.8,0,0,0,10,28.6,2,0,0,141.7,2,0,31,1,31,69,0,0,0,0,0,33,69,0,38,4,0,3,2,0,1,17,10,8.5
Devin McCourty,5552,S,NE,1,2,0,50.0,0,0,19,62.1,61.6,76.9,,56.8,54.6,0,0,0,11,16.7,1,1,0,66.7,1,0,19,2,52,79,0,0,0,0,0,49,79,0,27,9,0,3,2,0,0,11,4,11.0
Jerry Hughes,5556,ED,BUF,1,0,0,,0,0,4,60.3,49.4,78.5,47.0,59.7,69.6,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,1,29,29,0,0,28,1,0,0,23,5,0,0,1,0,2,0,0,0,
Linval Joseph,5571,DI,LAC,1,1,0,,0,0,27,,42.3,0.0,63.3,45.4,70.2,0,1,0,,0.0,0,0,1,0.0,0,0,0,0,0,47,47,28,19,0,0,0,0,21,26,0,2,2,0,1,0,0,0,
Carlos Dunlap,5579,ED,SEA,1,0,0,,0,1,29,62.7,84.9,79.6,83.5,60.3,74.6,1,3,0,,0.0,0,0,0,0.0,0,2,0,0,2,33,31,0,0,30,1,0,2,23,8,2,2,3,0,6,0,0,0,
Corey Peters,5607,DI,ARZ,1,0,0,,0,0,1,,54.0,0.0,51.7,65.1,69.4,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,37,37,3,29,1,4,0,0,15,22,0,3,3,0,0,0,0,0,
Al Woods,5646,DI,SEA,1,0,0,,0,0,29,59.9,66.8,76.7,59.7,67.5,70.8,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,1,38,38,25,13,0,0,0,0,18,19,0,3,4,0,1,0,0,0,
Anthony Levine,6013,S,BLT,1,0,0,66.7,0,0,3,71.0,74.3,73.4,53.4,60.0,75.4,0,0,0,52,0.0,0,1,0,109.7,2,0,8,2,8,12,2,0,0,2,0,0,10,3,1,0,1,2,3,0,0,55,9,27.5
