player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,1,1,0,,0,0,3,60.7,75.3,78.8,63.2,70.6,71.3,1,1,0,,0.0,0,0,0,0.0,0,0,1,0,0,52,51,1,22,12,16,0,1,35,17,0,2,3,0,2,0,0,0,
Malcolm Jenkins,4937,S,NO,1,0,0,75.0,0,0,20,37.1,39.8,79.6,53.9,63.8,79.3,0,0,0,26,0.0,0,0,0,115.6,3,0,14,1,49,83,13,0,0,13,0,25,70,4,30,30,1,5,4,0,0,49,3,16.3
Jason McCourty,5127,S,MIA,1,1,0,100.0,0,0,17,53.3,52.8,75.1,,60.0,78.9,0,0,0,23,0.0,0,0,0,118.8,2,0,9,8,22,27,0,0,0,0,0,7,27,0,5,3,0,2,2,0,0,33,8,16.5
Steve McLendon,5232,DI,TB,1,0,0,,0,0,30,,50.0,73.2,59.6,49.6,,1,1,0,,,0,0,0,0.0,0,0,0,0,0,15,15,0,9,0,6,0,0,10,5,0,0,0,0,2,0,0,0,
Ndamukong Suh,5527,DI,TB,1,0,0,,0,0,30,59.8,59.2,77.1,58.7,60.1,,0,2,0,,,0,0,0,0.0,0,0,0,0,1,34,34,0,13,7,14,0,0,31,2,0,0,0,0,2,0,0,0,
Joe Haden,5532,CB,PIT,1,2,0,83.3,0,0,25,56.6,54.2,76.9,,46.6,53.7,0,0,0,23,14.3,1,1,0,118.8,5,0,5,55,43,60,0,0,0,0,0,0,60,0,17,0,0,4,6,0,0,75,20,15.0
Jason Pierre-Paul,5540,ED,TB,1,0,0,100.0,0,0,30,29.7,29.7,0.0,45.5,61.1,29.1,1,2,0,24,40.0,2,0,1,158.3,2,0,3,0,4,41,38,0,1,37,0,0,3,32,5,0,1,3,2,3,1,34,11,17.0
Kareem Jackson,5545,S,DEN,1,1,0,100.0,0,0,10,39.4,45.3,82.5,,70.0,65.3,0,0,0,18,12.5,1,0,0,158.3,1,0,12,0,24,55,1,0,0,1,0,38,54,0,31,4,3,6,1,0,1,18,0,18.0
Devin McCourty,5552,S,NE,1,0,0,100.0,0,0,19,30.3,29.3,75.8,60.0,63.5,27.7,0,0,0,8,40.0,2,0,0,97.9,2,0,8,1,34,59,1,0,0,1,0,47,58,1,24,2,0,3,2,0,0,15,10,7.5
Jerry Hughes,5556,ED,BUF,1,0,0,,0,0,4,60.0,73.1,7.9,75.1,64.4,69.6,0,7,0,,,0,0,1,0.0,0,1,1,0,1,54,53,0,0,53,0,0,1,44,9,0,1,0,0,8,0,0,0,
