player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,1,1,1,,0,0,3,60.0,61.4,78.1,55.9,66.7,69.6,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,1,43,43,6,12,14,11,0,0,31,11,0,1,2,0,0,0,0,0,
Malcolm Jenkins,4937,S,NO,1,0,0,66.7,0,0,20,46.2,50.8,78.6,55.9,64.3,42.8,0,0,0,16,20.0,1,0,0,99.3,2,0,28,0,29,78,9,0,0,9,0,27,69,2,47,14,1,4,3,0,0,30,14,15.0
Steve McLendon,5232,DI,TB,1,0,0,,0,0,30,64.5,78.1,75.8,57.6,67.1,66.8,0,2,1,,,0,0,0,0.0,0,0,0,0,1,28,28,4,20,0,4,0,0,17,10,0,0,0,0,2,0,0,0,
Ndamukong Suh,5527,DI,TB,1,0,0,,0,0,30,,72.3,76.1,70.2,60.2,,2,1,0,,,0,0,0,0.0,0,0,0,0,0,30,30,1,12,1,16,0,0,26,4,0,0,0,0,3,0,0,0,
Jason Pierre-Paul,5540,ED,TB,1,0,1,,0,0,30,60.0,48.5,0.0,58.9,52.5,69.9,0,2,0,,0.0,0,0,1,0.0,0,0,0,0,1,44,44,0,0,44,0,0,0,33,10,0,1,1,0,2,0,0,0,
Devin McCourty,5552,S,NE,1,0,0,0.0,0,0,19,82.1,89.0,78.6,,66.3,80.9,0,0,1,,0.0,0,1,0,0.0,0,0,5,0,37,53,0,0,0,0,0,45,53,0,16,3,0,3,1,0,0,0,0,
Jerry Hughes,5556,ED,BUF,1,0,0,,0,0,4,,75.8,77.4,75.6,60.8,,0,2,0,,,0,0,0,0.0,0,0,0,0,0,21,21,0,0,19,2,0,0,13,8,0,0,0,0,2,0,0,0,
Carlos Dunlap,5579,ED,SEA,1,1,0,100.0,0,0,29,48.1,39.6,76.8,54.2,61.4,73.0,0,0,0,1,0.0,0,0,0,79.2,1,0,0,0,2,17,17,0,0,17,0,0,0,6,9,0,1,2,1,0,0,1,2,1.0
Corey Peters,5607,DI,ARZ,1,0,0,,0,0,1,,40.9,75.9,65.8,39.0,,0,1,0,,,0,0,0,0.0,0,0,0,0,0,20,20,8,12,0,0,0,0,8,12,0,0,0,0,1,0,0,0,
Everson Griffen,5624,ED,MIN,1,0,0,,0,0,18,60.0,30.0,0.0,59.5,29.3,69.2,1,1,0,,,0,0,2,0.0,0,0,0,0,0,43,43,0,0,40,3,0,0,31,12,0,1,0,0,2,0,0,0,
Al Woods,5646,DI,SEA,1,2,0,,0,0,29,,66.7,76.7,52.5,71.2,28.3,0,1,0,,33.3,1,0,0,0.0,0,0,0,0,0,42,42,34,7,0,1,0,0,23,19,0,0,0,0,1,0,0,0,
Andrew Sendejo,6118,S,IND,1,0,0,50.0,2,0,14,54.1,52.8,77.7,53.4,61.7,58.6,0,0,0,31,25.0,1,1,2,95.8,1,0,13,2,37,51,2,0,0,2,0,31,49,3,11,3,0,3,2,0,0,31,2,31.0
Patrick Peterson,6157,CB,MIN,1,0,0,100.0,0,0,18,57.3,58.7,77.8,,63.7,76.7,0,0,0,12,0.0,0,0,1,98.6,3,0,0,50,36,51,0,0,0,0,0,0,51,0,15,1,1,3,3,0,0,23,12,7.7
Robert Quinn,6166,ED,CHI,1,0,0,,0,1,6,62.3,89.7,78.7,90.0,63.9,53.5,0,3,0,,50.0,1,0,0,0.0,0,4,0,1,3,61,60,0,0,60,0,0,1,37,21,0,5,1,0,7,0,0,0,
Ryan Kerrigan,6168,ED,PHI,1,0,0,,0,0,24,,56.7,77.3,55.5,59.6,,0,2,0,,,0,0,0,0.0,0,0,0,0,0,19,19,0,0,19,0,0,0,13,6,0,0,0,0,2,0,0,0,
Cameron Jordan,6176,ED,NO,1,0,1,,0,0,20,60.0,57.9,79.9,59.4,55.6,74.2,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,1,56,56,0,1,55,0,0,0,26,29,0,3,2,0,2,0,0,0,
Cameron Heyward,6183,DI,PIT,1,0,1,,0,0,25,60.0,60.8,0.0,71.4,55.5,70.0,1,2,0,,0.0,0,0,2,0.0,0,0,0,0,0,62,62,3,32,4,23,0,0,44,18,0,0,2,0,3,0,0,0,
Justin Houston,6222,ED,BLT,1,1,0,,0,0,3,60.8,64.6,77.9,68.7,51.3,73.3,1,2,0,,0.0,0,0,0,0.0,0,1,0,1,2,36,35,0,2,33,0,0,1,25,9,0,2,1,0,4,0,0,0,
K.J. Wright,6251,LB,LV,1,1,0,100.0,0,0,23,32.1,48.4,74.0,,67.6,75.5,0,0,0,14,0.0,0,0,0,102.1,2,0,6,0,7,20,13,0,0,13,0,0,7,0,13,1,0,2,2,0,0,17,12,8.5
Lawrence Guy,6385,DI,NE,1,1,0,,0,0,19,,77.2,75.6,73.2,67.5,66.8,0,3,0,,0.0,0,0,0,0.0,0,0,0,0,0,24,24,0,9,4,11,0,0,12,12,0,0,0,0,3,0,0,0,
