player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,1,0,0,,0,0,3,,58.2,77.3,66.6,50.6,69.0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,49,49,5,26,1,17,0,0,28,21,0,1,1,0,2,0,0,0,
Malcolm Jenkins,4937,S,NO,1,1,0,100.0,0,0,20,59.1,61.9,77.2,54.2,69.6,79.0,0,0,0,10,0.0,0,0,0,95.8,2,0,24,3,43,70,14,0,0,14,0,13,56,4,23,16,2,3,2,0,0,14,1,7.0
Ndamukong Suh,5527,DI,TB,1,1,0,,0,0,30,,68.9,77.2,71.6,56.6,71.2,0,2,0,,0.0,0,0,0,0.0,0,2,0,0,0,46,46,0,21,1,24,0,0,33,13,0,2,1,0,4,0,0,0,
Jason Pierre-Paul,5540,ED,TB,1,0,0,100.0,0,0,30,51.4,44.9,77.1,48.4,54.0,34.9,0,2,0,6,33.3,1,0,0,91.7,1,0,0,0,3,37,36,0,0,36,0,0,1,22,12,1,2,2,1,2,0,6,9,6.0
Kareem Jackson,5545,S,DEN,1,0,0,66.7,0,0,10,29.6,28.6,83.5,,62.4,73.0,0,0,0,13,0.0,0,0,0,88.2,2,0,9,0,35,55,0,0,0,0,0,38,55,0,20,8,0,1,3,0,0,22,15,11.0
Devin McCourty,5552,S,NE,1,0,0,0.0,0,0,19,66.5,69.1,76.8,60.0,62.8,75.4,0,1,0,,0.0,0,0,0,39.6,0,0,11,1,37,58,1,0,0,1,0,38,57,1,20,7,0,2,2,1,0,0,0,
Jerry Hughes,5556,ED,BUF,1,1,0,,0,0,4,60.0,40.7,77.7,56.8,41.9,21.5,0,0,0,,66.7,2,0,0,0.0,0,0,0,0,0,25,25,0,0,25,0,0,0,2,23,0,0,0,0,0,0,0,0,
Carlos Dunlap,5579,ED,SEA,1,0,1,,0,0,29,60.0,76.1,73.4,72.9,,69.6,0,0,0,,,0,0,0,0.0,0,1,0,0,1,7,7,0,0,7,0,0,0,6,0,0,1,0,0,1,0,0,0,
Corey Peters,5607,DI,ARZ,1,0,0,,0,0,1,,81.2,75.7,67.2,76.3,67.6,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,26,26,12,14,0,0,0,0,16,10,0,1,1,0,2,0,0,0,
Al Woods,5646,DI,SEA,1,0,0,,0,0,29,,58.1,77.7,52.2,62.0,68.6,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,0,36,35,12,13,7,3,0,1,18,18,0,1,1,0,0,0,0,0,
Andrew Sendejo,6118,S,IND,1,0,0,,0,0,14,63.5,65.5,77.9,,61.5,77.2,0,0,0,,,0,0,0,0.0,0,0,5,0,30,45,0,0,0,0,0,38,45,0,15,2,0,0,0,0,0,0,0,
Von Miller,6154,ED,LA,1,0,0,100.0,0,0,26,90.6,78.3,77.3,57.0,65.8,69.9,0,0,0,-1,0.0,0,1,0,79.2,1,0,1,0,9,47,46,0,0,46,0,0,1,23,15,0,1,1,1,0,0,-1,5,-1.0
Robert Quinn,6166,ED,CHI,1,0,0,,0,0,6,62.5,55.5,77.7,49.5,58.9,78.4,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,1,40,39,0,1,38,0,0,1,17,22,1,2,2,0,0,0,0,0,
Ryan Kerrigan,6168,ED,PHI,1,0,0,,0,0,24,61.6,63.0,76.4,50.0,61.2,69.2,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,20,20,0,0,20,0,0,0,14,6,0,1,1,0,1,0,0,0,
