player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
DeSean Jackson,4363,WR,LA,1,0,0,,0,0,26,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Calais Campbell,4364,DI,BLT,1,1,0,,0,0,3,60.0,57.4,77.3,62.3,52.0,70.9,1,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,47,47,2,16,3,26,0,0,30,17,0,2,2,0,2,0,0,0,
Malcolm Jenkins,4937,S,NO,1,4,0,,0,0,20,65.3,72.3,77.0,71.4,68.4,53.1,0,1,0,,14.3,1,0,0,0.0,0,1,23,2,25,56,12,0,0,12,0,11,44,4,27,8,3,2,0,2,0,0,0,
Jason McCourty,5127,S,MIA,1,0,0,0.0,0,0,17,72.8,75.8,75.0,,60.0,,0,0,0,,,0,1,0,39.6,0,0,4,0,25,28,0,0,0,0,0,15,28,0,3,9,0,0,1,0,0,0,0,
Ndamukong Suh,5527,DI,TB,1,0,0,,0,0,30,58.3,48.4,76.6,57.9,49.4,,0,2,0,,,0,0,0,0.0,0,0,1,0,2,33,32,0,18,2,12,0,1,19,12,0,0,0,0,2,0,0,0,
Jason Pierre-Paul,5540,ED,TB,1,0,0,100.0,0,1,30,63.9,91.9,77.4,91.6,68.7,50.1,0,1,0,6,33.3,1,0,0,91.7,1,2,1,0,3,39,38,0,0,38,0,0,1,25,11,0,3,2,1,3,0,6,5,6.0
Kareem Jackson,5545,S,DEN,1,4,0,100.0,0,0,10,48.3,50.1,79.8,,61.7,35.0,0,0,0,8,28.6,4,0,0,98.6,3,0,30,0,36,69,0,0,0,0,0,31,69,0,33,8,0,6,3,0,0,23,22,7.7
Devin McCourty,5552,S,NE,1,0,0,100.0,0,0,19,56.5,56.6,72.9,,60.0,76.8,0,0,0,7,0.0,0,0,0,95.8,1,0,3,1,12,18,0,0,0,0,0,14,18,0,6,0,0,2,1,0,0,7,2,7.0
Carlos Dunlap,5579,ED,SEA,1,2,0,,0,0,29,61.6,64.5,78.7,56.6,67.2,74.7,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,2,29,28,0,1,27,0,0,1,20,7,1,2,2,0,1,0,0,0,
Al Woods,5646,DI,SEA,1,1,1,,0,0,29,60.0,63.8,0.0,61.1,70.7,70.0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,43,43,7,17,6,13,0,0,22,21,0,3,3,0,0,0,0,0,
Andrew Sendejo,6118,S,IND,1,1,0,,0,0,14,64.4,54.0,79.5,,38.2,33.9,0,0,0,,33.3,1,0,0,0.0,0,0,1,0,25,44,0,0,0,0,0,42,44,0,19,1,0,1,0,0,0,0,0,
Von Miller,6154,ED,DEN,1,1,0,100.0,0,0,10,63.0,79.3,77.3,71.9,69.9,74.0,1,2,0,4,0.0,0,0,0,83.3,1,0,0,0,1,33,31,0,0,31,0,0,2,18,14,2,0,1,1,3,0,4,2,4.0
J.J. Watt,6163,DI,ARZ,1,0,0,,0,0,1,,80.9,77.6,69.4,75.4,66.8,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,30,30,2,8,14,6,0,0,20,10,0,1,1,0,1,0,0,0,
Ryan Kerrigan,6168,ED,PHI,1,0,0,,0,0,24,,59.5,75.6,51.7,65.4,,0,0,0,,,0,0,0,0.0,0,0,1,0,0,13,12,0,0,11,1,0,1,9,4,0,0,0,0,0,0,0,0,
Cameron Jordan,6176,ED,NO,1,1,0,,0,0,20,,71.7,79.4,67.7,65.5,74.6,0,2,0,,0.0,0,0,0,0.0,0,1,0,0,0,45,45,0,1,42,2,0,0,25,20,0,4,3,0,3,0,0,0,
Jimmy Smith,6179,CB,BLT,1,0,0,100.0,0,0,3,54.5,56.2,73.3,,61.8,72.8,0,0,0,9,0.0,0,0,0,104.2,1,0,1,15,8,17,0,0,0,0,0,1,17,0,9,0,0,1,1,0,0,9,2,9.0
Justin Houston,6222,ED,BLT,1,1,0,,0,0,3,78.3,82.7,77.8,82.8,49.5,27.7,4,1,0,,33.3,1,0,0,0.0,0,0,0,0,2,36,36,0,0,36,0,0,0,25,9,0,1,1,0,5,0,0,0,
K.J. Wright,6251,LB,LV,1,0,0,,0,0,23,60.0,72.1,68.4,,60.0,,0,0,0,,,0,0,0,0.0,0,0,2,0,1,5,3,0,0,3,0,0,2,0,4,0,0,0,0,0,0,0,0,
Pernell McPhee,6317,ED,BLT,1,1,0,,0,0,3,61.9,45.3,0.0,70.6,44.2,75.1,0,0,0,,0.0,0,0,1,0.0,0,0,1,0,1,19,18,2,0,13,3,0,1,11,7,0,0,1,0,0,0,0,0,
Lawrence Guy,6385,DI,NE,1,0,0,,0,0,19,,80.9,75.9,52.7,85.4,38.3,1,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,29,29,1,8,4,16,0,0,14,15,0,3,3,0,1,0,0,0,
