player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,1,0,0,,0,0,3,,65.6,71.0,55.0,60.0,67.4,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,6,6,1,0,2,3,0,0,5,1,0,1,1,0,0,0,0,0,
Malcolm Jenkins,4937,S,NO,1,0,0,50.0,0,0,20,41.3,36.6,78.6,53.7,42.3,77.3,1,0,0,22,0.0,0,0,0,63.9,3,0,13,7,49,66,10,0,0,10,0,16,56,4,13,20,2,3,6,1,0,29,29,9.7
Ndamukong Suh,5527,DI,TB,1,1,0,,0,0,30,59.5,58.4,77.9,52.2,71.3,67.3,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,1,52,52,2,27,1,22,0,0,42,9,0,0,0,0,1,0,0,0,
Jason Pierre-Paul,5540,ED,TB,1,0,0,100.0,0,0,30,48.1,54.2,77.5,60.8,50.8,74.2,1,2,0,10,0.0,0,0,0,108.3,1,0,0,0,3,54,54,0,0,54,0,0,0,43,8,0,1,3,1,3,0,10,6,10.0
Kareem Jackson,5545,S,DEN,1,0,0,50.0,0,0,10,65.3,68.1,78.9,,63.9,79.7,0,0,0,11,0.0,0,1,0,57.3,2,0,18,0,29,49,0,0,0,0,0,28,49,0,20,3,2,5,4,0,0,13,17,6.5
Jerry Hughes,5556,ED,BUF,1,0,0,,0,0,4,61.6,63.7,78.8,56.3,68.1,69.6,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,3,42,42,0,1,37,4,0,0,28,11,0,1,1,0,2,0,0,0,
Linval Joseph,5571,DI,LAC,1,1,0,,0,0,27,,69.4,73.1,56.2,69.1,69.4,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,9,9,8,1,0,0,0,0,5,4,0,2,2,0,0,0,0,0,
Carlos Dunlap,5579,ED,SEA,1,0,0,,0,0,29,65.0,59.6,78.5,48.4,56.7,71.7,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,7,28,28,0,0,28,0,0,0,15,6,0,1,2,0,0,0,0,0,
Corey Peters,5607,DI,ARZ,1,0,0,,0,0,1,,74.4,76.3,54.0,76.8,68.2,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,0,30,29,5,24,0,0,0,1,16,14,0,2,2,0,0,0,0,0,
Andre Roberts,5612,WR,LAC,1,0,0,,0,0,27,60.7,70.2,60.0,,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Al Woods,5646,DI,SEA,1,1,0,100.0,0,0,29,57.8,89.6,76.3,62.7,90.2,45.0,0,0,0,10,20.0,1,0,0,108.3,1,1,0,0,2,30,30,22,8,0,0,0,0,15,13,0,4,3,1,1,0,10,5,10.0
Von Miller,6154,ED,LA,1,0,0,,0,0,26,76.9,69.5,7.3,59.8,79.2,43.7,0,9,0,,25.0,1,0,1,0.0,0,0,0,0,6,61,59,0,0,59,0,0,2,43,12,2,3,3,0,9,0,0,0,
Patrick Peterson,6157,CB,MIN,1,1,0,57.1,0,0,18,55.3,54.7,78.7,,52.4,44.8,0,0,0,30,20.0,1,0,0,119.6,4,0,4,68,51,74,0,0,0,0,0,0,74,0,23,2,1,3,7,0,1,51,6,12.8
Robert Quinn,6166,ED,CHI,1,0,0,,0,0,6,,56.0,78.5,58.7,53.2,34.1,0,1,0,,100.0,1,0,0,0.0,0,2,0,0,0,53,52,0,0,51,1,0,1,33,20,1,2,0,0,3,0,0,0,
Cameron Heyward,6183,DI,PIT,1,2,0,,0,0,25,61.3,83.8,78.3,70.9,73.8,73.6,0,3,0,,0.0,0,0,0,0.0,0,0,0,0,0,63,63,1,26,12,24,0,0,32,31,0,3,4,0,3,0,0,0,
Justin Houston,6222,ED,BLT,1,0,0,,0,0,3,76.0,71.5,76.8,53.7,71.6,72.8,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,1,32,32,0,0,32,0,0,0,22,9,0,2,2,0,1,0,0,0,
K.J. Wright,6251,LB,LV,1,2,0,100.0,0,0,23,37.6,49.9,70.7,,71.4,56.4,0,0,0,16,20.0,1,0,1,118.8,1,0,48,0,27,49,0,0,0,0,0,0,49,0,22,1,1,2,1,0,0,16,20,16.0
Buster Skrine,6289,CB,TEN,1,0,0,57.1,0,0,31,83.1,81.9,77.3,59.7,61.3,78.7,0,0,1,41,0.0,0,1,0,48.2,4,0,0,32,46,55,0,0,0,0,0,1,55,1,8,22,3,5,7,0,0,64,3,16.0
Richard Sherman,6306,CB,TB,1,0,0,50.0,0,0,30,65.3,65.9,75.7,59.5,60.0,23.7,0,0,1,24,100.0,1,0,0,54.2,1,0,2,2,18,21,1,0,0,1,0,13,20,1,2,2,0,0,2,0,0,24,25,24.0
Malcolm Smith,6394,LB,CLV,1,1,0,100.0,0,0,8,56.0,61.9,74.9,56.9,71.8,74.9,0,0,0,14,0.0,0,0,0,152.1,2,0,31,0,25,38,0,0,0,0,0,0,38,2,11,7,1,1,2,0,1,22,1,11.0
Chris Harris Jr.,6457,CB,LAC,1,0,0,20.0,0,0,27,85.2,84.0,75.4,59.4,68.0,74.0,0,0,0,24,0.0,0,2,0,47.1,1,0,6,0,35,59,1,0,0,1,0,1,58,2,22,51,2,2,5,0,0,24,4,24.0
Josh Bynes,6503,LB,BLT,1,2,0,33.3,0,0,3,76.6,82.8,74.1,53.8,75.9,79.9,0,0,0,-1,0.0,0,0,0,42.4,1,0,45,0,20,45,0,0,0,0,0,0,45,3,22,0,4,4,3,0,0,-1,3,-1.0
Mario Addison,6558,ED,BUF,1,0,0,,0,0,4,61.8,50.2,0.9,59.4,51.1,24.2,0,1,0,,100.0,1,0,1,0.0,0,0,0,0,3,47,47,0,1,46,0,0,0,34,10,0,0,0,0,1,0,0,0,
Stephon Gilmore,7016,CB,CAR,1,0,0,100.0,0,0,5,74.7,71.9,78.4,,58.4,72.8,0,0,0,-2,0.0,0,0,0,79.2,1,0,3,59,31,68,0,0,0,0,0,0,68,0,37,6,1,1,1,0,0,-2,0,-2.0
Michael Brockers,7020,DI,DET,1,3,0,,0,0,11,,49.2,76.4,53.6,51.6,70.6,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,32,32,1,23,4,4,0,0,13,19,0,0,2,0,0,0,0,0,
Bruce Irvin,7021,ED,CHI,1,0,0,,0,0,6,,50.4,77.7,49.1,58.5,,0,0,0,,,0,0,0,0.0,0,0,1,0,0,39,38,0,1,35,2,0,1,25,14,0,0,0,0,0,0,0,0,
Melvin Ingram III,7024,ED,KC,1,0,0,,0,0,16,62.2,72.8,77.3,68.2,63.2,69.9,1,2,0,,,0,0,0,0.0,0,1,1,0,4,37,36,0,0,36,0,0,1,29,4,0,0,0,0,4,0,0,0,
Chandler Jones,7027,ED,ARZ,1,1,0,,0,1,1,63.0,61.6,77.8,64.2,54.4,73.6,0,0,0,,33.3,1,0,0,0.0,0,1,0,0,5,50,49,0,0,49,0,0,1,26,19,1,2,1,0,1,0,0,0,
Bobby Wagner,7050,LB,SEA,1,5,0,100.0,0,0,29,71.8,80.0,77.3,70.7,74.0,84.7,0,0,0,15,0.0,0,0,0,95.8,6,0,70,0,55,81,1,0,0,1,0,7,80,2,24,3,4,9,6,0,0,42,41,7.0
Lavonte David,7060,LB,TB,1,0,0,50.0,0,0,30,75.2,71.9,75.1,57.8,58.4,81.3,1,0,0,15,0.0,0,0,0,101.0,2,0,64,0,55,79,6,0,0,6,0,0,73,10,14,8,4,9,4,1,1,17,7,8.5
Casey Hayward Jr.,7064,CB,LV,1,0,0,,0,0,23,77.2,80.0,78.0,,79.6,76.7,0,0,0,,0.0,0,0,0,0.0,0,0,4,58,38,64,2,0,0,2,0,0,62,0,26,0,1,2,0,0,0,0,0,
Demario Davis,7079,LB,NO,1,1,1,66.7,0,0,20,54.4,59.0,79.0,54.4,74.0,55.8,0,0,0,14,11.1,1,0,0,84.0,4,0,48,0,40,66,13,0,0,13,0,0,53,13,13,5,1,7,6,0,0,38,14,9.5
Tashaun Gipson Sr.,7288,S,CHI,1,1,0,100.0,0,0,6,65.0,65.5,74.0,,60.9,62.7,0,1,0,12,11.1,1,0,0,108.3,2,0,31,0,40,65,2,0,0,2,0,21,63,0,25,11,0,7,2,1,0,20,17,10.0
Harrison Smith,7641,S,MIN,1,1,0,100.0,0,0,18,78.7,79.8,77.0,72.6,57.0,48.5,0,0,0,6,20.0,1,1,0,89.6,2,1,35,4,50,74,6,0,0,6,0,27,68,1,23,2,2,3,2,1,0,11,7,5.5
Malik Jackson,7647,DI,CLV,1,0,0,,0,0,8,,42.4,76.2,54.2,39.2,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,39,39,1,15,2,21,0,0,31,8,0,0,0,0,0,0,0,0,
Josh Norman,7649,CB,SF,1,1,0,50.0,0,0,28,68.3,70.8,78.6,,73.8,76.9,0,0,0,29,0.0,0,1,0,83.3,2,0,4,63,42,67,0,0,0,0,0,0,67,0,25,0,0,2,4,0,0,38,8,19.0
Sheldon Richardson,7794,DI,MIN,1,0,1,,0,0,18,60.0,68.0,80.0,66.8,60.3,34.1,0,3,0,,33.3,1,0,0,0.0,0,1,0,0,0,56,56,1,5,31,19,0,0,40,16,0,2,2,0,4,0,0,0,
Desmond Trufant,7803,CB,LV,1,0,0,,0,0,23,60.0,61.3,66.8,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,2,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,
Alec Ogletree,7811,LB,CHI,1,2,0,100.0,0,0,6,28.5,28.9,77.1,62.9,48.5,32.1,0,0,0,23,28.6,2,0,0,158.3,4,0,50,0,25,57,7,0,0,7,0,0,50,7,25,0,1,3,4,0,1,56,22,14.0
Johnathan Hankins,7830,DI,LV,1,1,0,,0,0,23,70.1,78.2,78.8,59.2,71.5,71.4,0,1,0,,0.0,0,0,0,0.0,0,0,2,0,0,43,41,12,28,0,1,0,2,21,22,0,2,4,0,1,0,0,0,
Margus Hunt,7834,DI,CHI,1,1,0,,0,0,6,60.0,74.6,73.1,59.5,70.6,69.8,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,14,14,2,6,0,6,0,0,4,10,0,1,1,0,0,0,0,0,
Robert Alford,7841,CB,ARZ,1,1,0,87.5,0,0,1,28.5,29.4,75.9,,68.2,80.4,0,0,0,52,0.0,0,0,1,158.3,7,0,0,32,27,35,0,0,0,0,0,0,35,0,8,3,0,6,8,0,1,145,58,20.7
Tyrann Mathieu,7850,S,KC,1,0,0,83.3,0,0,16,64.8,61.3,0.0,66.4,60.9,81.4,0,1,1,16,0.0,0,0,1,52.1,5,0,19,0,34,47,4,0,0,4,0,6,43,3,10,18,4,5,6,1,0,36,19,7.2
Logan Ryan,7864,S,NYG,1,0,0,100.0,0,0,21,51.8,57.2,75.7,,70.2,83.1,0,0,0,36,0.0,0,0,0,118.8,2,0,21,6,35,70,2,0,0,2,0,22,68,0,35,19,3,7,2,0,0,39,5,19.5
Duron Harmon,7872,S,ATL,1,0,0,66.7,0,0,2,52.0,50.9,75.6,74.0,51.9,80.0,1,0,0,18,0.0,0,0,0,92.4,2,0,12,0,37,64,0,0,0,0,0,46,64,2,25,6,0,3,3,1,0,25,1,12.5
Brandon Williams,7875,DI,BLT,1,1,0,,0,0,3,,44.8,78.8,53.0,45.8,22.8,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,44,44,28,16,0,0,0,0,24,20,0,0,0,0,0,0,0,0,
Alex Okafor,7885,ED,KC,1,1,0,0.0,0,1,16,60.0,79.8,78.5,76.6,65.0,73.6,0,1,0,,0.0,0,0,0,39.6,0,2,0,0,1,26,26,0,0,26,0,0,0,17,8,0,3,1,1,3,0,0,0,
William Gholston,7908,DI,TB,1,0,0,,0,0,30,,41.7,0.0,52.6,62.3,,1,0,0,,,0,0,1,0.0,0,0,0,0,0,18,18,0,15,0,3,0,0,13,5,0,0,0,0,1,0,0,0,
Steven Means,7929,ED,ATL,1,1,0,,0,0,2,64.2,53.1,77.4,48.3,57.6,74.7,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,6,47,46,0,0,46,0,0,1,24,17,0,2,3,0,0,0,0,0,
Micah Hyde,7941,S,BUF,1,0,0,75.0,0,0,4,53.9,55.3,81.3,,65.0,83.6,0,0,0,24,0.0,0,0,0,149.0,3,0,14,0,55,82,0,0,0,0,0,47,82,0,27,21,1,8,4,0,1,43,5,14.3
Jordan Poyer,8000,S,BUF,1,2,0,50.0,0,0,4,66.7,61.1,75.9,60.0,41.7,72.7,0,0,0,9,10.0,1,1,0,56.3,3,0,37,0,54,82,5,0,0,5,0,35,77,1,27,5,3,7,6,0,0,9,4,3.0
Nick Williams,8006,DI,DET,1,0,0,,0,0,11,,50.2,77.2,52.5,52.9,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,36,36,5,30,0,1,0,0,17,19,0,0,0,0,0,0,0,0,
A.J. Bouye,8110,CB,CAR,1,0,0,50.0,0,0,5,74.6,74.5,73.2,,60.0,71.6,0,0,0,4,0.0,0,0,0,56.3,1,0,2,3,14,16,1,0,0,1,0,0,15,0,2,10,1,1,2,0,0,4,0,4.0
Lerentee McCray,8159,ED,JAX,1,1,0,,0,0,15,62.3,68.4,72.4,59.1,66.0,70.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,3,11,11,0,0,11,0,0,0,1,7,0,0,0,0,0,0,0,0,
Benson Mayowa,8196,ED,SEA,1,1,0,100.0,0,0,29,32.0,43.9,78.4,50.7,61.3,26.7,0,2,0,13,40.0,2,0,0,116.7,2,0,0,0,6,38,37,0,0,37,0,0,1,17,15,1,2,2,2,2,0,24,32,12.0
Rashaan Melvin,8334,CB,CAR,1,0,0,,0,0,5,66.5,60.2,75.2,,48.9,75.1,0,0,0,,0.0,0,0,0,0.0,0,0,6,24,13,36,3,0,0,3,0,0,33,0,23,3,1,1,0,0,0,0,0,
Brandon Copeland,8378,ED,ATL,1,1,0,,0,0,2,,54.9,76.0,50.1,61.9,43.3,0,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,24,24,0,0,24,0,0,0,13,11,0,2,2,0,0,0,0,0,
