player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,4,4,3.82,44.75,51.25,3.0,0,0,1,0,1,39.2,1,56,0,0,50.0,6,2,4,15.26,179,1,205
Dustin Colquitt,2316,P,ATL,1,2,2,3.99,28.0,28.0,,0,0,0,1,2,58.8,1,32,1,0,0.0,0,0,2,7.97,56,0,56
Sam Koch,3148,P,BLT,1,4,4,4.19,42.0,49.5,10.0,0,0,0,1,3,59.6,2,53,0,0,75.0,30,3,4,16.74,168,0,198
Kevin Huber,5066,P,CIN,1,5,5,4.14,33.0,38.8,4.5,0,0,1,0,7,51.4,2,46,1,0,40.0,9,2,5,20.69,165,1,194
Thomas Morstead,5088,P,NYJ,1,4,4,4.19,46.5,51.25,9.5,0,0,1,1,22,64.5,2,59,0,0,50.0,19,2,4,16.76,186,0,205
Bryan Anger,7072,P,DAL,1,1,1,4.83,54.0,61.0,7.0,0,0,0,0,9,60.0,1,61,0,0,100.0,7,1,1,4.83,54,0,61
Johnny Hekker,7252,P,LA,1,5,5,4.14,43.8,46.4,13.0,0,0,1,1,26,64.2,4,54,2,0,20.0,13,1,5,20.71,219,0,232
Sam Martin,7947,P,DEN,1,4,4,4.34,44.0,44.0,0.0,0,0,0,3,10,66.3,4,52,0,0,25.0,0,1,4,17.35,176,0,176
Tress Way,8358,P,WAS,1,3,3,4.39,41.67,51.33,9.7,0,0,0,0,32,62.1,0,56,0,0,100.0,29,3,3,13.17,125,0,154
Pat O'Donnell,8826,P,CHI,1,5,5,4.39,45.0,46.8,9.0,0,0,0,4,6,62.6,2,53,0,0,20.0,9,1,5,21.94,225,0,234
Michael Palardy,9277,P,MIA,1,4,4,3.98,38.5,38.5,0.0,0,0,2,1,17,49.0,1,44,0,0,25.0,0,1,4,15.9,154,0,154
Bradley Pinion,9598,P,TB,1,1,1,4.1,41.0,41.0,,0,0,0,1,30,60.0,1,41,0,0,0.0,0,0,1,4.1,41,0,41
Ty Long,9728,K,LAC,1,3,3,4.14,47.33,53.0,8.5,0,0,1,0,27,58.7,1,63,0,0,66.7,17,2,3,12.42,142,0,159
Jordan Berry,10236,P,MIN,1,3,3,4.59,45.33,50.0,7.0,0,0,0,1,18,62.9,1,54,0,0,66.7,14,2,3,13.76,136,0,150
Riley Dixon,10862,P,NYG,1,2,2,3.53,36.5,45.0,17.0,0,0,1,0,21,59.4,0,50,0,0,50.0,17,1,2,7.05,73,0,90
Zane Gonzalez,11979,K,CAR,1,1,1,3.37,20.0,40.0,,0,0,0,0,5,60.0,0,40,0,0,0.0,0,0,1,3.37,20,1,40
Rigoberto Sanchez,12130,P,IND,1,2,2,4.26,45.0,45.0,0.0,0,0,0,1,14,60.9,1,52,0,0,50.0,0,1,2,8.51,90,0,90
Matt Haack,12212,P,BUF,1,4,4,4.46,35.0,40.0,,0,0,1,1,4,60.9,1,48,1,0,0.0,0,0,4,17.83,140,1,160
Cameron Johnston,12255,P,HST,1,3,3,3.23,28.67,33.0,13.0,0,0,0,1,13,50.6,1,54,1,0,33.3,13,1,3,9.68,86,0,99
Johnny Townsend,22261,P,TEN,1,4,4,3.98,37.5,42.5,,0,0,0,3,31,54.7,1,45,0,0,0.0,0,0,4,15.92,150,1,170
Corey Bojorquez,27626,P,GB,1,2,2,4.3,32.5,33.5,2.0,0,0,0,0,12,59.7,1,36,1,0,50.0,2,1,2,8.59,65,0,67
Logan Cooke,29214,P,JAX,1,2,2,3.67,40.0,40.0,,0,0,0,2,15,58.8,0,42,0,0,0.0,0,0,2,7.33,80,0,80
Tommy Townsend,33007,P,KC,1,2,2,4.21,40.5,44.0,7.0,0,0,0,0,16,59.4,1,46,1,0,50.0,7,1,2,8.41,81,0,88
Joseph Charlton,33672,P,CAR,1,5,5,4.73,33.4,37.8,22.0,1,0,0,4,5,65.0,3,44,0,0,20.0,22,1,6,23.65,167,0,189
Jake Bailey,33963,P,NE,1,1,1,4.83,47.0,58.0,11.0,0,0,0,0,19,60.0,0,58,0,0,100.0,11,1,1,4.83,47,0,58
Jack Fox,34735,P,DET,1,4,4,4.45,45.5,51.0,2.0,0,0,1,1,11,63.7,2,67,0,0,25.0,2,1,4,17.8,182,1,204
Michael Dickson,35381,P,SEA,1,4,4,3.91,47.75,50.5,11.0,0,0,2,1,29,63.0,4,68,0,0,25.0,11,1,4,15.62,191,0,202
A.J. Cole III,36038,P,LV,1,4,4,4.26,46.5,56.0,19.0,0,0,0,1,23,62.9,3,70,1,0,50.0,38,2,4,17.03,186,0,224
Mitch Wishnowsky,44663,P,SF,1,2,2,4.5,42.5,48.5,12.0,0,0,0,1,28,61.2,1,58,0,0,50.0,12,1,2,9.0,85,0,97
Blake Gillikin,45045,P,NO,1,5,5,4.51,51.6,53.6,10.0,0,0,1,0,20,73.9,3,60,3,0,20.0,10,1,5,22.55,258,0,268
Pressley Harvin III,62973,P,PIT,1,2,2,4.78,46.5,59.5,13.0,0,0,0,0,25,60.9,0,63,0,0,100.0,26,2,2,9.56,93,0,119
Jamie Gillan,63303,P,CLV,1,3,3,4.06,34.0,44.67,12.0,0,0,0,1,8,58.7,0,53,0,0,33.3,12,1,3,12.18,102,1,134
Arryn Siposs,82019,P,PHI,1,6,6,4.17,39.5,46.0,13.0,0,0,0,1,24,65.3,1,64,2,0,50.0,39,3,6,25.02,237,0,276
