player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,3,3,3.58,35.33,40.33,7.5,0,0,0,0,1,55.2,1,47,1,0,66.7,15,2,3,10.73,106,0,121
Dustin Colquitt,2316,P,CLV,1,8,8,4.01,34.75,42.75,8.8,0,0,1,0,8,53.1,2,55,1,0,62.5,44,5,8,32.11,278,1,342
Sam Koch,3148,P,BLT,1,3,3,4.18,40.33,46.33,18.0,0,0,1,1,3,64.3,2,61,0,0,33.3,18,1,3,12.55,121,0,139
Brett Kern,4580,P,TEN,1,4,4,3.99,40.5,44.25,7.5,0,0,2,0,31,54.1,3,52,0,0,50.0,15,2,4,15.96,162,0,177
Kevin Huber,5066,P,CIN,1,3,3,3.98,28.67,39.33,16.0,0,0,0,0,7,61.7,0,51,1,0,66.7,32,2,3,11.94,86,0,118
Thomas Morstead,5088,P,ATL,1,4,4,3.69,32.5,39.75,4.5,0,0,0,0,2,56.5,1,48,1,0,50.0,9,2,4,14.77,130,1,159
Bryan Anger,7072,P,DAL,1,4,4,4.73,50.0,48.75,-5.0,0,0,1,2,9,69.5,2,57,0,0,25.0,-5,1,4,18.91,200,0,195
Johnny Hekker,7252,P,LA,1,2,2,4.41,46.0,46.0,,0,0,0,2,26,59.7,2,53,0,0,0.0,0,0,2,8.82,92,0,92
Sam Martin,7947,P,DEN,1,3,3,4.53,44.0,45.67,2.5,0,0,0,1,10,63.0,1,56,0,0,66.7,5,2,3,13.58,132,0,137
Pat O'Donnell,8826,P,CHI,1,5,5,3.59,38.0,45.4,8.5,0,0,1,0,6,62.8,1,56,1,0,40.0,17,2,5,17.94,190,1,227
Michael Palardy,9277,P,MIA,1,4,4,4.05,29.75,36.75,9.3,0,0,0,1,17,55.4,1,42,0,0,75.0,28,3,4,16.21,119,0,147
Ty Long,9728,K,LAC,1,3,3,3.92,37.0,38.33,2.0,0,0,0,0,27,50.6,2,48,1,0,66.7,4,2,3,11.75,111,0,115
Jordan Berry,10236,P,MIN,1,6,6,4.04,43.83,49.33,11.0,0,0,1,1,18,61.2,1,64,1,0,50.0,33,3,6,24.21,263,0,296
Riley Dixon,10862,P,NYG,1,4,4,3.53,38.75,39.0,1.0,0,0,3,0,21,49.1,1,46,0,0,25.0,1,1,4,14.13,155,0,156
Lachlan Edwards,10869,P,CAR,1,5,5,3.64,45.4,47.0,2.0,0,0,0,1,5,58.1,2,62,0,0,80.0,8,4,5,18.19,227,0,235
Rigoberto Sanchez,12130,P,IND,1,5,5,4.38,31.8,44.6,21.3,0,0,1,0,14,61.5,1,55,1,0,60.0,64,3,5,21.89,159,0,223
Cameron Johnston,12255,P,HST,1,7,7,3.94,39.29,46.86,8.3,0,0,1,1,13,56.4,1,53,0,0,57.1,33,4,7,27.61,275,1,328
Corey Bojorquez,27626,P,GB,1,2,2,3.65,21.5,31.5,,0,0,0,0,12,57.5,0,39,1,0,0.0,0,0,2,7.29,43,1,63
Ryan Winslow,30026,P,WAS,1,2,2,4.37,38.5,42.0,7.0,0,0,0,1,32,60.2,0,46,0,0,50.0,7,1,2,8.74,77,0,84
Tommy Townsend,33007,P,KC,1,3,3,4.08,35.0,36.0,3.0,0,0,0,2,16,59.3,1,42,0,0,33.3,3,1,3,12.24,105,0,108
Sterling Hofrichter,33541,P,TB,1,3,3,4.7,34.67,34.67,,0,0,0,3,30,61.6,2,39,0,0,0.0,0,0,3,14.11,104,0,104
Jake Bailey,33963,P,NE,1,1,1,4.31,37.0,40.0,3.0,0,0,0,0,19,60.0,1,40,0,0,100.0,3,1,1,4.31,37,0,40
Jack Fox,34735,P,DET,1,3,3,3.76,42.33,44.0,2.5,0,0,0,0,11,57.4,1,57,1,0,66.7,5,2,3,11.29,127,0,132
Michael Dickson,35381,P,SEA,1,1,1,4.76,45.0,45.0,,0,0,0,1,29,60.0,0,45,0,0,0.0,0,0,1,4.76,45,0,45
A.J. Cole III,36038,P,LV,1,2,2,4.27,42.0,52.0,,0,0,0,0,23,60.5,1,60,1,0,0.0,0,0,2,8.53,84,1,104
J.K. Scott,38809,P,JAX,1,4,4,4.74,39.75,39.75,,0,0,0,4,15,56.5,1,47,0,0,0.0,0,0,4,18.97,159,0,159
Corliss Waitman,39620,P,PIT,1,5,5,4.03,43.0,48.8,7.3,0,0,1,0,25,55.7,1,53,0,0,80.0,29,4,5,20.16,215,0,244
Mitch Wishnowsky,44663,P,SF,1,4,4,4.15,34.0,39.75,11.5,0,0,0,1,28,58.1,2,52,1,0,50.0,23,2,4,16.59,136,0,159
Braden Mann,44664,P,NYJ,1,4,4,4.24,37.75,38.5,3.0,0,0,0,1,22,61.3,2,46,2,0,25.0,3,1,4,16.96,151,0,154
Blake Gillikin,45045,P,NO,1,5,5,4.12,39.0,43.0,,0,0,1,2,20,60.0,3,63,1,0,0.0,0,0,5,20.6,195,1,215
Arryn Siposs,82019,P,PHI,1,2,2,4.34,37.0,37.0,,0,0,1,1,24,61.3,2,39,0,0,0.0,0,0,2,8.67,74,0,74
