player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,3,3,4.52,44.67,51.33,10.0,0,0,0,1,1,57.4,0,57,0,0,66.7,20,2,3,13.55,134,0,154
Dustin Colquitt,2316,P,CLV,1,4,4,4.13,34.75,37.5,11.0,0,0,1,1,8,55.7,1,56,1,0,25.0,11,1,4,16.5,139,0,150
Robbie Gould,2607,K,SF,1,2,2,4.03,45.0,45.0,,0,0,1,1,28,58.6,1,47,0,0,0.0,0,0,2,8.05,90,0,90
Sam Koch,3148,P,BLT,1,7,7,4.28,34.14,38.29,14.5,0,0,2,2,3,55.4,3,50,1,0,28.6,29,2,7,29.95,239,0,268
Brett Kern,4580,P,TEN,1,4,4,4.19,43.25,49.25,8.0,0,0,0,1,31,59.9,1,53,0,0,75.0,24,3,4,16.75,173,0,197
Kevin Huber,5066,P,CIN,1,7,7,4.26,38.71,44.43,5.0,0,0,0,1,7,57.6,1,57,1,0,57.1,20,4,7,29.8,271,1,311
Thomas Morstead,5088,P,ATL,1,2,2,4.42,46.5,46.5,,0,0,0,2,2,59.7,1,48,0,0,0.0,0,0,2,8.83,93,0,93
Bryan Anger,7072,P,DAL,1,1,1,3.92,44.0,44.0,0.0,0,0,0,0,9,60.0,0,44,0,0,100.0,0,1,1,3.92,44,0,44
Johnny Hekker,7252,P,LA,1,4,4,4.12,46.0,49.5,14.0,0,0,1,2,26,57.2,2,59,0,0,25.0,14,1,4,16.49,184,0,198
Sam Martin,7947,P,DEN,1,3,3,4.11,46.67,48.33,5.0,0,0,0,1,10,57.2,2,65,1,0,33.3,5,1,3,12.32,140,0,145
Tress Way,8358,P,WAS,1,6,6,4.3,28.17,40.83,16.0,0,0,1,1,32,58.6,2,56,0,0,16.7,16,1,6,25.79,169,3,245
