player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,3,3,4.38,36.0,44.0,12.0,0,0,1,0,1,63.0,1,49,0,0,66.7,24,2,3,13.13,108,0,132
Dustin Colquitt,2316,P,CLV,1,7,7,3.87,40.29,44.71,7.8,0,0,0,1,8,57.3,2,51,2,0,57.1,31,4,7,27.11,282,0,313
Sam Koch,3148,P,BLT,1,1,1,4.3,42.0,42.0,,0,0,0,1,3,60.0,0,42,0,0,0.0,0,0,1,4.3,42,0,42
Brett Kern,4580,P,TEN,1,3,3,3.99,34.67,47.67,13.0,0,0,0,0,31,62.9,0,54,0,0,100.0,39,3,3,11.96,104,0,143
Kevin Huber,5066,P,CIN,1,7,7,4.2,50.0,52.57,9.0,0,0,1,1,7,72.6,4,61,3,0,28.6,18,2,7,29.41,350,0,368
Thomas Morstead,5088,P,ATL,1,2,2,4.43,45.5,49.5,4.0,0,0,0,0,2,60.6,1,53,0,0,100.0,8,2,2,8.85,91,0,99
Bryan Anger,7072,P,DAL,1,4,4,4.6,40.0,40.0,,0,0,0,4,9,69.5,4,50,0,0,0.0,0,0,4,18.39,160,0,160
Johnny Hekker,7252,P,LA,1,3,3,4.36,38.67,43.33,7.0,0,0,0,1,26,64.5,1,51,0,0,66.7,14,2,3,13.09,116,0,130
Sam Martin,7947,P,DEN,1,6,6,4.04,44.5,51.5,7.3,0,0,0,1,10,64.2,2,63,1,0,50.0,22,3,6,24.22,267,1,309
Tress Way,8358,P,WAS,1,5,5,4.38,43.6,48.0,7.3,0,0,0,2,32,59.9,1,60,0,0,60.0,22,3,5,21.88,218,0,240
Pat O'Donnell,8826,P,CHI,1,3,3,3.75,48.33,53.67,5.3,0,0,0,0,6,58.0,1,72,0,0,100.0,16,3,3,11.25,145,0,161
Michael Palardy,9277,P,MIA,1,3,3,4.45,45.33,53.0,11.5,0,0,0,1,17,65.7,1,56,0,0,66.7,23,2,3,13.36,136,0,159
Bradley Pinion,9598,P,TB,1,8,8,4.45,37.25,42.0,12.7,0,0,1,3,30,58.8,3,53,1,0,37.5,38,3,8,35.58,298,0,336
Ty Long,9728,K,LAC,1,1,1,4.21,33.0,41.0,8.0,0,0,0,0,27,60.0,0,41,0,0,100.0,8,1,1,4.21,33,0,41
Jordan Berry,10236,P,MIN,1,7,7,3.29,38.57,42.14,1.7,0,0,2,0,18,50.5,2,61,1,0,42.9,5,3,7,23.06,270,1,295
Riley Dixon,10862,P,NYG,1,2,2,4.76,50.5,50.5,,0,0,0,1,21,61.6,1,51,1,0,0.0,0,0,2,9.51,101,0,101
Lachlan Edwards,10869,P,CAR,1,4,4,4.23,37.75,45.5,15.5,0,0,0,1,5,61.3,1,54,1,0,50.0,31,2,4,16.92,151,0,182
Rigoberto Sanchez,12130,P,IND,1,2,2,4.21,43.0,43.5,1.0,0,0,0,1,14,60.2,1,46,0,0,50.0,1,1,2,8.42,86,0,87
Matt Haack,12212,P,BUF,1,5,5,3.85,34.4,37.6,16.0,0,0,0,4,4,52.1,1,43,0,0,20.0,16,1,5,19.25,172,0,188
Cameron Johnston,12255,P,HST,1,4,4,4.2,36.0,48.25,16.3,0,0,1,0,13,53.8,3,55,0,0,75.0,49,3,4,16.81,144,0,193
Corey Bojorquez,27626,P,GB,1,3,3,4.31,42.0,48.67,,0,0,1,0,12,61.7,0,59,1,0,0.0,0,0,3,12.92,126,1,146
Logan Cooke,29214,P,JAX,1,5,5,4.19,41.2,47.4,10.3,0,0,1,0,15,56.7,1,54,1,0,60.0,31,3,5,20.95,206,0,237
Tommy Townsend,33007,P,KC,1,1,1,4.65,32.0,32.0,,0,0,0,0,16,60.0,0,32,1,0,0.0,0,0,1,4.65,32,0,32
Jake Bailey,33963,P,NE,1,2,2,4.6,40.0,40.0,,1,0,0,1,19,60.3,0,46,1,0,0.0,0,0,3,9.2,80,0,80
Jack Fox,34735,P,DET,1,3,3,4.32,38.33,44.33,9.0,0,0,0,1,11,58.0,1,55,0,0,66.7,18,2,3,12.97,115,0,133
Michael Dickson,35381,P,SEA,1,6,6,4.78,46.17,49.5,0.0,0,0,0,4,29,77.0,3,59,0,0,16.7,0,1,6,28.68,277,1,297
A.J. Cole III,36038,P,LV,1,4,4,4.23,39.25,44.25,20.0,0,0,1,1,23,61.3,2,49,1,0,25.0,20,1,4,16.93,157,0,177
Mitch Wishnowsky,44663,P,SF,1,4,4,4.09,38.25,49.0,23.0,0,0,0,1,28,59.7,0,60,1,0,25.0,23,1,4,16.35,153,1,196
Braden Mann,44664,P,NYJ,1,6,6,4.82,45.67,46.5,5.0,0,0,1,2,22,65.6,4,63,2,0,16.7,5,1,6,28.9,274,0,279
Blake Gillikin,45045,P,NO,1,9,9,4.05,41.22,45.78,5.9,0,0,1,1,20,51.7,4,58,0,0,77.8,41,7,9,36.45,371,0,412
Pressley Harvin III,62973,P,PIT,1,5,5,4.6,30.2,39.8,24.0,0,0,0,1,25,51.0,2,51,2,0,40.0,48,2,5,23.02,151,0,199
Arryn Siposs,82019,P,PHI,1,2,2,4.15,27.5,37.5,,0,0,0,1,24,60.6,1,41,0,0,0.0,0,0,2,8.29,55,1,75
