player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,4,4,4.38,38.25,51.75,11.3,0,0,0,0,1,54.5,1,53,0,0,75.0,34,3,4,17.52,153,1,207
Dustin Colquitt,2316,P,ATL,1,5,5,4.22,34.8,44.8,16.7,0,0,0,1,2,59.2,1,52,1,0,60.0,50,3,5,21.09,174,0,224
Sam Koch,3148,P,BLT,1,3,3,4.32,41.67,41.67,,0,0,1,0,3,63.0,1,51,2,0,0.0,0,0,3,12.97,125,0,125
Brett Kern,4580,P,TEN,1,5,5,4.08,42.0,43.4,7.0,0,0,1,2,31,57.3,3,57,1,0,20.0,7,1,5,20.38,210,0,217
Kevin Huber,5066,P,CIN,1,3,3,3.84,39.33,40.67,2.0,0,0,0,0,7,56.7,1,44,1,0,66.7,4,2,3,11.51,118,0,122
Thomas Morstead,5088,P,NYJ,1,3,3,4.38,48.67,52.0,10.0,0,0,1,1,22,65.5,1,57,0,0,33.3,10,1,3,13.14,146,0,156
Bryan Anger,7072,P,DAL,1,4,4,4.65,38.25,48.5,1.0,0,0,0,1,9,62.0,1,55,0,0,25.0,1,1,4,18.61,153,2,194
Johnny Hekker,7252,P,LA,1,4,4,4.22,42.0,49.75,11.0,0,0,1,1,26,59.6,0,57,0,0,25.0,11,1,4,16.86,168,1,199
Sam Martin,7947,P,DEN,1,3,3,2.93,31.33,31.33,0.0,0,0,0,1,10,58.7,0,51,0,0,66.7,0,2,3,8.8,94,0,94
Pat O'Donnell,8826,P,CHI,1,5,5,4.12,41.2,46.8,7.0,0,0,0,1,6,57.6,3,57,0,0,80.0,28,4,5,20.59,206,0,234
Michael Palardy,9277,P,MIA,1,5,5,4.18,41.0,41.4,2.0,0,0,1,3,17,59.0,3,50,0,0,20.0,2,1,5,20.89,205,0,207
Jordan Berry,10236,P,MIN,1,5,5,4.16,41.6,48.4,14.0,0,0,1,1,18,57.6,3,54,1,0,20.0,14,1,5,20.82,208,1,242
Riley Dixon,10862,P,NYG,1,3,3,4.21,47.0,48.67,5.0,0,0,1,1,21,61.6,3,58,0,0,33.3,5,1,3,12.62,141,0,146
Lachlan Edwards,10869,P,CAR,1,4,4,4.23,40.75,51.25,14.0,0,0,0,1,5,59.4,0,59,0,0,75.0,42,3,4,16.91,163,0,205
Rigoberto Sanchez,12130,P,IND,1,2,2,4.25,42.5,42.5,,0,0,1,1,14,60.5,1,47,0,0,0.0,0,0,2,8.5,85,0,85
Matt Haack,12212,P,BUF,1,3,3,3.87,38.0,49.33,14.0,0,0,1,0,4,55.7,0,59,0,0,33.3,14,1,3,11.61,114,1,148
Cameron Johnston,12255,P,HST,1,5,5,4.35,40.8,47.0,10.3,0,0,0,2,13,58.8,3,58,0,0,60.0,31,3,5,21.77,204,0,235
Corey Bojorquez,27626,P,GB,1,4,4,4.54,48.5,54.25,1.5,0,0,1,0,12,60.2,1,63,0,0,50.0,3,2,4,18.14,194,1,217
Logan Cooke,29214,P,JAX,1,4,4,4.33,45.0,45.0,0.0,0,0,2,1,15,57.2,2,53,0,0,25.0,0,1,4,17.31,180,0,180
Tommy Townsend,33007,P,KC,1,6,6,4.74,54.33,56.83,5.0,0,0,2,1,16,65.3,5,64,0,0,50.0,15,3,6,28.46,326,0,341
Jake Bailey,33963,P,NE,1,3,3,4.47,42.67,50.67,4.0,0,0,1,0,19,63.3,2,55,0,0,33.3,4,1,3,13.4,128,1,152
A.J. Cole III,36038,P,LV,1,2,2,4.0,37.0,50.0,13.0,0,0,0,0,23,60.6,0,58,0,0,100.0,26,2,2,7.99,74,0,100
Mitch Wishnowsky,44663,P,SF,1,4,4,4.38,40.25,40.75,2.0,0,0,0,3,28,61.3,3,57,0,0,25.0,2,1,4,17.51,161,0,163
Blake Gillikin,45045,P,NO,1,3,3,4.33,34.0,40.67,,0,0,1,1,20,55.9,1,45,0,0,0.0,0,0,3,13.0,102,1,122
Pressley Harvin III,62973,P,PIT,1,5,5,3.96,35.2,39.2,,0,0,1,1,25,60.6,2,46,2,0,0.0,0,0,5,19.79,176,1,196
Jamie Gillan,63303,P,CLV,1,3,3,4.32,32.0,39.33,11.0,0,0,0,1,8,60.0,1,48,0,0,66.7,22,2,3,12.95,96,0,118
Arryn Siposs,82019,P,PHI,1,3,3,3.95,40.0,43.33,10.0,0,0,2,0,24,55.2,1,44,0,0,33.3,10,1,3,11.85,120,0,130
