player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,2,2,3.95,36.0,50.5,14.5,0,0,0,0,1,60.1,0,57,0,0,100.0,29,2,2,7.9,72,0,101
Sam Koch,3148,P,BLT,1,2,2,4.03,43.0,43.0,,0,0,1,0,3,59.8,1,53,1,0,0.0,0,0,2,8.05,86,0,86
Kevin Huber,5066,P,CIN,1,3,3,4.64,46.0,54.33,8.3,0,0,0,0,7,64.3,1,58,0,0,100.0,25,3,3,13.92,138,0,163
Bryan Anger,7072,P,DAL,1,1,1,4.67,28.0,51.0,23.0,0,0,0,0,9,60.0,0,51,0,0,100.0,23,1,1,4.67,28,0,51
Johnny Hekker,7252,P,LA,1,4,4,4.45,40.0,40.0,,0,0,0,3,26,64.1,4,52,1,0,0.0,0,0,4,17.8,160,0,160
Sam Martin,7947,P,DEN,1,4,4,4.04,39.75,41.0,5.0,0,0,0,2,10,49.3,2,47,1,0,25.0,5,1,4,16.17,159,0,164
Tress Way,8358,P,WAS,1,4,4,4.27,44.0,58.0,28.0,0,0,0,1,32,67.9,2,66,1,1,50.0,56,2,4,17.07,176,0,232
Pat O'Donnell,8826,P,CHI,1,4,4,4.56,36.25,40.25,8.0,0,0,1,1,6,67.9,3,48,0,0,50.0,16,2,4,18.23,145,0,161
Michael Palardy,9277,P,MIA,1,4,4,4.01,34.5,39.5,,0,0,0,3,17,58.1,2,59,0,0,0.0,0,0,4,16.03,138,1,158
Bradley Pinion,9598,P,TB,1,3,3,4.38,42.33,42.33,0.0,0,0,0,2,30,60.0,2,44,0,0,33.3,0,1,3,13.15,127,0,127
Ty Long,9728,K,LAC,1,5,5,4.4,39.6,52.4,14.7,0,0,0,1,27,69.3,1,69,0,0,60.0,44,3,5,21.99,198,1,262
Jordan Berry,10236,P,MIN,1,4,4,4.05,45.75,47.0,2.5,1,0,1,1,18,57.6,2,54,0,0,50.0,5,2,5,16.2,183,0,188
Riley Dixon,10862,P,NYG,1,4,4,4.38,43.5,52.5,12.0,0,0,0,0,21,56.5,0,63,1,0,75.0,36,3,4,17.53,174,0,210
Rigoberto Sanchez,12130,P,IND,1,5,5,4.13,42.8,43.4,3.0,0,0,1,0,14,55.7,2,50,3,0,20.0,3,1,5,20.66,214,0,217
Matt Haack,12212,P,BUF,1,2,2,4.45,46.5,46.5,0.0,0,0,0,1,4,60.5,0,53,0,0,50.0,0,1,2,8.9,93,0,93
Cameron Johnston,12255,P,HST,1,5,5,4.05,40.8,42.4,4.0,0,0,1,1,13,62.3,4,55,1,0,40.0,8,2,5,20.25,204,0,212
Johnny Townsend,22261,P,TEN,1,2,2,4.12,50.5,53.5,3.0,0,0,0,0,31,59.9,0,63,0,0,100.0,6,2,2,8.24,101,0,107
Corey Bojorquez,27626,P,GB,1,3,3,4.48,45.67,56.0,5.5,0,0,0,0,12,65.7,1,82,0,0,66.7,11,2,3,13.45,137,1,168
Logan Cooke,29214,P,JAX,1,4,4,3.97,38.0,38.0,,0,0,1,2,15,53.8,1,45,1,0,0.0,0,0,4,15.89,152,0,152
Ryan Winslow,30026,P,CAR,1,6,6,4.2,39.5,40.67,2.3,0,0,1,2,5,53.3,3,44,0,0,50.0,7,3,6,25.17,237,0,244
Tommy Townsend,33007,P,KC,1,2,2,3.73,26.5,26.5,,0,0,0,1,16,57.5,1,34,1,0,0.0,0,0,2,7.45,53,0,53
Jake Bailey,33963,P,NE,1,4,4,4.05,40.5,40.25,-0.5,1,0,0,2,19,59.2,3,44,0,0,50.0,-1,2,5,16.21,162,0,161
Jack Fox,34735,P,DET,1,6,6,4.45,47.83,55.5,8.7,0,0,1,1,11,66.8,1,64,0,0,50.0,26,3,6,26.71,287,1,333
Michael Dickson,35381,P,SEA,1,8,8,4.23,36.88,45.5,7.3,0,0,1,0,29,59.8,2,65,1,0,50.0,29,4,8,33.86,295,2,364
A.J. Cole III,36038,P,LV,1,4,4,4.67,47.0,57.0,,0,0,0,2,23,66.2,2,71,0,0,0.0,0,0,4,18.67,188,2,228
Pressley Harvin III,62973,P,PIT,1,7,7,4.12,42.14,47.86,6.7,0,0,0,1,25,63.5,4,58,2,0,42.9,20,3,7,28.81,295,1,335
Jamie Gillan,63303,P,CLV,1,2,2,4.2,49.0,53.0,4.0,0,0,0,0,8,59.7,0,54,0,0,100.0,8,2,2,8.39,98,0,106
Arryn Siposs,82019,P,PHI,1,5,5,4.21,39.8,44.0,7.0,0,0,0,1,24,63.1,0,55,1,0,60.0,21,3,5,21.07,199,0,220
