player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,5,5,4.01,44.6,50.6,10.0,0,0,1,1,1,53.8,0,59,1,0,20.0,10,1,5,20.06,223,1,253
Sam Koch,3148,P,BLT,1,3,3,4.57,42.0,45.67,11.0,0,0,0,2,3,67.1,2,54,0,0,33.3,11,1,3,13.71,126,0,137
Brett Kern,4580,P,TEN,1,1,1,4.44,42.0,42.0,,0,0,0,0,31,60.5,0,42,1,0,0.0,0,0,1,4.44,42,0,42
Kevin Huber,5066,P,CIN,1,5,5,4.24,45.4,48.2,14.0,0,0,2,2,7,56.4,4,54,0,0,20.0,14,1,5,21.19,227,0,241
Thomas Morstead,5088,P,NYJ,1,6,6,4.5,44.0,46.67,8.0,0,0,0,3,22,73.8,2,51,1,0,33.3,16,2,6,26.98,264,0,280
Bryan Anger,7072,P,DAL,1,4,4,4.43,51.0,50.5,-0.7,0,0,0,1,9,67.7,2,57,0,0,75.0,-2,3,4,17.73,204,0,202
Johnny Hekker,7252,P,LA,1,3,3,3.9,38.33,39.67,4.0,0,0,0,1,26,58.7,3,51,1,0,33.3,4,1,3,11.71,115,0,119
Sam Martin,7947,P,DEN,1,3,3,2.94,40.67,40.67,,0,0,2,0,10,64.1,1,53,1,0,0.0,0,0,3,8.82,122,0,122
Tress Way,8358,P,WAS,1,5,5,4.24,37.8,47.0,8.7,0,0,0,1,32,54.7,1,55,0,0,60.0,26,3,5,21.22,189,1,235
Pat O'Donnell,8826,P,CHI,1,7,7,4.4,42.0,56.71,14.7,0,0,0,0,6,64.4,0,63,0,0,100.0,103,7,7,30.77,294,0,397
Michael Palardy,9277,P,MIA,1,4,4,4.39,36.5,38.75,4.5,0,0,1,1,17,63.0,3,50,0,0,50.0,9,2,4,17.55,146,0,155
Bradley Pinion,9598,P,TB,1,4,4,4.06,34.0,36.25,9.0,0,0,0,2,30,55.4,1,53,1,0,25.0,9,1,4,16.23,136,0,145
Ty Long,9728,K,LAC,1,4,4,3.85,41.25,43.0,3.5,0,0,0,1,27,55.4,2,55,1,0,50.0,7,2,4,15.4,165,0,172
Jordan Berry,10236,P,MIN,1,2,2,4.16,47.0,47.0,,0,0,0,1,18,59.2,1,49,1,0,0.0,0,0,2,8.31,94,0,94
Riley Dixon,10862,P,NYG,1,5,5,4.45,37.0,45.8,8.0,0,0,1,0,21,55.0,2,55,0,0,60.0,24,3,5,22.26,185,1,229
Rigoberto Sanchez,12130,P,IND,1,4,4,4.42,38.25,49.25,14.7,0,0,0,1,14,66.0,1,56,0,0,75.0,44,3,4,17.69,153,0,197
Matt Haack,12212,P,BUF,1,2,2,4.53,48.5,48.5,,0,0,1,1,4,60.5,2,60,0,0,0.0,0,0,2,9.06,97,0,97
Cameron Johnston,12255,P,HST,1,6,6,4.22,41.67,44.5,8.5,0,0,1,3,13,56.9,3,53,0,0,33.3,17,2,6,25.29,250,0,267
Corey Bojorquez,27626,P,GB,1,3,3,4.74,47.0,54.67,11.5,0,0,0,0,12,69.4,1,63,1,0,66.7,23,2,3,14.21,141,0,164
Logan Cooke,29214,P,JAX,1,6,6,4.55,43.67,48.17,13.5,0,0,1,2,15,66.4,3,56,1,0,33.3,27,2,6,27.32,262,0,289
Tommy Townsend,33007,P,KC,1,1,1,3.61,51.0,51.0,0.0,0,0,0,0,16,60.0,0,51,0,0,100.0,0,1,1,3.61,51,0,51
Joseph Charlton,33672,P,CAR,1,3,3,4.05,38.33,37.0,-4.0,0,0,0,1,5,53.6,0,42,1,0,33.3,-4,1,3,12.15,115,0,111
Jake Bailey,33963,P,NE,1,5,5,4.34,43.6,56.6,25.0,1,0,0,0,19,60.4,1,68,2,0,20.0,25,1,6,21.71,218,2,283
Jack Fox,34735,P,DET,1,6,6,4.28,38.5,45.5,21.0,0,0,1,2,11,58.4,2,59,1,0,33.3,42,2,6,25.66,231,0,273
Michael Dickson,35381,P,SEA,1,2,2,3.95,44.5,44.0,-0.5,0,0,0,0,29,59.5,1,45,0,0,100.0,-1,2,2,7.9,89,0,88
A.J. Cole III,36038,P,LV,1,4,4,4.61,47.25,54.0,9.0,0,0,1,0,23,69.5,2,67,0,0,75.0,27,3,4,18.44,189,0,216
Mitch Wishnowsky,44663,P,SF,1,4,4,4.48,46.75,53.25,6.0,0,0,1,1,28,58.6,3,59,0,0,25.0,6,1,4,17.93,187,1,213
Blake Gillikin,45045,P,NO,1,5,5,4.08,39.8,49.8,10.0,0,0,0,1,20,60.9,0,56,0,0,60.0,30,3,5,20.41,199,1,249
Cameron Nizialek,60273,P,ATL,1,6,6,4.18,38.0,47.33,18.0,0,0,1,2,2,60.2,3,58,0,0,33.3,36,2,6,25.09,228,1,284
Pressley Harvin III,62973,P,PIT,1,4,4,3.97,38.25,40.5,4.5,0,0,0,2,25,54.7,1,50,0,0,50.0,9,2,4,15.86,153,0,162
Jamie Gillan,63303,P,CLV,1,2,2,4.35,39.0,41.0,2.0,0,0,0,0,8,59.7,1,48,0,0,100.0,4,2,2,8.7,78,0,82
Arryn Siposs,82019,P,PHI,1,6,6,4.27,40.83,43.0,6.5,0,0,2,2,24,53.2,2,51,0,0,33.3,13,2,6,25.59,245,0,258
