player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,1,1,4.07,52.0,52.0,,0,0,0,1,1,60.0,0,52,0,0,0.0,0,0,1,4.07,52,0,52
Dustin Colquitt,2316,P,CLV,1,5,5,4.25,35.2,39.2,,0,0,1,1,8,68.5,2,43,2,0,0.0,0,0,5,21.25,176,1,196
Sam Koch,3148,P,BLT,1,5,5,4.29,42.6,45.6,3.0,0,0,0,0,3,59.2,1,60,0,0,100.0,15,5,5,21.43,213,0,228
Brett Kern,4580,P,TEN,1,5,5,4.12,38.4,38.4,,0,0,1,4,31,54.8,2,46,0,0,0.0,0,0,5,20.6,192,0,192
Kevin Huber,5066,P,CIN,1,4,4,4.17,37.25,43.25,2.0,0,0,0,1,7,55.4,1,50,0,0,50.0,4,2,4,16.66,149,1,173
Thomas Morstead,5088,P,ATL,1,2,2,4.12,55.0,55.0,,0,0,1,1,2,59.7,2,64,0,0,0.0,0,0,2,8.24,110,0,110
Bryan Anger,7072,P,DAL,1,6,6,4.27,41.33,44.67,,0,0,2,1,9,52.6,2,59,2,0,0.0,0,0,6,25.62,248,1,268
Johnny Hekker,7252,P,LA,1,3,3,4.34,40.0,40.0,,0,0,1,2,26,57.2,1,42,0,0,0.0,0,0,3,13.01,120,0,120
Sam Martin,7947,P,DEN,1,3,3,4.37,44.67,43.33,-4.0,0,0,0,2,10,60.3,1,47,0,0,33.3,-4,1,3,13.11,134,0,130
Tress Way,8358,P,WAS,1,7,7,4.28,47.29,50.86,1.7,0,0,2,0,32,63.0,3,59,1,0,42.9,5,3,7,29.98,331,1,356
Pat O'Donnell,8826,P,CHI,1,4,4,4.09,34.25,46.25,14.0,0,0,0,1,6,51.1,0,54,0,0,50.0,28,2,4,16.34,137,1,185
Bradley Pinion,9598,P,TB,1,5,5,4.5,37.4,39.2,4.5,0,0,2,0,30,56.6,2,55,1,0,40.0,9,2,5,22.51,187,0,196
Ty Long,9728,K,LAC,1,3,3,3.81,26.0,26.0,0.0,0,0,0,0,27,43.7,1,38,2,0,33.3,0,1,3,11.44,78,0,78
Jordan Berry,10236,P,MIN,1,3,3,4.17,46.0,48.67,8.0,0,0,1,1,18,60.1,1,51,0,0,33.3,8,1,3,12.52,138,0,146
Riley Dixon,10862,P,NYG,1,5,5,4.52,41.6,45.6,,0,0,2,2,21,65.9,1,63,0,0,0.0,0,0,5,22.61,208,1,228
Lachlan Edwards,10869,P,CAR,1,2,2,3.64,43.5,43.5,,0,0,1,1,5,59.5,1,54,0,0,0.0,0,0,2,7.27,87,0,87
Matt Haack,12212,P,BUF,1,6,6,4.24,46.0,47.67,10.0,0,0,1,1,4,65.0,4,63,3,0,16.7,10,1,6,25.43,276,0,286
Cameron Johnston,12255,P,HST,1,5,5,3.97,35.6,45.8,15.5,0,0,1,1,13,59.5,2,58,0,0,40.0,31,2,5,19.86,178,1,229
Corey Bojorquez,27626,P,GB,1,4,4,4.19,10.0,42.75,43.7,0,0,0,0,12,53.8,1,57,1,0,75.0,131,3,4,16.74,40,0,171
Logan Cooke,29214,P,JAX,1,5,5,3.91,42.4,45.0,4.3,0,0,0,1,15,54.7,3,54,1,0,60.0,13,3,5,19.53,212,0,225
Tommy Townsend,33007,P,KC,1,1,1,4.77,46.0,52.0,6.0,0,0,0,0,16,60.0,1,52,0,0,100.0,6,1,1,4.77,46,0,52
Jack Fox,34735,P,DET,1,2,2,4.25,46.5,53.0,6.5,0,0,0,0,11,60.6,0,54,0,0,100.0,13,2,2,8.49,93,0,106
Michael Dickson,35381,P,SEA,1,4,4,4.34,41.75,42.25,2.0,0,0,1,1,29,56.1,2,48,1,0,25.0,2,1,4,17.35,167,0,169
A.J. Cole III,36038,P,LV,1,3,3,4.2,39.67,50.0,11.0,0,0,0,0,23,61.3,1,60,1,0,33.3,11,1,3,12.61,119,1,150
Mitch Wishnowsky,44663,P,SF,1,7,7,4.05,38.57,41.57,4.2,0,0,0,1,28,49.8,1,50,1,0,71.4,21,5,7,28.37,270,0,291
Braden Mann,44664,P,NYJ,1,6,6,4.38,43.17,52.17,13.5,0,0,0,1,22,68.3,1,60,1,0,66.7,54,4,6,26.26,259,0,313
Blake Gillikin,45045,P,NO,1,5,5,4.34,42.8,51.6,14.7,0,0,1,1,20,65.8,2,62,0,0,60.0,44,3,5,21.7,214,0,258
Pressley Harvin III,62973,P,PIT,1,6,6,4.28,37.83,43.0,10.3,0,0,0,1,25,59.1,1,49,2,0,50.0,31,3,6,25.69,227,0,258
