player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,3,3,4.54,51.33,55.33,6.0,0,0,0,1,1,61.6,1,62,0,0,66.7,12,2,3,13.63,154,0,166
Dustin Colquitt,2316,P,ATL,1,4,4,4.18,47.5,47.5,,0,0,0,3,2,59.9,2,55,1,0,0.0,0,0,4,16.71,190,0,190
Brett Kern,4580,P,TEN,1,4,4,4.19,40.25,47.0,13.5,0,0,0,1,31,64.7,2,52,1,0,50.0,27,2,4,16.75,161,0,188
Kevin Huber,5066,P,CIN,1,4,4,4.15,42.25,46.25,16.0,0,0,1,2,7,58.8,3,55,0,0,25.0,16,1,4,16.61,169,0,185
Thomas Morstead,5088,P,NYJ,1,1,1,4.08,45.0,45.0,,0,0,0,1,22,60.0,0,45,0,0,0.0,0,0,1,4.08,45,0,45
Bryan Anger,7072,P,DAL,1,4,4,4.49,43.5,45.25,7.0,0,0,1,2,9,56.2,1,54,0,0,25.0,7,1,4,17.97,174,0,181
Johnny Hekker,7252,P,LA,1,4,4,4.61,44.25,44.5,1.0,0,0,1,2,26,66.2,1,49,0,0,25.0,1,1,4,18.45,177,0,178
Sam Martin,7947,P,DEN,1,3,3,4.4,41.0,45.0,12.0,0,0,0,2,10,65.4,3,48,0,0,33.3,12,1,3,13.21,123,0,135
Tress Way,8358,P,WAS,1,1,1,4.29,51.0,66.0,15.0,0,0,0,0,32,60.0,0,66,0,0,100.0,15,1,1,4.29,51,0,66
Pat O'Donnell,8826,P,CHI,1,2,2,3.75,28.5,42.5,14.0,0,0,0,0,6,58.8,0,44,0,0,100.0,28,2,2,7.49,57,0,85
Michael Palardy,9277,P,MIA,1,5,5,4.03,38.8,51.8,12.5,0,0,0,0,17,56.6,0,59,1,0,40.0,25,2,5,20.16,194,2,259
Bradley Pinion,9598,P,TB,1,3,3,4.38,38.0,42.0,12.0,0,0,0,2,30,64.4,2,54,0,0,33.3,12,1,3,13.14,114,0,126
Ty Long,9728,K,LAC,1,5,5,4.28,32.0,48.0,20.0,0,0,0,0,27,60.6,0,52,1,0,80.0,80,4,5,21.42,160,0,240
Jordan Berry,10236,P,MIN,1,6,6,4.16,38.83,39.5,2.0,0,0,2,1,18,51.3,4,51,1,0,33.3,4,2,6,24.93,233,0,237
Riley Dixon,10862,P,NYG,1,5,5,4.02,43.0,43.0,,0,0,2,1,21,62.5,2,51,2,0,0.0,0,0,5,20.12,215,0,215
Lachlan Edwards,10869,P,CAR,1,4,4,4.07,38.5,43.75,10.5,0,0,0,2,5,56.9,1,49,0,0,50.0,21,2,4,16.29,154,0,175
Rigoberto Sanchez,12130,P,IND,1,4,4,4.26,40.25,45.5,10.5,0,0,1,0,14,63.1,2,63,1,0,50.0,21,2,4,17.03,161,0,182
Matt Haack,12212,P,BUF,1,4,4,4.19,37.75,40.75,4.0,0,0,0,0,4,58.0,1,55,1,0,75.0,12,3,4,16.74,151,0,163
Cameron Johnston,12255,P,HST,1,7,7,4.64,51.71,52.0,0.7,0,0,0,3,13,74.1,2,63,1,0,42.9,2,3,7,32.45,362,0,364
Corey Bojorquez,27626,P,GB,1,3,3,4.36,46.67,51.33,4.7,0,0,0,0,12,60.1,2,58,0,0,100.0,14,3,3,13.07,140,0,154
Logan Cooke,29214,P,JAX,1,4,4,4.34,38.75,48.75,20.0,0,0,0,2,15,62.1,0,54,0,0,25.0,20,1,4,17.34,155,1,195
Tommy Townsend,33007,P,KC,1,4,4,4.63,50.75,50.75,0.0,0,0,0,2,16,61.4,4,58,0,0,50.0,0,2,4,18.5,203,0,203
Jake Bailey,33963,P,NE,1,3,3,4.15,46.33,48.67,7.0,0,0,0,1,19,59.0,2,62,1,0,33.3,7,1,3,12.46,139,0,146
Jack Fox,34735,P,DET,1,3,3,4.59,42.67,46.67,12.0,0,0,1,1,11,64.3,2,58,0,0,33.3,12,1,3,13.76,128,0,140
Michael Dickson,35381,P,SEA,1,5,5,4.17,41.8,45.2,8.5,0,0,0,3,29,61.6,4,59,0,0,40.0,17,2,5,20.87,209,0,226
Blake Gillikin,45045,P,NO,1,3,3,4.51,48.0,52.67,4.7,0,0,0,0,20,60.3,1,63,0,0,100.0,14,3,3,13.53,144,0,158
Pressley Harvin III,62973,P,PIT,1,4,4,4.29,43.75,44.0,0.5,0,0,0,1,25,57.9,1,56,1,0,50.0,1,2,4,17.16,175,0,176
Jamie Gillan,63303,P,CLV,1,4,4,4.5,42.0,49.25,14.5,0,0,1,0,8,61.1,1,56,1,0,50.0,29,2,4,17.98,168,0,197
Arryn Siposs,82019,P,PHI,1,1,1,4.83,36.0,47.0,11.0,0,0,0,0,24,60.0,0,47,0,0,100.0,11,1,1,4.83,36,0,47
