player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,4,4,4.62,50.0,55.25,7.0,0,0,0,1,1,71.2,2,60,0,0,75.0,21,3,4,18.46,200,0,221
Sam Koch,3148,P,BLT,1,2,2,4.14,41.0,47.5,13.0,0,0,0,1,3,55.2,1,49,0,0,50.0,13,1,2,8.28,82,0,95
Brett Kern,4580,P,TEN,1,2,2,3.84,47.0,47.0,,0,0,0,1,31,60.2,1,53,1,0,0.0,0,0,2,7.68,94,0,94
Kevin Huber,5066,P,CIN,1,2,2,4.11,37.5,37.5,,0,0,0,1,7,60.2,1,39,1,0,0.0,0,0,2,8.21,75,0,75
Thomas Morstead,5088,P,NYJ,1,1,1,4.79,45.0,45.0,,0,0,0,1,22,60.0,0,45,0,0,0.0,0,0,1,4.79,45,0,45
Bryan Anger,7072,P,DAL,1,1,1,3.95,38.0,44.0,6.0,0,0,0,0,9,60.0,1,44,0,0,100.0,6,1,1,3.95,38,0,44
Johnny Hekker,7252,P,LA,1,3,3,4.08,36.33,36.33,,0,0,0,1,26,60.7,1,46,2,0,0.0,0,0,3,12.25,109,0,109
Sam Martin,7947,P,DEN,1,4,4,4.48,44.5,45.0,2.0,0,0,1,2,10,65.3,3,48,0,0,25.0,2,1,4,17.92,178,0,180
Tress Way,8358,P,WAS,1,4,4,4.31,48.0,50.0,4.0,0,0,1,1,32,55.4,0,55,0,0,50.0,8,2,4,17.25,192,0,200
Pat O'Donnell,8826,P,CHI,1,4,4,4.32,33.5,42.25,15.0,0,0,0,2,6,61.3,2,47,0,0,25.0,15,1,4,17.29,134,1,169
Michael Palardy,9277,P,MIA,1,5,5,4.1,37.8,44.4,16.5,0,0,0,2,17,54.4,1,61,1,0,40.0,33,2,5,20.48,189,0,222
Bradley Pinion,9598,P,TB,1,4,4,4.64,44.5,47.25,5.5,0,0,1,1,30,61.3,2,57,0,0,50.0,11,2,4,18.55,178,0,189
Jordan Berry,10236,P,MIN,1,5,5,4.5,42.4,46.2,6.3,0,0,0,1,18,57.5,1,60,1,0,60.0,19,3,5,22.48,212,0,231
Riley Dixon,10862,P,NYG,1,3,3,4.38,41.0,41.0,,0,0,1,2,21,60.1,2,53,0,0,0.0,0,0,3,13.15,123,0,123
Rigoberto Sanchez,12130,P,IND,1,2,2,4.09,42.5,42.5,0.0,0,0,0,1,14,60.4,1,45,0,0,50.0,0,1,2,8.17,85,0,85
Matt Haack,12212,P,BUF,1,4,4,4.18,40.75,46.0,0.5,0,0,0,0,4,59.6,0,54,1,0,50.0,1,2,4,16.72,163,1,184
Cameron Johnston,12255,P,HST,1,4,4,4.44,41.75,52.25,7.3,0,0,0,0,13,62.6,1,56,0,0,75.0,22,3,4,17.77,167,1,209
Corey Bojorquez,27626,P,GB,1,3,3,4.31,43.33,46.67,10.0,0,0,0,1,12,64.1,2,56,1,0,33.3,10,1,3,12.92,130,0,140
Logan Cooke,29214,P,JAX,1,4,4,4.62,49.5,56.75,14.5,0,0,1,1,15,63.0,2,64,0,0,50.0,29,2,4,18.46,198,0,227
Tommy Townsend,33007,P,KC,1,3,3,4.36,39.67,45.0,16.0,0,0,1,0,16,55.2,0,54,1,0,33.3,16,1,3,13.08,119,0,135
Joseph Charlton,33672,P,CAR,1,4,4,4.35,40.0,40.0,,0,0,1,3,5,62.1,3,51,0,0,0.0,0,0,4,17.41,160,0,160
Jake Bailey,33963,P,NE,1,5,5,4.39,42.6,43.8,6.0,0,0,0,4,19,69.1,4,60,0,0,20.0,6,1,5,21.93,213,0,219
Jack Fox,34735,P,DET,1,2,2,4.85,52.5,53.5,2.0,0,0,0,1,11,60.9,2,55,0,0,50.0,2,1,2,9.69,105,0,107
Michael Dickson,35381,P,SEA,1,6,6,4.15,39.67,51.67,10.7,0,0,0,1,29,55.3,2,66,0,0,50.0,32,3,6,24.88,238,2,310
A.J. Cole III,36038,P,LV,1,4,4,4.51,37.25,47.5,10.5,0,0,0,1,23,65.8,2,55,0,0,50.0,21,2,4,18.04,149,1,190
Mitch Wishnowsky,44663,P,SF,1,5,5,4.3,42.6,45.2,6.5,0,0,2,1,28,59.0,3,52,0,0,40.0,13,2,5,21.49,213,0,226
Blake Gillikin,45045,P,NO,1,6,6,4.33,45.0,49.0,6.0,0,0,1,0,20,68.1,1,60,1,0,66.7,24,4,6,25.95,270,0,294
Cameron Nizialek,60273,P,ATL,1,4,4,3.73,34.25,39.25,,0,0,1,0,2,52.0,1,54,2,0,0.0,0,0,4,14.93,137,1,157
Pressley Harvin III,62973,P,PIT,1,4,4,4.61,42.75,49.25,13.0,0,0,1,1,25,66.0,3,59,0,0,50.0,26,2,4,18.43,171,0,197
Jamie Gillan,63303,P,CLV,1,2,2,3.65,40.0,40.0,0.0,0,0,0,0,8,59.9,1,43,1,0,50.0,0,1,2,7.3,80,0,80
Arryn Siposs,82019,P,PHI,1,4,4,4.43,37.75,51.0,13.0,0,0,1,0,24,64.7,1,68,0,0,25.0,13,1,4,17.72,151,2,204
