player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,2,2,4.03,45.5,49.5,8.0,0,0,1,0,1,59.2,1,58,0,0,50.0,8,1,2,8.06,91,0,99
Sam Koch,3148,P,BLT,1,4,4,4.21,42.5,50.75,8.3,0,0,0,0,3,63.0,1,57,0,0,100.0,33,4,4,16.85,170,0,203
Kevin Huber,5066,P,CIN,1,4,4,4.3,40.5,45.0,9.0,0,0,0,2,7,56.2,1,50,0,0,50.0,18,2,4,17.21,162,0,180
Thomas Morstead,5088,P,ATL,1,5,5,4.4,41.6,43.0,3.5,0,0,0,2,2,63.3,4,53,1,0,40.0,7,2,5,22.0,208,0,215
Bryan Anger,7072,P,DAL,1,7,7,4.48,42.86,48.14,9.3,0,0,0,2,9,71.3,2,60,1,0,57.1,37,4,7,31.39,300,0,337
Johnny Hekker,7252,P,LA,1,3,3,4.46,50.0,50.0,,0,0,1,2,26,61.7,1,58,0,0,0.0,0,0,3,13.37,150,0,150
Sam Martin,7947,P,DEN,1,3,3,4.24,49.0,53.33,6.5,0,0,0,1,10,60.7,0,56,0,0,66.7,13,2,3,12.72,147,0,160
Tress Way,8358,P,WAS,1,4,4,4.51,42.75,49.25,6.0,0,0,0,0,32,66.2,3,54,2,0,25.0,6,1,4,18.03,171,1,197
Pat O'Donnell,8826,P,CHI,1,2,2,4.1,45.5,45.5,0.0,0,0,1,0,6,57.2,1,53,0,0,50.0,0,1,2,8.2,91,0,91
Michael Palardy,9277,P,MIA,1,6,6,4.33,44.67,48.33,7.3,0,0,0,3,17,58.6,3,65,0,0,50.0,22,3,6,25.95,268,0,290
Bradley Pinion,9598,P,TB,1,3,3,4.7,42.0,44.33,7.0,0,0,1,1,30,61.4,2,60,0,0,33.3,7,1,3,14.1,126,0,133
Ty Long,9728,K,LAC,1,4,4,4.35,36.0,42.25,5.0,0,0,0,2,27,52.7,0,49,0,0,25.0,5,1,4,17.38,144,1,169
Jordan Berry,10236,P,MIN,1,3,3,4.36,37.33,44.0,0.0,0,0,0,1,18,60.1,2,49,0,0,33.3,0,1,3,13.07,112,1,132
Riley Dixon,10862,P,NYG,1,6,6,3.84,36.83,41.33,7.0,0,0,3,1,21,55.9,2,46,0,0,16.7,7,1,6,23.03,221,1,248
Rigoberto Sanchez,12130,P,IND,1,3,3,4.45,40.0,41.33,4.0,0,0,1,1,14,66.7,3,43,0,0,33.3,4,1,3,13.36,120,0,124
Matt Haack,12212,P,BUF,1,5,5,3.91,38.6,46.6,0.0,0,0,1,1,4,55.7,2,59,0,0,20.0,0,1,5,19.53,193,2,233
Cameron Johnston,12255,P,HST,1,6,6,4.27,44.17,50.33,7.4,0,0,0,1,13,59.7,1,60,0,0,83.3,37,5,6,25.6,265,0,302
Logan Cooke,29214,P,JAX,1,5,5,4.64,49.4,49.4,,0,0,1,4,15,73.8,5,68,0,0,0.0,0,0,5,23.21,247,0,247
Tommy Townsend,33007,P,KC,1,4,4,4.41,46.0,47.5,2.0,0,0,0,1,16,56.2,3,54,0,0,75.0,6,3,4,17.63,184,0,190
Jake Bailey,33963,P,NE,1,6,6,3.34,37.33,42.0,8.0,0,0,2,0,19,57.5,1,71,2,0,16.7,8,1,6,20.01,224,1,252
Jack Fox,34735,P,DET,1,3,3,4.65,47.67,55.33,7.7,0,0,0,0,11,60.1,0,62,0,0,100.0,23,3,3,13.96,143,0,166
Michael Dickson,35381,P,SEA,1,4,4,4.26,46.75,51.25,9.0,0,0,0,2,29,65.8,2,65,0,0,50.0,18,2,4,17.05,187,0,205
A.J. Cole III,36038,P,LV,1,4,4,4.61,43.25,50.5,14.5,0,0,0,2,23,69.2,2,67,0,0,50.0,29,2,4,18.44,173,0,202
Mitch Wishnowsky,44663,P,SF,1,3,3,3.61,45.67,45.67,0.0,0,0,2,0,28,55.2,0,60,0,0,33.3,0,1,3,10.84,137,0,137
Braden Mann,44664,P,NYJ,1,2,2,4.21,29.0,39.0,20.0,0,0,1,0,22,58.8,0,45,0,0,50.0,20,1,2,8.42,58,0,78
Blake Gillikin,45045,P,NO,1,6,6,4.25,44.0,51.33,11.0,0,0,1,0,20,66.5,2,62,1,0,66.7,44,4,6,25.5,264,0,308
Pressley Harvin III,62973,P,PIT,1,5,5,4.19,41.0,43.4,6.0,0,0,0,1,25,57.4,1,64,2,0,40.0,12,2,5,20.95,205,0,217
Arryn Siposs,82019,P,PHI,1,1,1,4.47,38.0,38.0,,0,0,0,1,24,60.0,1,38,0,0,0.0,0,0,1,4.47,38,0,38
