player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Sam Koch,3148,P,BLT,1,3,3,4.3,39.67,45.33,-3.0,0,0,0,0,3,61.4,1,53,1,0,33.3,-3,1,3,12.89,119,1,136
Brett Kern,4580,P,TEN,1,2,2,4.13,36.0,47.5,11.5,0,0,0,0,31,63.0,0,48,0,0,100.0,23,2,2,8.26,72,0,95
Kevin Huber,5066,P,CIN,1,3,3,4.3,45.33,46.33,1.5,0,0,1,0,7,56.5,1,53,0,0,66.7,3,2,3,12.9,136,0,139
Thomas Morstead,5088,P,ATL,1,5,5,4.24,35.0,44.8,14.5,0,0,0,2,2,59.0,3,55,0,0,40.0,29,2,5,21.21,175,1,224
Bryan Anger,7072,P,DAL,1,7,7,4.58,50.14,55.0,11.3,0,0,0,4,9,77.4,2,60,0,0,42.9,34,3,7,32.08,351,0,385
Johnny Hekker,7252,P,LA,1,5,5,3.44,41.0,41.0,0.0,0,0,2,0,26,53.8,1,53,2,0,20.0,0,1,5,17.19,205,0,205
Sam Martin,7947,P,DEN,1,3,3,4.33,41.67,41.67,,0,0,1,1,10,60.7,2,43,1,0,0.0,0,0,3,12.99,125,0,125
Tress Way,8358,P,WAS,1,5,5,4.3,43.6,43.6,,0,0,1,4,32,56.4,3,53,0,0,0.0,0,0,5,21.49,218,0,218
Pat O'Donnell,8826,P,CHI,1,4,4,4.21,43.5,45.75,4.5,0,0,1,1,6,61.6,2,51,0,0,50.0,9,2,4,16.85,174,0,183
Michael Palardy,9277,P,MIA,1,4,4,4.06,40.5,40.5,,0,0,0,3,17,59.9,4,46,1,0,0.0,0,0,4,16.23,162,0,162
Bradley Pinion,9598,P,TB,1,4,4,4.68,35.5,41.0,7.3,0,0,0,0,30,59.6,1,55,1,0,75.0,22,3,4,18.72,142,0,164
Ty Long,9728,K,LAC,1,3,3,3.94,41.0,45.33,6.5,0,0,0,0,27,56.5,0,48,1,0,66.7,13,2,3,11.82,123,0,136
Jordan Berry,10236,P,MIN,1,3,3,4.2,48.67,53.33,7.0,0,0,0,1,18,58.0,1,59,0,0,66.7,14,2,3,12.61,146,0,160
Riley Dixon,10862,P,NYG,1,5,5,3.61,35.6,39.2,4.5,0,0,0,0,21,46.7,1,46,1,0,80.0,18,4,5,18.07,178,0,196
Lachlan Edwards,10869,P,CAR,1,5,5,4.06,43.0,52.2,8.7,1,0,0,1,5,57.9,0,58,0,0,60.0,26,3,6,20.3,215,1,261
Rigoberto Sanchez,12130,P,IND,1,3,3,4.29,43.67,44.67,1.5,0,0,1,0,14,63.0,2,47,0,0,66.7,3,2,3,12.88,131,0,134
Matt Haack,12212,P,BUF,1,3,3,4.36,38.33,42.33,12.0,0,0,1,1,4,62.9,2,48,0,0,33.3,12,1,3,13.08,115,0,127
Cameron Johnston,12255,P,HST,1,5,5,3.9,43.8,47.2,17.0,0,0,1,2,13,66.1,2,56,1,0,20.0,17,1,5,19.52,219,0,236
Corey Bojorquez,27626,P,GB,1,5,5,3.88,39.8,42.4,13.0,0,0,1,2,12,54.2,4,61,1,0,20.0,13,1,5,19.41,199,0,212
Logan Cooke,29214,P,JAX,1,3,3,4.21,42.33,43.33,3.0,0,0,0,1,15,62.9,2,44,1,0,33.3,3,1,3,12.62,127,0,130
Jake Bailey,33963,P,NE,1,1,1,3.96,48.0,48.0,,0,0,0,1,19,60.0,1,48,0,0,0.0,0,0,1,3.96,48,0,48
Jack Fox,34735,P,DET,1,6,6,4.36,40.17,50.0,9.8,0,0,1,0,11,58.5,0,70,0,0,66.7,39,4,6,26.13,241,1,300
Michael Dickson,35381,P,SEA,1,8,8,4.2,49.0,50.0,4.0,0,0,3,2,29,68.3,3,55,1,0,25.0,8,2,8,33.58,392,0,400
A.J. Cole III,36038,P,LV,1,5,5,4.38,45.4,48.6,8.0,0,0,0,2,23,68.6,4,68,1,0,40.0,16,2,5,21.9,227,0,243
Mitch Wishnowsky,44663,P,SF,1,3,3,4.37,47.67,61.0,,0,0,0,1,28,63.0,1,67,0,0,0.0,0,0,3,13.11,143,2,183
Braden Mann,44664,P,NYJ,1,4,4,4.26,32.25,39.0,7.0,0,0,0,0,22,54.5,0,44,2,0,25.0,7,1,4,17.03,129,1,156
Blake Gillikin,45045,P,NO,1,5,5,4.09,37.2,47.0,9.8,0,0,0,0,20,60.6,0,53,0,0,100.0,49,5,5,20.47,186,0,235
Pressley Harvin III,62973,P,PIT,1,5,5,4.4,34.6,38.0,8.5,0,0,1,2,25,56.7,2,42,0,0,40.0,17,2,5,21.99,173,0,190
Jamie Gillan,63303,P,CLV,1,6,6,4.22,37.5,43.5,12.0,0,0,0,1,8,58.6,2,52,2,0,50.0,36,3,6,25.31,225,0,261
Arryn Siposs,82019,P,PHI,1,3,3,4.44,40.33,43.33,9.0,0,0,0,1,24,64.4,2,46,1,0,33.3,9,1,3,13.31,121,0,130
