player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,4,4,3.61,34.0,41.25,4.5,0,0,0,0,1,55.4,0,48,1,0,50.0,9,2,4,14.42,136,1,165
Dustin Colquitt,2316,P,ATL,1,5,5,4.42,50.4,53.8,5.7,0,0,1,1,2,67.0,1,62,0,0,60.0,17,3,5,22.09,252,0,269
Sam Koch,3148,P,BLT,1,6,6,4.37,39.33,43.33,4.0,0,0,3,0,3,67.0,4,57,1,0,16.7,4,1,6,26.23,236,1,260
Brett Kern,4580,P,TEN,1,2,2,4.25,35.0,40.0,10.0,0,0,0,0,31,60.5,1,53,1,0,50.0,10,1,2,8.49,70,0,80
Kevin Huber,5066,P,CIN,1,2,2,4.06,41.0,52.5,11.5,0,0,0,0,7,60.9,0,58,0,0,100.0,23,2,2,8.11,82,0,105
Bryan Anger,7072,P,DAL,1,6,6,4.49,45.17,46.67,9.0,0,0,2,2,9,55.9,3,53,1,0,16.7,9,1,6,26.96,271,0,280
Tress Way,8358,P,WAS,1,3,3,4.59,43.0,46.33,10.0,0,0,0,2,32,64.3,1,56,0,0,33.3,10,1,3,13.77,129,0,139
Pat O'Donnell,8826,P,CHI,1,5,5,3.64,37.2,41.0,9.5,0,0,2,1,6,58.3,2,53,0,0,40.0,19,2,5,18.22,186,0,205
Michael Palardy,9277,P,MIA,1,4,4,4.17,40.75,47.75,14.0,0,0,0,2,17,57.3,1,57,0,0,50.0,28,2,4,16.67,163,0,191
Bradley Pinion,9598,P,TB,1,3,3,4.5,45.33,45.33,,0,0,1,1,30,65.8,2,55,1,0,0.0,0,0,3,13.5,136,0,136
Ty Long,9728,K,LAC,1,0,0,0.0,0.0,0.0,,1,0,0,0,27,59.8,0,0,0,0,0.0,0,0,1,0.0,0,0,0
Jordan Berry,10236,P,MIN,1,3,3,3.93,41.67,41.67,,0,0,0,1,18,61.7,1,47,2,0,0.0,0,0,3,11.79,125,0,125
Riley Dixon,10862,P,NYG,1,4,4,4.33,46.0,48.25,9.0,0,0,2,1,21,54.7,3,52,0,0,25.0,9,1,4,17.33,184,0,193
Lachlan Edwards,10869,P,CAR,1,4,4,4.36,41.25,46.25,,0,0,1,1,5,58.1,0,55,1,0,0.0,0,0,4,17.43,165,1,185
Harrison Butker,11988,K,KC,1,1,1,3.21,31.0,31.0,,0,0,1,0,16,60.0,1,31,0,0,0.0,0,0,1,3.21,31,0,31
Rigoberto Sanchez,12130,P,IND,1,1,1,4.27,31.0,31.0,,0,0,1,0,14,60.0,1,31,0,0,0.0,0,0,1,4.27,31,0,31
Matt Haack,12212,P,BUF,1,1,1,4.41,48.0,55.0,7.0,0,0,0,0,4,60.0,0,55,0,0,100.0,7,1,1,4.41,48,0,55
Cameron Johnston,12255,P,HST,1,7,7,4.12,41.0,43.86,5.0,0,0,0,2,13,56.3,5,52,1,0,57.1,20,4,7,28.87,287,0,307
Corey Bojorquez,27626,P,GB,1,2,2,4.8,47.0,51.0,8.0,0,0,0,1,12,60.9,2,62,0,0,50.0,8,1,2,9.6,94,0,102
Logan Cooke,29214,P,JAX,1,4,4,4.57,48.0,48.25,1.0,0,0,0,3,15,68.0,3,52,0,0,25.0,1,1,4,18.28,192,0,193
Tommy Townsend,33007,P,KC,1,3,3,4.49,46.33,55.33,3.5,0,0,0,0,16,58.6,1,68,0,0,66.7,7,2,3,13.48,139,1,166
Jake Bailey,33963,P,NE,1,4,4,4.43,45.5,48.25,11.0,0,0,0,2,19,67.9,3,60,1,0,25.0,11,1,4,17.71,182,0,193
Jack Fox,34735,P,DET,1,6,6,4.35,38.0,46.67,4.0,0,0,1,0,11,55.0,2,61,0,0,50.0,12,3,6,26.07,228,2,280
Michael Dickson,35381,P,SEA,1,5,5,4.26,43.4,51.4,10.0,0,0,1,0,29,62.6,3,60,1,0,40.0,20,2,5,21.28,217,1,257
A.J. Cole III,36038,P,LV,1,4,4,4.29,39.0,46.5,5.0,0,0,0,1,23,65.8,2,54,0,0,50.0,10,2,4,17.14,156,1,186
Mitch Wishnowsky,44663,P,SF,1,2,2,4.42,44.0,44.0,0.0,0,0,0,1,28,59.8,0,45,0,0,50.0,0,1,2,8.84,88,0,88
Braden Mann,44664,P,NYJ,1,4,4,4.64,38.0,38.0,,0,0,3,1,22,64.2,3,43,0,0,0.0,0,0,4,18.55,152,0,152
Blake Gillikin,45045,P,NO,1,6,6,4.11,42.67,49.83,10.8,0,0,2,0,20,60.3,3,62,0,0,66.7,43,4,6,24.67,256,0,299
Pressley Harvin III,62973,P,PIT,1,1,1,4.68,47.0,46.0,-1.0,0,0,0,0,25,60.0,0,46,0,0,100.0,-1,1,1,4.68,47,0,46
Jamie Gillan,63303,P,CLV,1,5,5,4.15,34.4,37.8,17.0,0,0,1,3,8,51.4,2,52,0,0,20.0,17,1,5,20.74,172,0,189
Arryn Siposs,82019,P,PHI,1,5,5,4.12,38.4,44.2,7.3,0,0,0,0,24,55.7,1,53,1,0,80.0,29,4,5,20.58,192,0,221
