player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Dustin Colquitt,2316,P,CLV,1,1,1,3.37,28.0,37.0,9.0,0,0,0,0,8,60.0,1,37,0,0,100.0,9,1,1,3.37,28,0,37
Sam Koch,3148,P,BLT,1,3,3,4.39,39.0,44.33,8.0,0,0,0,1,3,64.3,1,47,0,0,66.7,16,2,3,13.17,117,0,133
Brett Kern,4580,P,TEN,1,5,5,4.11,39.6,46.0,12.0,0,0,2,1,31,59.2,2,59,0,0,20.0,12,1,5,20.57,198,1,230
Thomas Morstead,5088,P,ATL,1,2,2,4.0,48.0,57.5,19.0,0,0,1,0,2,60.2,1,61,0,0,50.0,19,1,2,7.99,96,0,115
Bryan Anger,7072,P,DAL,1,4,4,4.44,50.0,53.5,7.0,0,0,1,1,9,63.7,1,62,0,0,50.0,14,2,4,17.74,200,0,214
Johnny Hekker,7252,P,LA,1,2,2,4.64,54.0,54.0,,0,0,0,2,26,61.6,1,55,0,0,0.0,0,0,2,9.27,108,0,108
Sam Martin,7947,P,DEN,1,5,5,4.74,43.4,44.6,6.0,0,0,0,2,10,75.5,3,56,2,0,20.0,6,1,5,23.68,217,0,223
Tress Way,8358,P,WAS,1,6,6,4.61,44.5,51.33,21.0,1,0,3,1,32,64.5,3,56,0,0,16.7,21,1,7,27.65,267,1,308
Pat O'Donnell,8826,P,CHI,1,3,3,3.4,33.33,45.0,15.0,0,0,1,0,6,48.3,0,64,0,0,33.3,15,1,3,10.2,100,1,135
Michael Palardy,9277,P,MIA,1,6,6,4.32,38.0,42.5,9.0,0,0,2,1,17,59.8,3,47,0,0,50.0,27,3,6,25.89,228,0,255
Jordan Berry,10236,P,MIN,1,5,5,4.31,30.2,45.2,37.5,0,0,1,1,18,59.3,2,63,1,0,40.0,75,2,5,21.56,151,0,226
Riley Dixon,10862,P,NYG,1,8,8,3.94,28.0,36.75,12.5,0,0,0,2,21,46.4,3,48,1,0,50.0,50,4,8,31.51,224,1,294
Lachlan Edwards,10869,P,CAR,1,5,5,4.12,41.8,50.6,8.8,0,0,0,0,5,61.6,1,60,0,0,100.0,44,5,5,20.6,209,0,253
Rigoberto Sanchez,12130,P,IND,1,3,3,4.33,22.33,38.33,48.0,0,0,0,2,14,65.7,2,44,0,0,33.3,48,1,3,13.0,67,0,115
Cameron Johnston,12255,P,HST,1,1,1,4.38,53.0,53.0,,0,0,0,1,13,60.0,0,53,0,0,0.0,0,0,1,4.38,53,0,53
Johnny Townsend,22261,P,KC,1,2,2,4.12,35.5,45.5,20.0,0,0,0,0,16,59.7,0,50,1,0,50.0,20,1,2,8.24,71,0,91
Corey Bojorquez,27626,P,GB,1,5,5,4.06,41.8,47.0,8.7,0,0,1,1,12,53.9,1,56,0,0,60.0,26,3,5,20.3,209,0,235
Logan Cooke,29214,P,JAX,1,1,1,5.14,47.0,59.0,12.0,0,0,0,0,15,60.0,0,59,0,0,100.0,12,1,1,5.14,47,0,59
Ryan Winslow,30026,P,ARZ,1,1,1,4.64,39.0,39.0,,0,0,0,0,1,60.0,0,39,1,0,0.0,0,0,1,4.64,39,0,39
Sterling Hofrichter,33541,P,TB,1,3,3,3.98,33.67,41.0,11.0,0,0,0,1,30,58.0,1,45,0,0,66.7,22,2,3,11.93,101,0,123
Jake Bailey,33963,P,NE,1,3,3,3.77,41.33,52.67,11.3,0,0,0,0,19,55.9,1,63,0,0,100.0,34,3,3,11.31,124,0,158
Jack Fox,34735,P,DET,1,2,2,4.94,48.0,54.5,13.0,0,0,0,1,11,62.0,1,57,0,0,50.0,13,1,2,9.88,96,0,109
Michael Dickson,35381,P,SEA,1,4,4,3.97,25.0,37.0,14.0,0,0,0,1,29,53.6,1,41,0,0,50.0,28,2,4,15.88,100,1,148
A.J. Cole III,36038,P,LV,1,2,2,4.29,42.5,42.5,,0,0,1,1,23,61.3,2,47,0,0,0.0,0,0,2,8.58,85,0,85
Corliss Waitman,39620,P,PIT,1,2,2,4.33,41.5,60.5,18.0,0,0,0,0,25,59.4,0,63,0,0,50.0,18,1,2,8.66,83,1,121
Mitch Wishnowsky,44663,P,SF,1,2,2,3.68,35.0,35.0,,0,0,1,0,28,59.9,1,40,1,0,0.0,0,0,2,7.36,70,0,70
Braden Mann,44664,P,NYJ,1,1,1,4.2,51.0,55.0,4.0,0,0,0,0,22,60.0,1,55,0,0,100.0,4,1,1,4.2,51,0,55
Blake Gillikin,45045,P,NO,1,7,7,4.29,43.86,45.14,3.0,0,0,0,4,20,54.0,2,54,0,0,42.9,9,3,7,30.06,307,0,316
Arryn Siposs,82019,P,PHI,1,4,4,4.06,38.5,42.5,8.0,0,0,1,1,24,59.7,0,51,0,0,50.0,16,2,4,16.23,154,0,170
